"Realm","Character","Sphere 1","Sphere 2","Sphere 3","Sphere 4","Mote 1 Required","","","","","Mote 2 Required","","","",""
"I","Warrior of Light","Confuse Imm. (minor)","RES +10","HP +200","Holy dam. +3%","Spirit (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"I","Warrior of Light","DEF +20","Legend Materia 1","ATK +10","","Spirit (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"I","Warrior of Light","RES +20","Holy Res. (minor)","Holy dam. +6%","HP +300","Spirit (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"I","Warrior of Light","HP +500","Legend Materia 2","ATK +20","","Spirit (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"I","Garland","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"I","Garland","Blind Imm. (minor)","HP +150","HP +150","Dark dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"I","Garland","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"I","Garland","Dark Res. (minor)","HP +250","HP +250","Dark dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"I","Garland","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"I","Sarah","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"I","Sarah","Silence Imm. (minor)","HP +150","WHT heals +3%","HP +150","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"I","Sarah","RES +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"I","Sarah","Silence Imm. (moder.)","DEF +20","WHT heals +6%","HP +200","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"I","Sarah","RES +20","Legend Materia 2","MND +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"I","Wol","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"I","Wol","Blind Imm. (minor)","HP +150","HP +150","PHY dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"I","Wol","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"I","Wol","Blind Imm. (moder.)","HP +250","HP +250","PHY dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"I","Wol","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"I","Echo","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"I","Echo","Sleep Imm. (minor)","HP +200","MAG +10","BLK dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"I","Echo","DEF +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"I","Echo","Sleep Imm. (moder.)","RES +20","MAG +10","BLK dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"I","Echo","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"I","Master","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"I","Master","Blind Imm. (minor)","HP +150","HP +150","PHY dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"I","Master","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"I","Master","Confuse Imm. (moder.)","HP +250","HP +250","PHY dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"I","Master","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"I","Matoya","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"I","Matoya","Sleep Imm. (minor)","HP +200","MAG +10","BLK dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"I","Matoya","DEF +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"I","Matoya","Sleep Imm. (moder.)","RES +20","MAG +10","BLK dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"I","Matoya","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"I","Meia","DEF +10","RES +10","MAG +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"I","Meia","Sleep Imm. (minor)","HP +200","RES +10","Water dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"I","Meia","RES +10","Legend Materia 1","MAG +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"I","Meia","Sleep Imm. (moder.)","DEF +20","RES +10","Water dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"I","Meia","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"I","Thief (I)","DEF +10","RES +10","SPD +10","","Dexterity (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"I","Thief (I)","HP +200","Slow Imm. (minor)","Dagger dam. +3%","HP +200","Dexterity (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"I","Thief (I)","RES +10","Legend Materia 1","ATK +15","","Dexterity (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"I","Thief (I)","DEF +15","Slow Imm. (moder.)","Dagger dam. +6%","SPD +10","Dexterity (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"I","Thief (I)","HP +400","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"II","Firion","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"II","Firion","Blind Imm. (minor)","HP +150","HP +150","PHY dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"II","Firion","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"II","Firion","Blind Imm. (moder.)","HP +250","HP +250","PHY dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"II","Firion","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"II","Maria","DEF +10","RES +10","MAG +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"II","Maria","Sleep Imm. (minor)","HP +200","RES +10","Earth dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"II","Maria","RES +10","Legend Materia 1","MAG +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"II","Maria","Earth Res. (minor)","DEF +20","RES +10","Earth dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"II","Maria","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"II","Guy","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"II","Guy","Blind Imm. (minor)","HP +150","HP +150","Earth dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"II","Guy","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"II","Guy","Blind Imm. (moder.)","HP +250","HP +250","Earth dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"II","Guy","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"II","Leon","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"II","Leon","Blind Imm. (minor)","HP +150","HP +150","Dark dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"II","Leon","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"II","Leon","Blind Imm. (moder.)","HP +250","HP +250","Dark dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"II","Leon","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"II","Minwu","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"II","Minwu","Silence Imm. (minor)","HP +150","WHT heals +3%","HP +150","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"II","Minwu","RES +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"II","Minwu","Silence Imm. (moder.)","DEF +20","WHT heals +6%","HP +200","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"II","Minwu","RES +20","Legend Materia 2","MND +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"II","Gordon","RES +10","DEF +10","ATK +10","","Vitality (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"II","Gordon","DEF +10","Paralyze Imm. (minor)","PHY dam. +3%","HP +150","Vitality (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"II","Gordon","DEF +15","Legend Materia 1","ATK +10","","Vitality (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"II","Gordon","Fire Res. (minor)","RES +20","HP +250","PHY dam. +6%","Vitality (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"II","Gordon","HP +400","Legend Materia 2","ATK +15","","Vitality (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"II","Leila","DEF +10","RES +10","SPD +10","","Dexterity (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"II","Leila","HP +200","Slow Imm. (minor)","PHY dam. +3%","HP +200","Dexterity (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"II","Leila","RES +10","Legend Materia 1","ATK +15","","Dexterity (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"II","Leila","DEF +15","Slow Imm. (moder.)","PHY dam. +6%","SPD +10","Dexterity (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"II","Leila","HP +400","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"II","Ricard","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"II","Ricard","Blind Imm. (minor)","HP +150","HP +150","PHY dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"II","Ricard","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"II","Ricard","Blind Imm. (moder.)","HP +250","HP +250","PHY dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"II","Ricard","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"II","Josef","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"II","Josef","Blind Imm. (minor)","HP +150","HP +150","Ice dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"II","Josef","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"II","Josef","Blind Imm. (moder.)","HP +250","HP +250","Ice dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"II","Josef","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"II","Emperor","DEF +10","RES +10","MAG +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"II","Emperor","Sleep Imm. (minor)","HP +200","RES +10","BLK dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"II","Emperor","RES +10","Legend Materia 1","MAG +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"II","Emperor","Sleep Imm. (moder.)","DEF +20","RES +10","BLK dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"II","Emperor","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"II","Hilda","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"II","Hilda","Silence Imm. (minor)","HP +150","WHT heals +3%","HP +150","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"II","Hilda","RES +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"II","Hilda","Silence Imm. (moder.)","DEF +20","WHT heals +6%","HP +200","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"II","Hilda","RES +20","Legend Materia 2","MND +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"II","Scott","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"II","Scott","Blind Imm. (minor)","HP +150","HP +150","Fire dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"II","Scott","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"II","Scott","Blind Imm. (moder.)","HP +250","HP +250","Fire dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"II","Scott","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"III","Luneth","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"III","Luneth","Blind Imm. (minor)","HP +150","HP +150","Wind dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"III","Luneth","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"III","Luneth","Wind Res. (minor)","HP +250","HP +250","Wind dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"III","Luneth","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"III","Arc","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"III","Arc","Silence Imm. (minor)","HP +200","WHT heals +3%","MAG +10","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"III","Arc","DEF +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"III","Arc","Silence Imm. (moder.)","RES +20","WHT heals +6%","MAG +10","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"III","Arc","HP +300","Legend Materia 2","MND +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"III","Refia","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"III","Refia","Blind Imm. (minor)","HP +150","HP +150","Fire dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"III","Refia","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"III","Refia","Fire Res. (minor)","HP +250","HP +250","Fire dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"III","Refia","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"III","Ingus","DEF +10","RES +10","DEF +10","","Spirit (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"III","Ingus","Confuse Imm. (minor)","RES +10","HP +200","PHY dam. +3%","Spirit (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"III","Ingus","DEF +20","Legend Materia 1","ATK +10","","Spirit (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"III","Ingus","RES +15","Earth Res. (minor)","PHY dam. +6%","HP +300","Spirit (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"III","Ingus","HP +500","Legend Materia 2","ATK +25","","Spirit (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"III","Desch","DEF +10","RES +10","MAG +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"III","Desch","Sleep Imm. (minor)","HP +200","RES +10","Lightning dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"III","Desch","RES +10","Legend Materia 1","MAG +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"III","Desch","Lightning Res. (minor)","DEF +20","RES +10","Lightning dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"III","Desch","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"III","Onion Knight","DEF +10","RES +10","ATK +10","","Wisdom (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"III","Onion Knight","MAG +10","ATK +10","DEF +15","HP +250","Wisdom (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"III","Onion Knight","RES +15","MAG +20","ATK +10","","Wisdom (5★)","5","5","5","","Bravery (5★)","5","5","5",""
"III","Onion Knight","Legend Materia 1","HP +450","Blind Imm. (minor)","Silence Imm. (minor)","Wisdom (5★)","13","7","7","7","Bravery (5★)","13","7","7","7"
"III","Onion Knight","Legend Materia 2","PHY dam. +6%","BLK dam. +6%","","Wisdom (5★)","13","10","10","","Bravery (5★)","13","10","10",""
"III","Cloud of Darkness","DEF +10","RES +10","MAG +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"III","Cloud of Darkness","Sleep Imm. (minor)","HP +200","RES +10","Dark dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"III","Cloud of Darkness","RES +10","Legend Materia 1","MAG +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"III","Cloud of Darkness","Dark Res. (minor)","DEF +20","RES +10","Dark dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"III","Cloud of Darkness","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"III","Aria","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"III","Aria","Silence Imm. (minor)","HP +150","WHT heals +3%","HP +150","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"III","Aria","RES +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"III","Aria","Silence Imm. (moder.)","DEF +20","WHT heals +6%","HP +200","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"III","Aria","RES +20","Legend Materia 2","MND +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"IV","Cecil (Dark Knight)","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"IV","Cecil (Dark Knight)","Blind Imm. (minor)","HP +150","HP +150","Dark dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"IV","Cecil (Dark Knight)","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"IV","Cecil (Dark Knight)","Dark Res. (minor)","HP +250","HP +250","Dark dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"IV","Cecil (Dark Knight)","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"IV","Cecil (Paladin)","DEF +10","RES +10","DEF +10","","Spirit (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"IV","Cecil (Paladin)","Confuse Imm. (minor)","RES +10","HP +200","Holy dam. +3%","Spirit (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"IV","Cecil (Paladin)","DEF +20","Legend Materia 1","ATK +10","","Spirit (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"IV","Cecil (Paladin)","RES +20","Holy Res. (minor)","Holy dam. +6%","HP +300","Spirit (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"IV","Cecil (Paladin)","HP +500","Legend Materia 2","ATK +20","","Spirit (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"IV","Kain","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"IV","Kain","Blind Imm. (minor)","HP +150","HP +150","Lightning dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"IV","Kain","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"IV","Kain","Lightning Res. (minor)","HP +250","HP +250","Lightning dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"IV","Kain","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"IV","Rydia","DEF +10","RES +10","MAG +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"IV","Rydia","Sleep Imm. (minor)","HP +200","RES +10","SUM dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"IV","Rydia","RES +10","Legend Materia 1","MAG +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"IV","Rydia","Sleep Imm. (moder.)","DEF +20","RES +10","SUM dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"IV","Rydia","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"IV","Rosa","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"IV","Rosa","Silence Imm. (minor)","HP +150","WHT heals +3%","HP +150","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"IV","Rosa","RES +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"IV","Rosa","Silence Imm. (moder.)","DEF +20","WHT heals +6%","HP +200","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"IV","Rosa","RES +20","Legend Materia 2","MND +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"IV","Edward","RES +10","DEF +10","ATK +10","","Vitality (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"IV","Edward","DEF +10","Paralyze Imm. (minor)","Instrument dam. +3%","HP +150","Vitality (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
