"Realm","Character","Img","Name","Tier","LM Ver","Effect","Mastery Bonus","Relic","Name (JP)","ID","Anima","GL","✓"
"II","Ricard","","Promise of Peace","LM","LM2","ATK +2% for each hit dealt with Dragoon abilities, up to +50%","","-","愛する者たちに誓う平和","201020801","","✓","✓"
"II","Ricard","","Windslice Wyvern","LMR","LMR1","Grants [Attach Wind] at the beginning of the battle","ATK +10","Ricard's Gauntlets (II)","嵐を駆け抜けし竜","201020802","1","✓","✓"
"II","Ricard","","Storm Strider","LMR","LMR2","Grants [Attach Lightning] at the beginning of the battle","ATK +10","Dragon Armor (II)","雷雲駆け抜けし竜","201020803","4","✓","✓"
"II","Ricard","","Quickstrike (Ricard)","LMR+","LMR+1","Grants [Quick Cast] and [Dragon Thrust] for 15 seconds at the beginning of the battle","ATK +10","Ricard's Seagod Spear (II)","迅撃【リチャード】","201020804","","",""
"II","Ricard","","Bravery: Ricard","LMR++","LMR++1","100% chance to Dualcast every 3rd Dragoon ability & Wind/Lightning/Water/Dark Damage +10%; Quick ATB 1 at the start of battle","","Grand Armor (II)","勇晶・リチャード","201020805","","",""
"II","Josef","","Salamand's Boast","LM","LM1","Monk abilities deal 15% more damage","","-","サラマンドの力自慢","201020900","","✓","✓"
"II","Josef","","Fitting End","LM","LM2","Causes [Doom: 15], restores HP to all allies for 55% max HP and grants [Last Stand] to all allies when HP fall below 20%","","-","漢の散り様","201020901","","✓","✓"
"II","Josef","","Man of Virtue","LMR","LMR1","Grants [Attach Ice] at the beginning of the battle","ATK +10","Aegis Shield (II)","仁義あふれる諜報員","201020902","1","✓","✓"
"II","Josef","","A Father's Love","LMR","LMR2","25% chance to dualcast Monk abilities","ATK +10","Twist Headband (II)","娘への深き愛","201020903","4","✓","✓"
"II","Josef","","Bravery: Josef","LMR++","LMR++1","100% chance to Dualcast every 3rd Ice ability & PHY Damage +10%; Quick ATB 1 at the start of battle","","Dragon Shield (II)","勇晶・ヨーゼフ","201020904","","",""
"II","Emperor","","Otherworldly Power","LM","LM1","BLK attacks deal 10% more damage","","-","魔界より出でし力","201021000","","✓","✓"
"II","Emperor","","Hellforged Might","LM","LM2","45% chance to counter enemy BLK attacks with an ability (NAT: single, causes [Imperil Earth 10%] for 15 seconds)","","-","地獄で得し究極の力","201021001","","✓","✓"
"II","Emperor","","Soul of Rebirth","LMR","LMR1","Restores HP for 100% of the user's maximum HP and grants [Extended Quick Cast] when HP fall below 20%","MAG +10","Imperial Shell (II)","ソウルオブリバース","201021002","1","✓","✓"
"II","Emperor","","Despotic Stratagem","LMR","LMR2","Grants [Attach Earth] at the beginning of the battle","MAG +10","Silver Despot (II)","独裁者の謀略","201021003","4","✓","✓"
"II","Emperor","","Bloody Past","LMR","LMR3","25% chance to dualcast Black Magic or Darkness abilities","MAG +10","Royal Crown (II)","血塗られた戦いの歴史","201021004","4","✓","✓"
"II","Emperor","","Risen Tyrant","LMR","LMR4","Black Magic abilities deal 25% more damage when equipping a rod","MAG +10","Deathbringer (II)","地獄より蘇りし暴君","201021005","4","✓","✓"
"II","Emperor","","Drastic Despot","LMR","LMR5","Grants [Attach Dark] at the beginning of the battle","MAG +10","Marching Bracer (II)","手段を選ばぬ独裁者","201021006","5","✓",""
"II","Hilda","","Rebel Commander","LM","LM1","WHT abilities restore 15% more HP","","-","反乱軍の指揮者","201021100","","✓","✓"
"II","Hilda","","Princess's Hope","LM","LM2","35% chance to cast an ability (WHT: group, restores HP (25)) after using a Bard ability","","-","王女の激励","201021101","","✓","✓"
"II","Hilda","","Noble Blood","LMR","LMR1","25% chance to dualcast White Magic abilities","MND +10","Hilda's Cloak (II)","高潔な血筋の淑女","201021102","1","✓","✓"
"II","Scott","","Gallant Prince","LM","LM1","Spellblade abilities deal 15% more damage","","-","潔き王子","201021200","","✓","✓"
"II","Scott","","Shining Example","LM","LM2","35% chance to dualcast Spellblade abilities","","-","後進に託す理想","201021201","","✓","✓"
"II","Scott","","Unspoken Love","LMR","LMR1","Grants [Attach Fire] at the beginning of the battle","ATK +10","Demon Shield (II)","語らぬ愛","201021202","1","✓","✓"
"II","Scott","","Refinement (Scott)","LMR+","LMR+1","Increases Fire damage dealt by 25%","ATK +10","Scott's Guise (II)","昇華【スコット】","201021203","","✓","✓"
"II","Scott","","Bravery: Scott","LMR++","LMR++1","100% chance to Dualcast every 3rd Fire ability & Fire Damage +10%; Quick ATB 1 at the start of battle","","Emerald Shield (II)","勇晶・スコット","201021204","","",""
"III","Luneth","","Unbridled Curiosity","LM","LM1","Increases Wind damage dealt by 10%","","-","好奇心旺盛な少年","201030100","","✓","✓"
"III","Luneth","","Windborn Warrior","LM","LM2","Grants [Haste] and [Instant Cast 3] at the beginning of the battle","","-","疾風の申し子","201030101","","✓","✓"
"III","Luneth","","Orphan of Ur","LMR","LMR1","Grants [Attach Wind] at the beginning of the battle","ATK +10","Blessed Hammer (III)","ウルのやんちゃ坊主","201030102","1","✓","✓"
"III","Luneth","","Fast and Furious","LMR","LMR2","35% chance to grant [Quick Cast 1] to the user after using a Wind attack","ATK +10","Dragoon Armor (III)","迅速果敢","201030103","4","✓","✓"
"III","Luneth","","Rascal of Ur","LMR","LMR3","25% chance to dualcast abilities that deal Wind damage","ATK +10","Dual Haken (III)","ウルのわんぱく小僧","201030104","4","✓","✓"
"III","Luneth","","Bravery: Luneth (Wind)","LMR++","LMR++1","100% chance to Dualcast every 3rd Wind ability, Wind Damage +10% & After using 3 Wind abilities, grants Instant Cast 1 to user (Max 1 Chase)","","Muramasa (III)","勇晶・ルーネス風","201030105","","",""
"III","Arc","","Youthful Embrace","LM","LM1","WHT abilities restore 15% more HP","","-","少年の思いやり","201030200","","✓","✓"
"III","Arc","","Childhood's End","LM","LM2","35% chance to dualcast White Magic abilities","","-","頼もしき成長","201030201","","✓","✓"
"III","Arc","","Bookworm","LMR","LMR1","MND +1% for each hit dealt with White Magic abilities, up to +25%","MND +10","Lordly Robes (III)","読書家の理知","201030202","1","✓","✓"
