"Character","Source","SB Ver","Img","Name","Brave","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Brave Condition","Name (JP)","ID","GL","✓"
"Ricard","Last Dragoon","AASB1","","Deist's Pride","1","NAT","All allies","","","","0.01","Grants [Jump Quick Cast 1] and [Dragoon +15% Boost 1]","N","All allies","75","Combat","Dragoon","ディストの誇り","31540049","✓","✓"
"Ricard","Last Dragoon","AASB1","","Deist's Pride","2","NAT","All allies","","","","0.01","Grants [Jump Instant Cast 1] and [Dragoon +15% Boost 1]","N","All allies","75","Combat","Dragoon","ディストの誇り","31540050","✓","✓"
"Ricard","Last Dragoon","AASB1","","Deist's Pride","3","NAT","All allies","","","","0.01","Grants [Jump Instant Cast 1], [Dragoon +30% Boost 1] and [Dualcast Dragoon 1]","N","All allies","75","Combat","Dragoon","ディストの誇り","31540051","✓","✓"
"Arc","Heavenly Rains","USB2","","Life Fountain","0","WHT","Single ally","Magical","1.20","Holy","0.01","Restores HP (25), damages undeads","Y","Lowest HP% ally","75","White Magic","White Magic","命脈の泉","30542211","✓","✓"
"Arc","Heavenly Rains","USB2","","Life Fountain","1","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","Y","All allies","75","White Magic","White Magic","命脈の泉","30542212","✓","✓"
"Arc","Heavenly Rains","USB2","","Life Fountain","2","WHT","All allies","","","","0.01","Restores HP (55)","Y","All allies","75","White Magic","White Magic","命脈の泉","30542213","✓","✓"
"Arc","Heavenly Rains","USB2","","Life Fountain","3","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (55), damages undeads, grants [Last Stand]","Y","All allies","75","White Magic","White Magic","命脈の泉","30542214","✓","✓"
"Cecil (Paladin)","Crystal Vanguard","USB3","","Searchlight","0","PHY","Single enemy","Physical","1.92","Holy","1.65","One single attack (1.92)","Y","Lowest HP% enemy","75","Knight","Knight","サーチライト","30548246","✓","✓"
"Cecil (Paladin)","Crystal Vanguard","USB3","","Searchlight","1","PHY","Single enemy","Physical","2.40","Holy","1.65","Three single attacks (0.80 each), grants [HP Stock (1000)] to all allies","Y","Lowest HP% enemy","75","Knight","Knight","サーチライト","30548247","✓","✓"
"Cecil (Paladin)","Crystal Vanguard","USB3","","Searchlight","2","PHY","Single enemy","Physical","4.50","Holy","1.65","Five single attacks (0.90 each), grants [HP Stock (2000)] to all allies","Y","Lowest HP% enemy","75","Knight","Knight","サーチライト","30548248","✓","✓"
"Cecil (Paladin)","Crystal Vanguard","USB3","","Searchlight","3","PHY","Single enemy","Physical","7.00","Holy","1.65","Seven single attacks (1.00 each), grants [HP Stock (4000)] to all allies","Y","Lowest HP% enemy","75","Knight","Knight","サーチライト","30548249","✓","✓"
"Kain","Dragon's Wrath","USB2","","Soaring High","0","PHY","Single enemy","Physical","1.92","Lightning","1.65","One single ranged jump attack (1.92)","Y","Lowest HP% enemy","75","Dragoon","Dragoon","ライジングハイ","30548018","✓","✓"
"Kain","Dragon's Wrath","USB2","","Soaring High","1","PHY","Single enemy","Physical","3.25","Lightning","1.65","One single ranged jump attack (3.25) capped at 99999","Y","Lowest HP% enemy","75","Dragoon","Dragoon","ライジングハイ","30548019","✓","✓"
"Kain","Dragon's Wrath","USB2","","Soaring High","2","PHY","Single enemy","Physical","6.50","Lightning","1.65","One single ranged jump attack (6.50) capped at 99999","Y","Lowest HP% enemy","75","Dragoon","Dragoon","ライジングハイ","30548110","✓","✓"
"Kain","Dragon's Wrath","USB2","","Soaring High","3","PHY","Single enemy","Physical","10.15","Lightning","1.65","One single ranged jump attack (10.15) capped at 99999","Y","Lowest HP% enemy","75","Dragoon","Dragoon","ライジングハイ","30548111","✓","✓"
"Rydia","Raging Giant","USB3","","Giant's Roar","0","SUM","Single enemy","Magical","7.92","Earth","1.65","One single attack (7.92)","N","Lowest HP% enemy","75","Summoning","Earth","巨人の咆哮","30543042","✓","✓"
"Rydia","Raging Giant","USB3","","Giant's Roar","1","SUM","Single enemy","Magical","12.00","Earth","1.65","One single attack (12.00) capped at 99999","N","Lowest HP% enemy","75","Summoning","Earth","巨人の咆哮","30543043","✓","✓"
"Rydia","Raging Giant","USB3","","Giant's Roar","2","SUM","Single enemy","Magical","20.80","Earth","1.65","One single attack (20.80) capped at 99999, Summoning smart ether 1 to the user","N","Lowest HP% enemy","75","Summoning","Earth","巨人の咆哮","30543044","✓","✓"
"Rydia","Raging Giant","USB3","","Giant's Roar","3","SUM","Single enemy","Magical","35.00","Earth","1.65","One single attack (35.00) capped at 99999, Summoning smart ether 1 to the user","N","Lowest HP% enemy","75","Summoning","Earth","巨人の咆哮","30543045","✓","✓"
"Cid (IV)","Engineer's Trial","AASB1","","Old-Timer's Resolve","0","PHY","Single enemy","Physical","1.92","Lightning, NE","1.65","One single ranged attack (1.92), grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","75","Machinist","Lightning","オヤジの覚悟","31540064","✓","✓"
"Cid (IV)","Engineer's Trial","AASB1","","Old-Timer's Resolve","1","PHY","Single enemy","Physical","3.20","Lightning, NE","1.65","One single ranged attack (3.20) capped at 99999","Y","Lowest HP% enemy","75","Machinist","Lightning","オヤジの覚悟","31540065","✓","✓"
"Cid (IV)","Engineer's Trial","AASB1","","Old-Timer's Resolve","2","PHY","Single enemy","Physical","6.40","Lightning, NE","1.65","One single ranged attack (6.40) capped at 99999","Y","Lowest HP% enemy","75","Machinist","Lightning","オヤジの覚悟","31540066","✓","✓"
"Cid (IV)","Engineer's Trial","AASB1","","Old-Timer's Resolve","3","PHY","Single enemy","Physical","12.80","Lightning, NE","1.65","Two single ranged attacks (6.40 each) capped at 99999, damages the user for 99% current HP, grants [Stoneskin: 100%] to the user","Y","Lowest HP% enemy","75","Machinist","Lightning","オヤジの覚悟","31540067","✓","✓"
"Porom","Pray (IV)","USB3","","Healing Sigil","0","WHT","Single ally","","","","0.01","Restores HP (25)","N","Lowest HP% ally","75","White Magic","White Magic","癒しの魔法陣","31540515","✓","✓"
"Porom","Pray (IV)","USB3","","Healing Sigil","1","WHT","All allies","","","","0.01","Restores HP (25)","N","All allies","75","White Magic","White Magic","癒しの魔法陣","31540516","✓","✓"
"Porom","Pray (IV)","USB3","","Healing Sigil","2","WHT","All allies","","","","0.01","Restores HP (55)","N","All allies","75","White Magic","White Magic","癒しの魔法陣","31540517","✓","✓"
"Porom","Pray (IV)","USB3","","Healing Sigil","3","WHT","All allies","","","","0.01","Restores HP (55), grants [HP Stock (2000)]","N","All allies","75","White Magic","White Magic","癒しの魔法陣","31540518","✓","✓"
"Lenna","Princesses' Prayer","USB4","","Aqua Heal","0","WHT","Single ally","Magical","1.20","Holy","0.01","Restores HP (25), damages undeads","N","Lowest HP% ally","75","White Magic","White Magic, Dancer","アクアヒール","30542369","✓","✓"
"Lenna","Princesses' Prayer","USB4","","Aqua Heal","1","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","N","All allies","75","White Magic","White Magic, Dancer","アクアヒール","30542460","✓","✓"
"Lenna","Princesses' Prayer","USB4","","Aqua Heal","2","WHT","All allies","","","","0.01","Restores HP (55)","N","All allies","75","White Magic","White Magic, Dancer","アクアヒール","30542461","✓","✓"
"Lenna","Princesses' Prayer","USB4","","Aqua Heal","3","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (55), grants [Last Stand]","N","All allies","75","White Magic","White Magic, Dancer","アクアヒール","30542462","✓","✓"
"Gilgamesh","Supreme Deliverance","USB3","","Blazing Dance","0","PHY","Single enemy","Physical","1.92","Fire","1.65","One single attack (1.92)","Y","Lowest HP% enemy","75","Samurai","Fire","焔剣の舞","30549211","✓","✓"
"Gilgamesh","Supreme Deliverance","USB3","","Blazing Dance","1","PHY","Single enemy","Physical","3.25","Fire","1.65","One single attack (3.25) capped at 99999","Y","Lowest HP% enemy","75","Samurai","Fire","焔剣の舞","30549212","✓","✓"
"Gilgamesh","Supreme Deliverance","USB3","","Blazing Dance","2","PHY","Single enemy","Physical","6.50","Fire","1.65","One single attack (6.50) capped at 99999","Y","Lowest HP% enemy","75","Samurai","Fire","焔剣の舞","30549213","✓","✓"
"Gilgamesh","Supreme Deliverance","USB3","","Blazing Dance","3","PHY","Single enemy","Physical","10.15","Fire","1.65","One single attack (10.15) capped at 99999","Y","Lowest HP% enemy","75","Samurai","Fire","焔剣の舞","30549214","✓","✓"
"Bartz","Rousing Water","AASB4","","Spellblade Deluge","0","PHY","Single enemy","Physical","1.92","Water, NE","1.65","One single attack (1.92), grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","75","Spellblade","Spellblade","魔法剣みだれうち　激流","30547161","✓","✓"
"Bartz","Rousing Water","AASB4","","Spellblade Deluge","1","PHY","Single enemy","Physical","3.20","Water, NE","1.65","One single attack (3.20) capped at 99999","Y","Lowest HP% enemy","75","Spellblade","Spellblade","魔法剣みだれうち　激流","30547163","✓","✓"
"Bartz","Rousing Water","AASB4","","Spellblade Deluge","2","PHY","Single enemy","Physical","6.40","Water, NE","1.65","One single attack (6.40) capped at 99999, grants [50% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","75","Spellblade","Spellblade","魔法剣みだれうち　激流","30547164","✓","✓"
"Bartz","Rousing Water","AASB4","","Spellblade Deluge","3","PHY","Single enemy","Physical","10.00","Water, NE","1.65","One single attack (10.00) capped at 99999, grants [75% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","75","Spellblade","Spellblade","魔法剣みだれうち　激流","30547165","✓","✓"
"Faris","Essence of Flame","USB4","","Heat Wave","0","PHY","Single enemy","Physical","1.50","Fire, Wind","0.01","One single ranged attack (1.50)","Y","Lowest HP% enemy","75","Thief","Thief","ねっぱ","30548330","✓","✓"
"Faris","Essence of Flame","USB4","","Heat Wave","1","PHY","Single enemy","Physical","2.34","Fire, Wind","0.01","Six single ranged attacks (0.39 each), [DEF -30%] for 15 seconds","Y","Lowest HP% enemy","75","Thief","Thief","ねっぱ","30548331","✓","✓"
"Faris","Essence of Flame","USB4","","Heat Wave","2","PHY","Single enemy","Physical","4.68","Fire, Wind","0.01","Six single ranged attacks (0.78 each), [DEF -40%] for 15 seconds","Y","Lowest HP% enemy","75","Thief","Thief","ねっぱ","30548332","✓","✓"
"Faris","Essence of Flame","USB4","","Heat Wave","3","PHY","Single enemy","Physical","7.26","Fire, Wind","0.01","Six single ranged attacks (1.21 each), [DEF, RES and MND -70% (8s)]","Y","Lowest HP% enemy","75","Thief","Thief","ねっぱ","30548333","✓","✓"
"Dorgann","Blade Lore","AASB2","","Soaring Blade","0","PHY","Single enemy","Physical","1.92","Earth, NE","1.65","One single attack (1.92)","Y","Lowest HP% enemy","75","Combat","Earth","我流剣技・聳然","31541069","✓","✓"
"Dorgann","Blade Lore","AASB2","","Soaring Blade","1","PHY","Single enemy","Physical","3.20","Earth, NE","1.65","One single attack (3.20) capped at 99999","Y","Lowest HP% enemy","75","Combat","Earth","我流剣技・聳然","31541070","✓","✓"
"Dorgann","Blade Lore","AASB2","","Soaring Blade","2","PHY","Single enemy","Physical","6.40","Earth, NE","1.65","One single attack (6.40) capped at 99999","Y","Lowest HP% enemy","75","Combat","Earth","我流剣技・聳然","31541071","✓","✓"
"Dorgann","Blade Lore","AASB2","","Soaring Blade","3","PHY","Single enemy","Physical","10.00","Earth, NE","1.65","One single attack (10.00) capped at 99999, grants [Dualcast Knight 1] to the user","Y","Lowest HP% enemy","75","Combat","Earth","我流剣技・聳然","31541072","✓","✓"
"Exdeath","Delta Hole","USB2","","Delta Blaster","0","BLK","Single enemy","Magical","7.92","Dark","1.65","One single attack (7.92)","Y","Lowest HP% enemy","75","Darkness","Darkness","デルタブラスター","30541371","✓","✓"
"Exdeath","Delta Hole","USB2","","Delta Blaster","1","BLK","Single enemy","Magical","12.00","Dark","1.65","One single attack (12.00) capped at 99999","Y","Lowest HP% enemy","75","Darkness","Darkness","デルタブラスター","30541372","✓","✓"
"Exdeath","Delta Hole","USB2","","Delta Blaster","2","BLK","Single enemy","Magical","20.80","Dark","1.65","One single attack (20.80) capped at 99999","Y","Lowest HP% enemy","75","Darkness","Darkness","デルタブラスター","30541373","✓","✓"
"Exdeath","Delta Hole","USB2","","Delta Blaster","3","BLK","Single enemy","Magical","35.00","Dark","1.65","One single attack (35.00) capped at 99999","Y","Lowest HP% enemy","75","Darkness","Darkness","デルタブラスター","30541374","✓","✓"
"Krile","Kindred Flame","USB2","","Concentrated Fire","0","BLK","Single enemy","Magical","7.92","Fire","1.65","One single attack (7.92)","Y","Lowest HP% enemy","75","Black Magic","Black Magic","しゅうちゅうほうか","30541316","✓","✓"
"Krile","Kindred Flame","USB2","","Concentrated Fire","1","BLK","Single enemy","Magical","12.00","Fire","1.65","One single attack (12.00) capped at 99999","Y","Lowest HP% enemy","75","Black Magic","Black Magic","しゅうちゅうほうか","30541317","✓","✓"
"Krile","Kindred Flame","USB2","","Concentrated Fire","2","BLK","Single enemy","Magical","20.80","Fire","1.65","One single attack (20.80) capped at 99999","Y","Lowest HP% enemy","75","Black Magic","Black Magic","しゅうちゅうほうか","30541318","✓","✓"
"Krile","Kindred Flame","USB2","","Concentrated Fire","3","BLK","Single enemy","Magical","35.00","Fire","1.65","One single attack (35.00) capped at 99999","Y","Lowest HP% enemy","75","Black Magic","Black Magic","しゅうちゅうほうか","30541319","✓","✓"
"Terra","Magitek Inferno","USB2","","Riot Fire","0","BLK","Single enemy","Magical","7.92","Fire","1.65","One single attack (7.92)","Y","Lowest HP% enemy","75","Black Magic","Black Magic","ライオットファイア","30541212","✓","✓"
"Terra","Magitek Inferno","USB2","","Riot Fire","1","BLK","Single enemy","Magical","12.00","Fire","1.65","One single attack (12.00) capped at 99999","Y","Lowest HP% enemy","75","Black Magic","Black Magic","ライオットファイア","30541213","✓","✓"
"Terra","Magitek Inferno","USB2","","Riot Fire","2","BLK","Single enemy","Magical","20.80","Fire","1.65","One single attack (20.80) capped at 99999","Y","Lowest HP% enemy","75","Black Magic","Black Magic","ライオットファイア","30541214","✓","✓"
"Terra","Magitek Inferno","USB2","","Riot Fire","3","BLK","Single enemy","Magical","35.00","Fire","1.65","One single attack (35.00) capped at 99999","Y","Lowest HP% enemy","75","Black Magic","Black Magic","ライオットファイア","30541215","✓","✓"
"Locke","Returners Unite","USB3","","Burning Mirage","0","PHY","Single enemy","Physical","1.81","Fire","1.20","One single attack (1.81)","Y","Lowest HP% enemy","75","Thief","Thief","ミラージュバーン","30548235","✓","✓"
"Locke","Returners Unite","USB3","","Burning Mirage","1","PHY","Single enemy","Physical","3.06","Fire","1.20","One single attack (3.06) capped at 99999","Y","Lowest HP% enemy","75","Thief","Thief","ミラージュバーン","30548236","✓","✓"
"Locke","Returners Unite","USB3","","Burning Mirage","2","PHY","Single enemy","Physical","6.11","Fire","1.20","One single attack (6.11) capped at 99999","Y","Lowest HP% enemy","75","Thief","Thief","ミラージュバーン","30548237","✓","✓"
"Locke","Returners Unite","USB3","","Burning Mirage","3","PHY","Single enemy","Physical","9.55","Fire","1.20","One single attack (9.55) capped at 99999","Y","Lowest HP% enemy","75","Thief","Thief","ミラージュバーン","30548238","✓","✓"
"Strago","Magic Tempest","AASB3","","Mystery of Thamasa","0","BLK","Single enemy","Magical","7.92","Wind, NE","1.65","One single attack (7.92), grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","75","Black Magic","Wind","サマサの秘伝","31540790","✓","✓"
"Strago","Magic Tempest","AASB3","","Mystery of Thamasa","1","BLK","Single enemy","Magical","11.80","Wind, NE","1.65","One single attack (11.80) capped at 99999","Y","Lowest HP% enemy","75","Black Magic","Wind","サマサの秘伝","31540791","✓","✓"
"Strago","Magic Tempest","AASB3","","Mystery of Thamasa","2","BLK","Single enemy","Magical","20.50","Wind, NE","1.65","One single attack (20.50) capped at 99999, grants [Buff Wind 10% (15s)] to the user","Y","Lowest HP% enemy","75","Black Magic","Wind","サマサの秘伝","31540792","✓","✓"
"Strago","Magic Tempest","AASB3","","Mystery of Thamasa","3","BLK","Single enemy","Magical","34.60","Wind, NE","1.65","One single attack (34.60) capped at 99999, grants [Buff Wind 30% (15s)] to the user","Y","Lowest HP% enemy","75","Black Magic","Wind","サマサの秘伝","31540793","✓","✓"
"Gogo (VI)","Righteous Mimicry","USB1","","Mimic (VI)","0","NAT","Single enemy","Hybrid","","-","0.83","One single hybrid attack (1.81 or 7.45)","Y","Lowest HP% enemy","75","Special","Black Magic, Combat","ものまね【VI】","30545044","✓","✓"
"Gogo (VI)","Righteous Mimicry","USB1","","Mimic (VI)","1","NAT","-","","","","0.83","Casts the last ability used by any ally, default ability (PHY: single, 1.50 physical)","N","-","100","Special","Black Magic, Combat","ものまね【VI】","30545047","✓","✓"
"Gogo (VI)","Righteous Mimicry","USB1","","Mimic (VI)","2","NAT","-","","","","0.83","Casts the last ability used by any ally twice, default ability (PHY: single, 1.50 physical)","N","-","100","Special","Black Magic, Combat","ものまね【VI】","30545048","✓","✓"
"Gogo (VI)","Righteous Mimicry","USB1","","Mimic (VI)","3","NAT","-","","","","0.83","Casts the last ability used by any ally three times, default ability (PHY: single, 1.50 physical)","N","-","100","Special","Black Magic, Combat","ものまね【VI】","30545049","✓","✓"
"Gogo (VI)","Mass Mimicry","AASB1","","Supreme Mimicry","0","BLK","Single enemy","Magical","7.45","NE","0.83","One single attack (7.45)","Y","Lowest HP% enemy","100","Black Magic","Black Magic","なんでもものまね","30545116","✓","✓"
"Gogo (VI)","Mass Mimicry","AASB1","","Supreme Mimicry","1","NAT","-","","","","0.83","Casts the last ability used by any ally, default ability (PHY: single, 1.50 physical, 100% critical chance)","N","-","100","Special","Black Magic","なんでもものまね","30545117","✓","✓"
"Gogo (VI)","Mass Mimicry","AASB1","","Supreme Mimicry","2","NAT","-","","","","0.83","Casts the last ability used by any ally twice, default ability (PHY: single, 1.50 physical, 100% critical chance)","N","-","100","Special","Black Magic","なんでもものまね","30545118","✓","✓"
"Gogo (VI)","Mass Mimicry","AASB1","","Supreme Mimicry","3","NAT","-","","","","0.83","Casts the last ability used by any ally three times, default ability (PHY: single, 1.50 physical, 100% critical chance)","N","-","100","Special","Black Magic","なんでもものまね","30545119","✓","✓"
"Vincent","Dirge of Cerberus","USB2","","Beast Shot","0","NAT","Single enemy","Hybrid","","Fire","1.65","One single hybrid ranged attack (1.92 or 7.92)","Y","Lowest HP% enemy","75","Special","Fire","ビーストシュート","30544084","✓","✓"
"Vincent","Dirge of Cerberus","USB2","","Beast Shot","1","NAT","Single enemy","Hybrid","","Fire","1.65","One single hybrid ranged attack (3.25 or 12.00) capped at 99999","Y","Lowest HP% enemy","75","Special","Fire","ビーストシュート","30544085","✓","✓"
"Vincent","Dirge of Cerberus","USB2","","Beast Shot","2","NAT","Single enemy","Hybrid","","Fire","1.65","One single hybrid ranged attack (6.50 or 20.80) capped at 99999","Y","Lowest HP% enemy","75","Special","Fire","ビーストシュート","30544122","✓","✓"
"Vincent","Dirge of Cerberus","USB2","","Beast Shot","3","NAT","Single enemy","Hybrid","","Fire","1.65","One single hybrid ranged attack (10.15 or 35.00) capped at 99999","Y","Lowest HP% enemy","75","Special","Fire","ビーストシュート","30544086","✓","✓"
"Reno","Pyramid Pinnacle","USB2","","Spark Rod","0","NAT","Single enemy","Hybrid","","Lightning","1.65","One single hybrid ranged attack (1.92 or 7.92)","Y","Lowest HP% enemy","75","Special","Lightning","スパークロッド","30544110","✓","✓"
"Reno","Pyramid Pinnacle","USB2","","Spark Rod","1","NAT","Single enemy","Hybrid","","Lightning","1.65","One single hybrid ranged attack (3.25 or 12.00) capped at 99999","Y","Lowest HP% enemy","75","Special","Lightning","スパークロッド","30544111","✓","✓"
"Reno","Pyramid Pinnacle","USB2","","Spark Rod","2","NAT","Single enemy","Hybrid","","Lightning","1.65","One single hybrid ranged attack (6.50 or 20.80) capped at 99999","Y","Lowest HP% enemy","75","Special","Lightning","スパークロッド","30544112","✓","✓"
"Reno","Pyramid Pinnacle","USB2","","Spark Rod","3","NAT","Single enemy","Hybrid","","Lightning","1.65","One single hybrid ranged attack (10.15 or 35.00) capped at 99999","Y","Lowest HP% enemy","75","Special","Lightning","スパークロッド","30544113","✓","✓"
"Genesis","Genesis Rhapsody","AASB1","","Void Destruction","0","PHY","Single enemy","Physical","1.92","Fire, NE","1.65","One single attack (1.92), grants [Instant Cast 1]","Y","Lowest HP% enemy","75","Spellblade","Fire","無に帰す破壊","30547065","✓","✓"
"Genesis","Genesis Rhapsody","AASB1","","Void Destruction","1","PHY","Single enemy","Physical","1.92","Fire, NE","1.65","One single attack (1.92) capped at 99999, grants [Buff Fire 10% (15s)]","Y","Lowest HP% enemy","75","Spellblade","Fire","無に帰す破壊","30547069","✓","✓"
"Genesis","Genesis Rhapsody","AASB1","","Void Destruction","2","PHY","Single enemy","Physical","6.40","Fire, NE","1.65","One single attack (6.40) capped at 99999, grants [Buff Fire 20% (15s)]","Y","Lowest HP% enemy","75","Spellblade","Fire","無に帰す破壊","30547070","✓","✓"
"Genesis","Genesis Rhapsody","AASB1","","Void Destruction","3","PHY","Single enemy","Physical","10.00","Fire, NE","1.65","One single attack (10.00) capped at 99999, grants [Buff Fire 40% (15s)]","Y","Lowest HP% enemy","75","Spellblade","Fire","無に帰す破壊","30547071","✓","✓"
"Squall","Double Junction","USB4","","Dual Fang","0","PHY","Single enemy","Physical","1.92","Ice, Fire","1.65","One single attack (1.92)","Y","Lowest HP% enemy","75","Spellblade","Spellblade","デュアルファング","30547221","✓","✓"
"Squall","Double Junction","USB4","","Dual Fang","1","PHY","Single enemy","Physical","3.20","Ice, Fire","1.65","One single attack (3.20) capped at 99999","Y","Lowest HP% enemy","75","Spellblade","Spellblade","デュアルファング","30547222","✓","✓"
"Squall","Double Junction","USB4","","Dual Fang","2","PHY","Single enemy","Physical","6.40","Ice, Fire","1.65","One single attack (6.40) capped at 99999","Y","Lowest HP% enemy","75","Spellblade","Spellblade","デュアルファング","30547223","✓","✓"
"Squall","Double Junction","USB4","","Dual Fang","3","PHY","Single enemy","Physical","10.00","Ice, Fire","1.65","One single attack (10.00) capped at 99999","Y","Lowest HP% enemy","75","Spellblade","Spellblade","デュアルファング","30547224","✓","✓"
"Rinoa","Angel Wing Earth Edict","USB2","","Truespell Stoneshot","0","BLK","Single enemy","Magical","7.92","Earth","1.65","One single attack (7.92)","Y","Lowest HP% enemy","75","Black Magic","Black Magic","真の魔法・砲石","30541043","✓","✓"
"Rinoa","Angel Wing Earth Edict","USB2","","Truespell Stoneshot","1","BLK","Single enemy","Magical","12.00","Earth","1.65","One single attack (12.00) capped at 99999","Y","Lowest HP% enemy","75","Black Magic","Black Magic","真の魔法・砲石","30541044","✓","✓"
"Rinoa","Angel Wing Earth Edict","USB2","","Truespell Stoneshot","2","BLK","Single enemy","Magical","20.80","Earth","1.65","One single attack (20.80) capped at 99999","Y","Lowest HP% enemy","75","Black Magic","Black Magic","真の魔法・砲石","30541045","✓","✓"
"Rinoa","Angel Wing Earth Edict","USB2","","Truespell Stoneshot","3","BLK","Single enemy","Magical","35.00","Earth","1.65","One single attack (35.00) capped at 99999","Y","Lowest HP% enemy","75","Black Magic","Black Magic","真の魔法・砲石","30541046","✓","✓"
"Rinoa","Angel Wing Ice Ruin","USB3","","Truespell Icefall","0","BLK","Single enemy","Magical","7.92","Ice","1.65","One single attack (7.92)","Y","Lowest HP% enemy","75","Black Magic","Black Magic","真の魔法・崩氷","30541126","✓","✓"
