"Character","Source","LB Ver","Name","Guardian Ability Slot","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","GL","✓"
"Cloud","Guardian Choco-Mog","LBGS1","Guardian Deathblow!","Finisher","PHY","Single enemy","Physical","100.40","Wind, Dark, NE","0.01","Ten single attacks (7.60 each), followed by one single attack (24.40) capped at 99999, grants [Wind +30% Boost 2] and [Quick Cast 2] to Cloud","N","Lowest HP% enemy","0","-","G必殺技!!","20110037","✓","✓"
"Vincent","Guardian Chaos","LBGS1","Guardian Chaos Saber","1","BLK","All enemies","Magical","84.00","Fire, NE","0.01","Six group attacks (14.00 each), causes [Imperil Fire 10% (15s)]","Y","All enemies","0","Black Magic","Gカオスセイバー","31542023","","✓"
"Vincent","Guardian Chaos","LBGS1","Guardian Chaos Burst","2","BLK","All enemies","Magical","45.00","Fire, NE","0.01","One group attack (45.00) capped at 99999, grants [Buff Fire 20% (15s)] and [Damage Cap +10000 2] to the user","Y","All enemies","0","Black Magic","Gカオスブースト","31542024","","✓"
"Vincent","Guardian Chaos","LBGS1","Guardian Satan Slam","Finisher","BLK","Single enemy","Magical","251.00","Fire, NE","0.01","Ten single attacks (19.00 each), followed by one single attack (61.00) capped at 99999, causes [Instant KO], removes [Guardian Summon Mode] from the user","N","Lowest HP% enemy","0","-","Gサタンインパクト","22170025","","✓"
"Quistis","Guardian Doomtrain","LBGS1","Guardian Venomous Breath","1","BLK","Single enemy","Magical","84.00","Poison, NE","0.01","Six single attacks (14.00 each), causes [Poison] (100%), [Blind] (100%), [Silence] (100%) and [Confuse] (100%)","Y","Lowest HP% enemy","60","Black Magic","G猛毒の息","31541094","✓","✓"
"Quistis","Guardian Doomtrain","LBGS1","Guardian Venomous Vapor","2","BLK","Single enemy","Magical","42.00","Poison, NE","0.01","Three single attacks (14.00 each), causes [DEF, RES and MND -70% (8s)]","Y","Lowest HP% enemy","60","Black Magic","G猛毒の蒸気","31541095","✓","✓"
"Quistis","Guardian Doomtrain","LBGS1","Guardian Runaway Train","Finisher","BLK","All enemies","Magical","251.00","Poison, NE","0.01","Ten group attacks (19.00 each), followed by one group attack (61.00) capped at 99999, removes [Guardian Summon Mode] from the user","N","All enemies","0","-","G果てしなき暴走","20500018","✓","✓"
"Eiko","Guardian Madeen","LBGS1","Guardian Terra Tornado","1","BLK","Single enemy","Magical","42.00","Wind, Holy, NE","0.01","Three single attacks (14.00 each), grants [Buff Wind 20% (15s)] and [Buff Holy 20% (15s)] to the user","Y","Lowest HP% enemy","0","Black Magic","Gテラトルネード","31540759","✓","✓"
"Eiko","Guardian Madeen","LBGS1","Guardian Terra Sonic","2","BLK","All enemies","Magical","78.00","Wind, Holy, NE","0.01","Six group attacks (13.00 each)","Y","All enemies","0","Black Magic","Gテラソニック","31540760","✓","✓"
"Eiko","Guardian Madeen","LBGS1","Guardian Terra Homing","Finisher","BLK","All enemies","Magical","251.00","Wind, Holy, NE","0.01","Ten group attacks (19.00 each), followed by one group attack (61.00) capped at 99999, removes [Guardian Summon Mode] from the user","N","All enemies","0","-","Gテラホーミング","20620023","✓","✓"
"Yuna","Guardian Valefor","LBGS1","Guardian Sonic Wings","1","BLK","Single enemy","Magical","45.00","Holy, Wind, NE","0.01","One single attack (45.00) capped at 99999, removes [Haste]","Y","Lowest HP% enemy","0","Black Magic","Gソニックウィング","31540761","✓","✓"
"Yuna","Guardian Valefor","LBGS1","Guardian Energy Ray","2","BLK","All enemies","Magical","70.00","Holy, Wind, NE","0.01","Five group attacks (14.00 each)","Y","All enemies","0","Black Magic","Gシューティング・レイ","31540762","✓","✓"
"Yuna","Guardian Valefor","LBGS1","Guardian Energy Blast","Finisher","BLK","All enemies","Magical","251.00","Holy, Wind, NE","0.01","Ten group attacks (19.00 each), followed by one group attack (61.00) capped at 99999, removes [Guardian Summon Mode] from the user","N","All enemies","0","-","Gシューティングパワー","20520026","✓","✓"
"Lilisette","Guardian Lady Lilith","LBGS1","Guardian Durance Whip","1","PHY","Single enemy","Physical","19.00","Lightning, Wind, NE","0.01","One single attack (19.00) capped at 99999, causes [DEF, RES and MND -70% (8s)], removes positive effects","Y","Lowest HP% enemy","60","Combat","Gデュランスウィップ","31541197","✓","✓"
"Lilisette","Guardian Lady Lilith","LBGS1","Guardian Moonlight Veil","2","PHY","Single enemy","Physical","17.55","Lightning, Wind, NE","0.01","Three single attacks (5.85 each), causes [Imperil Prismatic 10% (5s)]","Y","Lowest HP% enemy","60","Combat","Gムーンライトヴェール","31541198","✓","✓"
"Lilisette","Guardian Lady Lilith","LBGS1","Guardian Petaline Tempest","Finisher","PHY","All enemies","Physical","100.40","Lightning, Wind, NE","0.01","Ten group attacks (7.60 each), followed by one group attack (24.40) capped at 99999, removes [Guardian Summon Mode] from the user","N","All enemies","0","-","Gペタラインテンペスト","23350007","✓","✓"
"Shantotto","Guardian Colossal Shantotto","LBGS1","Guardian Burst","1","BLK","Single enemy","Magical","84.00","Lightning, NE","0.01","Six single attacks (14.00 each), grants [75% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","60","Witch","Gバースト","31541831","✓","✓"
"Shantotto","Guardian Colossal Shantotto","LBGS1","Guardian Thunder (XI)","2","BLK","All enemies","Magical","45.00","Lightning, NE","0.01","One group attack (45.00) capped at 99999, grants [Lightning Ability +50% Boost 2] and [Damage Cap +10000 2] to the user","Y","All enemies","60","Witch","Gサンダー","31541832","✓","✓"
"Shantotto","Guardian Colossal Shantotto","LBGS1","Guardian Salvation Scythe","Finisher","BLK","Single enemy","Magical","251.00","Lightning, NE","0.01","Ten single attacks (19.00 each), followed by one single attack (61.00) capped at 99999, removes [Guardian Summon Mode] from the user","Y","Lowest HP% enemy","0","-","Gサルベイションサイズ","22360020","✓","✓"
"Arciela","Guardian Darrcuiln","LBGS1","Guardian Aurous Charge","1","BLK","Single enemy","Magical","84.00","Ice, Lightning, Water, Wind, NE","0.01","Six single attacks (14.00 each), grants [Damage Cap +10000 1] to the user","Y","Lowest HP% enemy","60","Black Magic","Gオーラス・チャージ","31541932","","✓"
"Arciela","Guardian Darrcuiln","LBGS1","Guardian Howling Gust","2","BLK","Single enemy","Magical","45.00","Ice, Lightning, Water, Wind, NE","0.01","One single attack (45.00) capped at 99999, causes [DEF and RES -50% (8s)], grants Roar +1 to the user","Y","Lowest HP% enemy","60","Black Magic","Gハウリング・ガスト","31541933","","✓"
"Arciela","Guardian Darrcuiln","LBGS1","Guardian Stalking Prey","Finisher","BLK","Single enemy","Magical","263.55","Ice, Lightning, Water, Wind, NE","0.01","Ten single attacks (18.05/19.95 each) if the user has Roar level 0/1, followed by one single attack (57.95/64.05) if the user has Roar level 0/1, grants [Instant Cast 2] to Arciela","N","Lowest HP% enemy","0","-","Gストーキング・プレー","23540005","","✓"
"Lightning","Guardian Odin","LBGS1","Guardian Bolt","1","PHY","Single enemy","Physical","35.10","Lightning, Holy, NE","0.01","Six single attacks (5.85 each), grants Guardian Drive Gauge +1 to the user","Y","Lowest HP% enemy","60","Combat","G天雷絶影","31541579","✓","✓"
"Lightning","Guardian Odin","LBGS1","Guardian Thunder","2","PHY","All enemies","Physical","19.00","Lightning, Holy, NE","0.01","One single attack (19.00) capped at 99999, grants [Lightning/Holy Ability +50% Boost 2] and [Damage Cap +10000 2] to the user","Y","All enemies","60","Combat","G咆雷烈破","31541580","✓","✓"
"Lightning","Guardian Odin","LBGS1","Guardian Thunderfall","Finisher","PHY","Single enemy","Physical","105.42","Lightning, Holy, NE","0.01","Ten single attacks (7.98 each) followed by one single attack (23.18/24.40/25.62) capped at 99999 if the user has Guardian Drive Gauge level 0/1/2","N","Lowest HP% enemy","0","-","G天鳴万雷","20600035","✓","✓"
"Snow","Guardian Shiva","LBGS1","Guardian Icicle Wheelie","1","PHY","Single enemy","Physical","","Ice, NE","0.01","Six single attacks (5.85 each), grants [Damage Cap +10000 1] to the user","Y","Lowest HP% enemy","60","Combat","Gアイシクルウィリー","31542467","","✓"
"Snow","Guardian Shiva","LBGS1","Guardian Frost Edge","2","PHY","All enemies","Physical","","Ice, NE","0.01","One group attack (19.00) capped at 99999, grants [Buff Ice 30% (15s)] to the user","Y","All enemies","60","Combat","","31542468","","✓"
"Snow","Guardian Shiva","LBGS1","Guardian Diamond Dust","Finisher","PHY","Single enemy","Physical","","Ice, NE","0.01","Ten single attacks (7.60 each), followed by one single attack (24.40) capped at 99999, removes [Guardian Summon Mode] from the user, grants [Quick Cast 2] and [Ice +30% Boost 2] to Snow","N","Lowest HP% enemy","0","-","","20310031","","✓"
"Ardyn","Guardian Ifrit","LBGS1","Guardian Pulsefire","1","PHY","All enemies","Physical","35.10","Fire, Dark, NE","0.01","Six group attacks (5.85 each), grants [Fire, Dark Ability +30% Boost 1] to the user","Y","All enemies","60","Combat","G業炎","31541470","✓","✓"
"Ardyn","Guardian Ifrit","LBGS1","Guardian Embers","2","PHY","Single enemy","Physical","17.55","Fire, Dark, NE","0.01","Three single attacks (5.85 each), causes [Imperil Dark 10% (15s)] and [Imperil Fire 10% (15s)]","Y","Lowest HP% enemy","60","Combat","G炎塵","31541471","✓","✓"
"Ardyn","Guardian Ifrit","LBGS1","Guardian Hellfire","Finisher","PHY","Single enemy","Physical","251.00","Fire, Dark, NE","0.01","Ten single attacks (19.00 each), followed by one single attack (61.00) capped at 99999, grants [Quick Cast 3] and [Fire/Dark +30% Boost 3] to Ardyn","N","Lowest HP% enemy","0","-","G地獄の火炎","23520008","✓","✓"
"Lunafreya","Guardian Leviathan","LBGS1","Guardian Torrent ","1","BLK","All enemies","Magical","84.00","Water, Holy, NE","0.01","Six single attacks (14.00 each), grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","60","Black Magic","G奔流","31542917","✓","✓"
"Lunafreya","Guardian Leviathan","LBGS1","Guardian Stream","2","BLK","Single enemy","Magical","45.00","Water, Holy, NE","0.01","One single attack (45.00) capped at 99999","Y","Lowest HP% enemy","60","Black Magic","G貫流","31542918","✓","✓"
"Lunafreya","Guardian Leviathan","LBGS1","Guardian Tsunami","Finisher","BLK","Single enemy","Magical","251.00","Water, Holy, NE","0.01","10 single hits (19.00 each) followed by a single hit overflow hit (61.00), grants [Instant Cast 1] to all FFXV allies","N","Lowest HP% enemy","0","-","G大海嘯","23460014","✓","✓"
