"Character","Source","SB Ver","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","GL","✓"
"Maria","Zenith Comet Arrow CXXVIII","ZSB1","","Kerplode VIII+","BLK","Single enemy","Magical","22.80","Earth","1.80","Six single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","ばくは8改","30111382","","✓"
"Guy","Zenith Superhuman Strength","ZSB1","","Gigantbreak+","PHY","Single enemy","Physical","6.00","Earth","1.65","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Earth 10% (5s)]","Y","Lowest HP% enemy","90","Monk","ギガントブレイク改","30191402","","✓"
"Leon","Zenith Weapon of Darkness","ZSB1","","Darkness Breaker+","PHY","Single enemy","Physical","7.20","Dark","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Darkness","ダークネスブレイカー改","30271362","","✓"
"Minwu","Zenith Bright Sigil","ZSB1","","Holy VIII+","WHT","Single enemy","Magical","23.22","Holy","1.65","Six single attacks (3.87/4.02 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","White Magic","ホーリー8改","30121342","","✓"
"Minwu","Zenith Bright Sigil","ZSB1","","Seal of Heaven+","WHT","Single enemy","Magical","11.01","Holy","1.20","Three single attacks (3.67), causes [Imperil Holy 10% (15s)] every second activation","Y","Lowest HP% enemy","90","White Magic","天命の解印改","30121582","","✓"
"Gordon","Zenith Kashuan's Resolve","ZSB1","","Mark of Resolve+","NAT","Single ally","","","","1.20","Transfers the user's Soul Break points to the target, grants [Instant Cast 1]","N","All allies","100","Support"," 決意の表れ改","30161262","","✓"
"Gordon","Zenith Kashuan's Resolve","ZSB1","","Flames of Kashuan+","NAT","Single enemy","Hybrid","","Fire","1.20","4 single hybrid attacks (1.10 or 3.60 each), causes [DEF -50% (8s)] or [RES -50% (8s)] depending on higher stat of ATK/MAG","N","Lowest HP% enemy","120","Support","カシュオーンの炎改","30161362","","✓"
"Leila","Zenith Pirate's Heart","ZSB1","","Pirate Anchor+","PHY","Single enemy","Physical","6.00","Water, Poison","1.20","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses, causes [ATK and MAG -50% (8s)] every second activation","Y","Lowest HP% enemy","80","Thief","パイレーツアンカー改","30201192","","✓"
"Leila","Zenith Pirate's Knives","ZSB2","","Pirate Anchor+","PHY","Single enemy","Physical","6.00","Water, Poison","1.20","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses, causes [ATK and MAG -50% (8s)] every second activation","Y","Lowest HP% enemy","80","Thief","パイレーツアンカー改","30201192","",""
"Ricard","Zenith Dragoon Rising","ZSB1","","Pride of Deist+","PHY","Single enemy","Physical","7.50","Wind, Lightning, Water, Dark","1.50","Six single ranged jump attacks (1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Dragoon","プライドオブディスト改","30181282","","✓"
"Ricard","Zenith Dragoon Rising","ZSB1","","Will of the Dragoon+","PHY","Single enemy","Physical","4.40","Wind, Lightning, Water, Dark","1.20","Four single ranged jump attacks (1.10 each), grants [Jump Instant Cast] to the user","Y","Lowest HP% enemy","90","Dragoon","決死の竜撃改","30181382","","✓"
"Josef","Zenith Snows of Death","ZSB1","","Heroic Barrage+","PHY","Single enemy","Physical","4.40","Ice","1.20","Four single attacks (1.10 each), grants [10% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","90","Monk","漢の乱打改","30191252","","✓"
"Josef","Zenith Snows of Death","ZSB1","","Hero's Smash+","PHY","Single enemy","Physical","7.20","Ice","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","漢の拳骨改","30191372","","✓"
"Emperor","Zenith Dark Geyser","ZSB1","","Starfall+","BLK","Single enemy","Magical","10.80","Dark, Earth, Wind","1.20","Three single attacks (3.60 each), causes [Imperil Dark 10% (5s)], [Imperil Earth 10% (5s)] and [Imperil Wind 10% (5s)]","Y","Lowest HP% enemy","90","Black Magic","いんせき改","30111532","","✓"
"Emperor","Zenith Dark Geyser","ZSB1","","Repentance Thorns+","BLK","Single enemy","Magical","19.00","Dark, Earth, Wind","1.65","Five single attacks (3.80/3.95 each), capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","ペンテンスの棘改","30111722","","✓"
"Hilda","Zenith Road to Victory","ZSB1","","Wild Rose Prayer+","NAT","All allies","","","","1.65","Restores 2500 HP, grants [10% Damage Reduction Barrier 1]","N","All allies","100","Bard","のばらの祈り改","30241142","","✓"
"Scott","Zenith Shimmering Sword","ZSB1","","Ring of Love+","PHY","Single enemy","Physical","7.50","Fire","1.65","Six single attacks (1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","愛のリング改","30141372","","✓"
"Luneth","Zenith Blade Torrent","ZSB1","","Jump (III)+","PHY","Single enemy","Physical","7.20","Wind","1.65","Six single ranged jump attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Dragoon","ジャンプ【III】改","30181242","","✓"
"Luneth","Zenith Blade Torrent","ZSB1","","Heavenly Gust+","PHY","Single enemy","Physical","3.30","Wind","1.20","Three single ranged jump attacks (1.10 each), grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","Dragoon","天空の一閃改","30181352","","✓"
"Arc","Zenith Divine Wave","ZSB1","","Auroral Leviath+","NAT","Single enemy","Hybrid","","Holy, Water","1.65","Five single hybrid attacks (3.87/4.02 or 5.25/5.40 each), minimum damage 2000 (SUM only), capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","White Magic","優心リバイア改","30121452","","✓"
"Arc","Zenith Divine Wave","ZSB1","","Grace of Water+","SUM","Single enemy","Magical","21.00","Holy, Water","1.80","Four single attacks (5.25 each), minimum damage 2000, grants [Buff Holy 10% (15s)] and [Buff Water 10% (15s)] to all allies every third activation, capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","90","Summoning","グレイスオブウォータ改","30131572","","✓"
"Refia","Zenith Dance of Carnage","ZSB1","","Blazing Fists+","PHY","Single enemy","Physical","7.20","Fire","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","烈火の鍛拳改","30191302","","✓"
"Ingus","Zenith Titan's Blade","ZSB1","","Titan's Blade+","PHY","Single enemy","Physical","4.40","Earth","1.20","Four single attacks (1.10 each), grants [Buff Earth 10% (15s)] to all allies every third activation","Y","Lowest HP% enemy","90","Knight","ティターンブレード改","30211242","","✓"
"Ingus","Zenith Titan's Blade","ZSB1","","Oathsworn Espada+","PHY","Single enemy","Physical","6.90","Earth","1.65","Six single attacks (1.15/1.20/1.25 each at 0/1000/4500 DEF, 1.20/1.25/1.30 each at 0/1000/4500 DEF) capped at 9999/19999 after 0-2/3+ uses  ","Y","Lowest HP% enemy","90","Knight","忠誠のエスパーダ改","30211422","","✓"
"Desch","Zenith Roar of Duty","ZSB1","","Bolt of the Ancients+","BLK","Single enemy","Magical","14.40","Lightning","1.20","Four single attacks (3.60 each), grants [Buff Lightning 10% (15s)] to all allies every second activation","Y","Lowest HP% enemy","90","Black Magic","古代の雷閃改","30111592","","✓"
"Desch","Zenith Roar of Duty","ZSB1","","Ancient Lightning+","BLK","Single enemy","Magical","22.80","Lightning","1.65","Six single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","太古の迅雷改","30111732","","✓"
"Onion Knight","Zenith Grandspell Water","ZSB1","","Onion Wizardry+","BLK","Single enemy","Magical","19.00","Wind, Water, Fire, Earth","1.80","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","たまねぎ大魔法改","30111372","","✓"
"Onion Knight","Zenith Grandspell Fire","ZSB2","","Onion Wizardry+","BLK","Single enemy","Magical","19.00","Wind, Water, Fire, Earth","1.80","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","たまねぎ大魔法改","30111372","","✓"
"Onion Knight","Zenith Onion Master","ZSB3","","Multi-Hit+","PHY","Single enemy","Physical","6.00","Wind, Water, Fire, Earth","1.20","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","80","Celerity","連続ヒット改","30171302","","✓"
"Onion Knight","Zenith Grandspell Earth","ZSB4","","Onion Wizardry+","BLK","Single enemy","Magical","19.00","Wind, Water, Fire, Earth","1.80","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","たまねぎ大魔法改","30111372","","✓"
"Onion Knight","Zenith Grandspell Wind","ZSB5","","Onion Wizardry+","BLK","Single enemy","Magical","19.00","Wind, Water, Fire, Earth","1.80","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","たまねぎ大魔法改","30111372","","✓"
"Cloud of Darkness","Zenith Particle Beam","ZSB1","","Insulating Appendages+","BLK","Single enemy","Magical","19.00","Dark, Lightning","1.65","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Darkness"," 隔たりの触手改","30271352","","✓"
"Cloud of Darkness","Zenith Particle Beam","ZSB1","","Lightning Thorns+","?","Single enemy","Magical","","Lightning","","Seven single attacks (? each), cast time ?/?/?/?/? scaling with [Lightning Thorns Uses]  capped at 9999/19999 after 0-2/3+ uses","?","Lowest HP% enemy","","Witch","でんげきばり改","30301262","",""
"Cloud of Darkness","Zenith Insulating Appendages","ZSB2","","Insulating Appendages+","BLK","Single enemy","Magical","19.00","Dark, Lightning","1.65","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Darkness"," 隔たりの触手改","30271352","","✓"
"Cloud of Darkness","Zenith Insulating Appendages","ZSB2","","Wave Cannon+","BLK","Single enemy","Magical","23.65","Dark","1.20","One single attack (23.65) capped at 99999","Y","Lowest HP% enemy","90","Darkness","はどうほう改","30271272","","✓"
"Cloud of Darkness","Zenith Fusillade Particle Beam","ZSB3","","Insulating Appendages+","BLK","Single enemy","Magical","19.00","Dark, Lightning","1.65","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Darkness"," 隔たりの触手改","30271352","","✓"
"Cloud of Darkness","Zenith Fusillade Particle Beam","ZSB3","","Wave Cannon+","BLK","Single enemy","Magical","23.65","Dark","1.20","One single attack (23.65) capped at 99999","Y","Lowest HP% enemy","90","Darkness","はどうほう改","30271272","","✓"
"Cloud of Darkness","Zenith Fusillade Particle Beam","ZSB3","","Lightning Thorns+","?","Single enemy","Magical","","Lightning","","Seven single attacks (? each), cast time ?/?/?/?/? scaling with [Lightning Thorns Uses]  capped at 9999/19999 after 0-2/3+ uses","?","Lowest HP% enemy","","Witch","でんげきばり改","30301262","",""
"Aria","Zenith Prismatic Light","ZSB1","","Maiden of Water+","WHT","All allies","","","","1.20","Restores HP (25), grants [HP Stock (1000)]","N","All allies","90","White Magic","水の巫女改","30121542","","✓"
"Aria","Zenith Prismatic Light","ZSB1","","Prismatic Light+","NAT","All allies","","","","1.65","Grants [HP Stock (1500)], grants [High Quick Cast 1] every second activation","N","All allies","100","Bard","虹の光改","30241162","","✓"
"Cecil (Dark Knight)","Zenith Guilty Blade","ZSB1","","Darkness+","PHY","Single enemy","Physical","7.80","Dark","1.65","Six single attacks (1.30 each) capped at 9999/19999 after 0-2/3+ uses and damages the user for 10% max HP","Y","Lowest HP% enemy","90","Darkness","あんこく改","30271182","","✓"
"Cecil (Paladin)","Zenith Radiant Wings","ZSB1","","Paladin Force+","NAT","Single enemy","Hybrid","","Holy","1.65","Five single attacks (1.20/1.25 or 3.87/4.02 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","パラディンフォース改","30211182","","✓"
"Cecil (Paladin)","Zenith Radiant Wings","ZSB1","","Saint's Fall+","?","Single enemy","Hybrid","","Holy","1.65","Six single hybrid attacks (? or ? each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","White Magic","セイントダイブ改","30121662","",""
"Cecil (Paladin)","Zenith Paladin Force","ZSB2","","Paladin Force+","NAT","Single enemy","Hybrid","","Holy","1.65","Five single attacks (1.20/1.25 or 3.87/4.02 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","パラディンフォース改","30211182","","✓"
"Cecil (Paladin)","Zenith Paladin Force","ZSB2","","Saint's Fall+","?","Single enemy","Hybrid","","Holy","1.65","Six single hybrid attacks (? or ? each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","White Magic","セイントダイブ改","30121662","",""
"Kain","Zenith Luminous Dragon","ZSB1","","Dragoon's Pride+","PHY","Single enemy","Physical","7.20","Lightning, Dark","1.65","Six single ranged jump attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Dragoon","プライドオブドラグーン改","30181202","","✓"
"Kain","Zenith Luminous Dragon","ZSB1","","Gungnir+","PHY","Single enemy","Physical","4.40","Lightning, Dark","0.01","Four single ranged attacks (1.10 each), grants [100% Critical 1] to the user","Y","Lowest HP% enemy","90","Dragoon","グングニル改","30181322","","✓"
"Kain","Zenith Dragon's Wrath","ZSB2","","Dragoon's Pride+","PHY","Single enemy","Physical","7.20","Lightning, Dark","1.65","Six single ranged jump attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Dragoon","プライドオブドラグーン改","30181202","","✓"
"Kain","Zenith Dragon's Wrath","ZSB2","","Gungnir+","PHY","Single enemy","Physical","4.40","Lightning, Dark","0.01","Four single ranged attacks (1.10 each), grants [100% Critical 1] to the user","Y","Lowest HP% enemy","90","Dragoon","グングニル改","30181322","","✓"
"Rydia","Zenith Fated Encounter","ZSB1","","Summoner's Band+","SUM","All enemies","Magical","21.00","Water, Earth, Holy","1.80","Four single attacks (5.25/5.40 each) capped at 9999/19999 after 0-2/3+ uses","N","All enemies","90","Summoning","サモナーズバンド改","30131442","","✓"
"Rydia","Zenith Fated Encounter","ZSB1","","Law of the Eidolons+","SUM","All enemies","Magical","21.00","Water, Earth, Holy","1.80","Five single attacks (5.25 each) capped at 9999/19999 after 0-2/3+ uses","N","All enemies","90","Summoning","幻獣界の掟改","30131622","","✓"
"Rydia","Zenith Holy Mist","ZSB2","","Summoner's Band+","SUM","All enemies","Magical","21.00","Water, Earth, Holy","1.80","Four single attacks (5.25/5.40 each) capped at 9999/19999 after 0-2/3+ uses","N","All enemies","90","Summoning","サモナーズバンド改","30131442","","✓"
"Rydia","Zenith Holy Mist","ZSB2","","Law of the Eidolons+","SUM","All enemies","Magical","21.00","Water, Earth, Holy","1.80","Five single attacks (5.25 each) capped at 9999/19999 after 0-2/3+ uses","N","All enemies","90","Summoning","幻獣界の掟改","30131622","","✓"
"Rydia","Zenith Raging Giant","ZSB3","","Summoner's Band+","SUM","All enemies","Magical","21.00","Water, Earth, Holy","1.80","Four single attacks (5.25/5.40 each) capped at 9999/19999 after 0-2/3+ uses","N","All enemies","90","Summoning","サモナーズバンド改","30131442","","✓"
"Rydia","Zenith Raging Giant","ZSB3","","Law of the Eidolons+","SUM","All enemies","Magical","21.00","Water, Earth, Holy","1.80","Five single attacks (5.25 each) capped at 9999/19999 after 0-2/3+ uses","N","All enemies","90","Summoning","幻獣界の掟改","30131622","","✓"
"Rosa","Zenith Benediction","ZSB1","","Pray+","WHT","All allies","","","","1.20","Restores HP (20), restores 1 consumed ability use every fourth activation","N","All allies","100","White Magic","いのり改","30121382","","✓"
"Edward","Zenith Everyone! Be Brave!","ZSB1","","Fabled Song+","NAT","All allies","","","","1.65","Grants [111% Quick Cast 1]/[125% Quick Cast 1]/[142% Quick Cast 1]/[166% Quick Cast 1]/[Quick Cast 1], grants [Wanderer 1/2/3/4/4] to the user if the user has Wanderer 0/1/2/3/4","N","All allies","150","Bard","伝説の歌改","30241172","","✓"
"Yang","Zenith Seven-Star Earth Palm","ZSB1","","Fist Dance+","PHY","Single enemy","Physical","7.50","Earth","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","拳の舞改","30191342","","✓"
"Palom","Zenith Twincast","ZSB1","","Magic Barrage+","BLK","Single enemy","Magical","19.00","Lightning, Fire, Ice","1.65","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","魔法乱れ撃ち改","30111682","","✓"
"Porom","Zenith Coordinated Renew","ZSB1","","Healing Tears+","WHT","All allies","","","","1.65","Restores HP (20), grants [HP Stock (1000)]","N","All allies","100","White Magic","ティアーズヒール改","30121482","","✓"
"Porom","Zenith Coordinated Renew","ZSB1","","Healing Wind (IV)+","WHT","All allies","","","","1.20","Restores HP (20), grants [Magical Quick Cast 1] every second cast","N","All allies","100","White Magic","癒しの風【IV】改","30121552","","✓"
"Tellah","Zenith Vortex","ZSB1","","Dire Meteor+","BLK","Single enemy","Magical","35.20","Earth","1.65","Four single attacks (3.80/3.95 each) followed by one single attack (20.00/20.75) that ignores RES capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","90","Black Magic","決死のメテオ改","30111602","","✓"
"Edge","Zenith Triune","ZSB1","","Ninjitsu+","NAT","Single enemy","Hybrid","","Water, Fire, Lightning","0.83","4/5/6 single hybrid attacks (1.20/1.25 or 570/592.5 each) if the user has Physical Blink 0/1/2, grants [Physical Blink 1] and [Physical Blink Stacking 2] to the user, capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","80","Ninja","にんじゅつ改","30231222","",""
"Edge","Zenith Snake Within","ZSB2","","Bio Ninjitsu+","NAT","Single enemy","Hybrid","","Poison","0.82","4 single-target Bio hybrid attacks (1.10/1.15 or 540/562.5 each) & single-target Bio piercing hybrid attack (6.15/6.35 or 20/20.75) capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","80","Ninja","にんじゅつ・毒改","30231312","","✓"
"Fusoya","Zenith Lunar Auspice","ZSB1","","Bless+","WHT","Single enemy","Magical","6.00","Holy","1.20","Five single attacks (3.87/4.02 each) after 0-2/3+ uses, causes [Imperil Holy 10% (5s)]","Y","Lowest HP% enemy","90","White Magic","せいしんは改","30121512","","✓"
"Golbez","Zenith Dark Meteor","ZSB1","","Shadow Drake+","BLK","Single enemy","Magical","22.80","Dark","1.65","Six single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Darkness","こくりゅう改","30271172","","✓"
"Cid (IV)","Zenith Engineer's Trial","ZSB1","","Monkey Wrench+","PHY","Single enemy","Physical","","Lightning","0.01","Five single ranged attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","70","Machinist","改造改","30261302","","✓"
"Cid (IV)","Zenith Engineer's Trial","ZSB1","","Thor's Mighty Hammer+","PHY","Single enemy","Physical","","Lightning","1.20","One single ranged attack (7.10) capped at 99999","Y","Lowest HP% enemy","90","Machinist","ビッグトールハンマー改","30261322","","✓"
