"Character","Realm","Condition 1","1 - Points","Condition 2","2 - Points","Condition 3","3 - Points","Condition 4","4 - Points","Condition 5","5 - Points","Condition 6","6 - Points","Condition 7","7 - Points","Condition 8","8 - Points","Condition 9","9 - Points","GL","✓"
"Maria","II","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Gordon","II","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Josef","II","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Minwu","II","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Leon","II","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Leila","II","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Ricard","II","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Guy","II","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Hilda","II","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Emperor","II","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Scott","II","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Luneth","III","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Refia","III","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Arc","III","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Ingus","III","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Desch","III","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Onion Knight","III","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Cloud of Darkness","III","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Aria","III","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Kain","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Cecil (Dark Knight)","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Cecil (Paladin)","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Edward","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Rydia","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Edge","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Rosa","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Palom","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Porom","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Tellah","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Yang","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Golbez","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Barbariccia","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Ursula","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Rubicante","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Ceodore","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Cid (IV)","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Fusoya","IV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Bartz","V","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Lenna","V","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Galuf","V","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Krile","V","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Faris","V","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Gilgamesh","V","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Exdeath","V","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Gogo (V)","V","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Dorgann","V","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Kelger","V","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Xezat","V","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Terra","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Locke","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Edgar","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Sabin","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Mog","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Relm","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Celes","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Gau","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Cyan","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Setzer","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Shadow","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Leo","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Umaro","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Kekfa","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Strago","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Gogo (VI)","VI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Cloud","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Tifa","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Zack","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Angeal","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Cait Sith","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Cid (VII)","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Aerith","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Sephiroth","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Yuffie","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Genesis","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Shelke","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Elena","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Rufus","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Barret","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Vincent","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Reno","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Rude","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
