"Magicite","Img","Name","0","1","2","3","Type","Auto Target","Formula","Multiplier","Element","Time","Effects","Counter","Name (JP)","ID","GL","✓"
"Mom Bomb (IV)","","Self-Destruct (Single)","80%","65%","50%","30%","BLK","Lowest HP% enemy","Magical","16.20","Fire","1.00","One single attack (16.20)","N","自爆（単体）","","✓","✓"
"Liquid Flame (V)","","Blaze","10%","15%","20%","40%","NAT","All enemies","Magical","21.60","Fire","1.00","One group attack (21.60)","N","ほのお","","✓","✓"
"Liquid Flame (V)","","Fira","20%","35%","50%","50%","BLK","All enemies","Magical","17.28","Fire","1.00","One group attack (17.28)","N","ファイラ","","✓","✓"
"Liquid Flame (V)","","Fire","70%","50%","30%","10%","BLK","Lowest HP% enemy","Magical","16.20","Fire","1.00","One single attack (16.20)","N","ファイア","","✓","✓"
"Firemane (XII)","","Fire","10%","15%","20%","40%","BLK","Lowest HP% enemy","Magical","33.75","Fire","1.00","Three single attacks (11.25 each)","N","ファイア","","✓","✓"
"Firemane (XII)","","Rush","20%","35%","50%","50%","PHY","Lowest HP% enemy","Physical","10.80","-","1.00","Two single attacks (5.40 each)","N","しゃくり","","✓","✓"
"Firemane (XII)","","Kick","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","蹴り","","✓","✓"
"King Bomb (XII)","","Short Fuse","10%","15%","20%","40%","NAT","Random ally without status","","","","1.00","Grants [Instant Cast 1]","N","連続魔","","✓","✓"
"King Bomb (XII)","","Fira","20%","35%","50%","50%","BLK","Lowest HP% enemy","Magical","27.00","Fire","1.00","Two single attacks (13.50 each)","N","ファイラ","","✓","✓"
"King Bomb (XII)","","Lunge","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","体当たり","","✓","✓"
"Maliris (IX)","","Raining Swords","10%","15%","20%","40%","PHY","All enemies","Physical","10.80","-","1.00","Two group ranged attacks (5.40 each)","N","剣の雨","","✓","✓"
"Maliris (IX)","","Mustard Bomb","20%","35%","50%","50%","NAT","Lowest HP% enemy","Magical","27.00","Fire","1.00","Two single attacks (13.50 each)","N","マスタードボム","","✓","✓"
"Maliris (IX)","","Firaga","70%","50%","30%","10%","BLK","Lowest HP% enemy","Magical","20.26","Fire","1.00","Two single attacks (10.13 each)","N","ファイガ","","✓","✓"
"Belias (XII)","","Demonic Flame","10%","15%","20%","100%","PHY","Lowest HP% enemy","Physical","11.60","Fire","1.00","One single attack (11.60) capped at 99999","N","火鬼撃","","✓","✓"
"Belias (XII)","","Flaming Horn","20%","35%","60%","0%","PHY","Lowest HP% enemy","Physical","9.45","Fire","1.00","Three single attacks (3.15 each)","N","ヒートホーン","","✓","✓"
"Belias (XII)","","Hit","70%","50%","20%","0%","PHY","Lowest HP% enemy","Physical","8.52","-","1.00","Two single attacks (4.26 each)","N","なぐる","","✓","✓"
"Phoenix (VI)","","Death's Pyre","10%","15%","20%","100%","BLK","Lowest HP% enemy","Magical","35.00","Fire","1.00","One single attack (35.00) capped at 99999","N","往生の炎","","✓","✓"
"Phoenix (VI)","","Firaga","20%","35%","60%","0%","BLK","Lowest HP% enemy","Magical","28.35","Fire","1.00","Three single attacks (9.45 each)","N","ファイガ","","✓","✓"
"Phoenix (VI)","","Lunge","70%","50%","20%","0%","PHY","Lowest HP% enemy","Physical","8.52","-","1.00","Two single attacks (4.26 each)","N","体当たり","","✓","✓"
"Ifrit (X)","","Crushing Flame","100%","100%","100%","100%","NAT","Lowest HP% enemy","","","","1.00","One single attack that deals 30000 damage, causes [Imperil Fire 10% (15s)]","N","劫炎の撃砕","","✓","✓"
"Gnoll (IX)","","Blizzara","20%","35%","50%","70%","BLK","Lowest HP% enemy","Magical","15.00","Ice","1.00","One single attack (15.00)","N","ブリザラ","","✓","✓"
"Gnoll (IX)","","Gnoll Attack","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","4.50","-","1.00","One single attack (4.50)","N","ノールアタック","","✓","✓"
"Snowman (II)","","Snowball","20%","35%","50%","70%","PHY","Lowest HP% enemy","Physical","5.00","Ice","1.00","One single ranged attack (5.00)","N","スノーボール","","✓","✓"
"Snowman (II)","","Attack","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","4.50","-","1.00","One single attack (4.50)","N","たたかう","","✓","✓"
"Snow Lion (VIII)","","Ice Breath","20%","35%","50%","70%","NAT","All enemies","Magical","14.40","Ice","1.00","One group attack (14.40)","N","アイスブレス","","✓","✓"
"Snow Lion (VIII)","","Rush","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","5.40","-","1.00","One single attack (5.40)","N","突進","","✓","✓"
"White Dragon (I)","","Icestorm","20%","35%","50%","70%","NAT","All enemies","Magical","14.40","Ice","1.00","One group attack (14.40)","N","ふぶき","","✓","✓"
"White Dragon (I)","","Attack","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","5.40","-","1.00","One single attack (5.40)","N","たたかう","","✓","✓"
"Taharka (IX)","","Blizzaga","10%","15%","20%","40%","BLK","Lowest HP% enemy","Magical","27.00","Ice","1.00","One single attack (27.00)","N","ブリザガ","","✓","✓"
"Taharka (IX)","","Chop","20%","35%","50%","50%","PHY","Lowest HP% enemy","Physical","8.64","-","1.00","One single attack (8.64)","N","切りきざむ","","✓","✓"
"Taharka (IX)","","Lunge","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","6.84","-","1.00","One single attack (6.84)","N","体当たり","","✓","✓"
"Wendigo (XII)","","Haste","10%","15%","20%","40%","WHT","Random ally without status","","","","1.00","Grants [Haste]","N","ヘイスト","","✓","✓"
"Wendigo (XII)","","Tri-Attack","20%","35%","50%","50%","PHY","Random enemy without status","Physical","8.21","-","1.00","One single attack (8.21), causes [Slow] (29%)","N","トライアタック","","✓","✓"
"Wendigo (XII)","","Blizzara","70%","50%","30%","10%","BLK","Lowest HP% enemy","Magical","16.20","Ice","1.00","One single attack (16.20)","N","ブリザラ","","✓","✓"
"Sealion (IX)","","Blizzara","10%","15%","20%","40%","BLK","All enemies","Magical","21.60","Ice","1.00","One group attack (21.60)","N","ブリザラ","","✓","✓"
"Sealion (IX)","","Blizzard","20%","35%","50%","50%","BLK","Lowest HP% enemy","Magical","21.60","Ice","1.00","One single attack (21.60)","N","ブリザド","","✓","✓"
"Sealion (IX)","","Wing","70%","50%","30%","10%","PHY","Random enemy without status","Physical","6.16","-","1.00","One single attack (6.16), causes [Slow] (22%)","N","ウイング","","✓","✓"
"Krysta (VIII)","","Dextral Claws","10%","15%","20%","40%","PHY","Lowest HP% enemy","Physical","11.25","Ice","1.00","Three single ranged attacks (3.75 each)","N","右爪","","✓","✓"
"Krysta (VIII)","","Blizzara","20%","35%","50%","50%","BLK","Lowest HP% enemy","Magical","27.00","Ice","1.00","Two single attacks (13.50 each)","N","ブリザラ","","✓","✓"
"Krysta (VIII)","","Aim","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","チャージ","","✓","✓"
"Dullahan (VI)","","Northern Cross","10%","15%","20%","40%","NAT","All enemies","Magical","25.66","Ice","1.00","Two group attacks (12.83 each), causes [Stop] (21%)","N","ノーザンクロス","","✓","✓"
"Dullahan (VI)","","Blizzaga","20%","35%","50%","50%","BLK","Lowest HP% enemy","Magical","27.00","Ice","1.00","Two single attacks (13.50 each)","N","ブリザガ","","✓","✓"
"Dullahan (VI)","","Morning Star","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","モーニングスター","","✓","✓"
"Isgebind (XIV)","","Sheet of Ice","10%","15%","20%","40%","PHY","All enemies","Physical","8.56","Ice","1.00","Two group ranged attacks (4.28 each), causes [Paralyze] (21%) and [Sap] (21%)","N","シート・オブ・アイス","","✓","✓"
"Isgebind (XIV)","","Rime Wreath","20%","35%","50%","50%","PHY","All enemies","Physical","8.64","-","1.00","Two group ranged attacks (4.32 each)","N","ライムリリース","","✓","✓"
"Isgebind (XIV)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","たたかう","","✓","✓"
"Manticore (V)","","Chilling Fang","10%","15%","20%","100%","PHY","Lowest HP% enemy","Physical","11.60","Ice","1.00","One single attack (11.60) capped at 99999","N","こごえるきば","","✓","✓"
"Manticore (V)","","Ice Claw","20%","35%","60%","0%","PHY","Lowest HP% enemy","Physical","9.45","Ice","1.00","Three single attacks (3.15 each)","N","アイスクロー","","✓","✓"
"Manticore (V)","","Critical","70%","50%","20%","0%","PHY","Lowest HP% enemy","Physical","8.52","-","1.00","Two single attacks (4.26 each)","N","クリティカル","","✓","✓"
"Mateus (XII)","","Flash-Freeze","10%","15%","20%","100%","BLK","Lowest HP% enemy","Magical","35.00","Ice","1.00","One single attack (35.00) capped at 99999","N","凍天撃","","✓","✓"
"Mateus (XII)","","Blizzaga","20%","35%","60%","0%","BLK","Lowest HP% enemy","Magical","28.35","Ice","1.00","Three single attacks (9.45 each)","N","ブリザガ","","✓","✓"
"Mateus (XII)","","Blizzard","70%","50%","20%","0%","BLK","Lowest HP% enemy","Magical","24.30","Ice","1.00","Two single attacks (12.15 each)","N","ブリザド","","✓","✓"
"Shiva (X)","","Hoarfrost Chillboom","100%","100%","100%","100%","NAT","Lowest HP% enemy","","","","1.00","One single attack that deals 30000 damage, causes [Imperil Ice 10% (15s)]","N","白氷の冷華","","✓","✓"
"Yellow Elemental (X)","","Thunder (Group)","20%","35%","50%","70%","BLK","All enemies","Magical","12.00","Lightning","1.00","One group attack (12.00)","N","サンダー（全体）","","✓","✓"
"Yellow Elemental (X)","","Thunder","80%","65%","50%","30%","BLK","Lowest HP% enemy","Magical","11.75","Lightning","1.00","One single attack (11.75)","N","サンダー","","✓","✓"
"Kalavinka Striker (XIII)","","Hellstorm Bolt","10%","15%","20%","40%","NAT","All enemies","Magical","15.00","Lightning","1.00","One group attack (15.00)","N","ヘルブラスト","","✓","✓"
"Kalavinka Striker (XIII)","","Electrified Breath","20%","35%","50%","50%","NAT","Lowest HP% enemy","Magical","15.00","Lightning","1.00","One single attack (15.00)","N","ショックブレス","","✓","✓"
"Kalavinka Striker (XIII)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","4.50","-","1.00","One single attack (4.50)","N","たたかう","","✓","✓"
"Ymir (VI)","","Megavolt","20%","35%","50%","70%","NAT","All enemies","Magical","14.40","Lightning","1.00","One group attack (14.40)","N","1万ボルト","","✓","✓"
"Ymir (VI)","","Slime","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","5.13","-","1.00","One single ranged attack (5.13), causes [Slow] (12%)","N","ねんえき","","✓","✓"
"Thunder Dragon (IV)","","Thunderbolt","20%","35%","50%","70%","NAT","All enemies","Magical","14.40","Lightning","1.00","One group attack (14.40)","N","いなずま","","✓","✓"
"Thunder Dragon (IV)","","Attack","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","5.40","-","1.00","One single attack (5.40)","N","たたかう","","✓","✓"
"Humbaba (VI)","","1000 Needles","10%","15%","20%","40%","NAT","Lowest HP% enemy","","","","1.00","Deals 1000 damage","N","針千本","","✓","✓"
"Humbaba (VI)","","Thundaga","20%","35%","50%","50%","BLK","Lowest HP% enemy","Magical","21.60","Lightning","1.00","One single attack (21.60)","N","サンダガ","","✓","✓"
"Humbaba (VI)","","Thundara","70%","50%","30%","10%","BLK","Lowest HP% enemy","Magical","16.20","Lightning","1.00","One single attack (16.20)","N","サンダラ","","✓","✓"
"Enlil (XIII)","","Bellow","10%","15%","20%","40%","NAT","Random ally without status","","","","1.00","Grants [ATK +25%], [DEF -25%] for Next Damaging Action","N","おたけび","","✓","✓"
"Enlil (XIII)","","Thunderburst","20%","35%","50%","50%","NAT","Lowest HP% enemy","Magical","21.60","Lightning","1.00","One single attack (21.60)","N","雷球","","✓","✓"
"Enlil (XIII)","","Trample","70%","50%","30%","10%","PHY","All enemies","Physical","5.18","-","1.00","One group attack (5.18)","N","ふみつぶす","","✓","✓"
"Hydra (V)","","Thunderbolt","10%","15%","20%","40%","NAT","All enemies","Magical","21.60","Lightning","1.00","One group attack (21.60)","N","いなずま","","✓","✓"
"Hydra (V)","","Rush","20%","35%","50%","50%","PHY","Lowest HP% enemy","Physical","8.64","-","1.00","One single attack (8.64)","N","突進","","✓","✓"
"Hydra (V)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","6.48","-","1.00","One single attack (6.48)","N","たたかう","","✓","✓"
"Mimic Queen (XII)","","Thundaga","10%","15%","20%","40%","BLK","Lowest HP% enemy","Magical","33.75","Lightning","1.00","Three single attacks (11.25 each)","N","サンダガ","","✓","✓"
"Mimic Queen (XII)","","Thunder","20%","35%","50%","50%","BLK","Lowest HP% enemy","Magical","27.00","Lightning","1.00","Three single attacks (9.00 each)","N","サンダー","","✓","✓"
"Mimic Queen (XII)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","たたかう","","✓","✓"
"Garuda (III)","","Thundaga","10%","15%","20%","40%","BLK","Lowest HP% enemy","Magical","33.75","Lightning","1.00","Three single attacks (11.25 each)","N","サンダガ","","✓","✓"
"Garuda (III)","","Thundara","20%","35%","50%","50%","BLK","All enemies","Magical","21.60","Lightning","1.00","Two group attacks (10.80 each)","N","サンダラ","","✓","✓"
"Garuda (III)","","Blast Wave","70%","50%","30%","10%","PHY","All enemies","Physical","6.48","-","1.00","Two group ranged attacks (3.24 each)","N","衝撃波","","✓","✓"
"Ixion (X)","","Evade","10%","15%","20%","40%","NAT","Random ally without status","","","","1.00","Grants [Water Blink 1]","N","回避","","✓","✓"
"Ixion (X)","","Aerospark","20%","35%","50%","50%","PHY","Lowest HP% enemy","Physical","8.55","Lightning","1.00","One single ranged attack (8.55), removes positive effects","N","エアロスパーク","","✓","✓"
"Ixion (X)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","たたかう","","✓","✓"
"Behemoth King (XIII)","","Thundering Strike","10%","15%","20%","100%","PHY","Lowest HP% enemy","Physical","11.60","Lightning","1.00","One single attack (11.60) capped at 99999","N","雷鳴撃","","✓","✓"
"Behemoth King (XIII)","","Spark Horn","20%","35%","60%","0%","PHY","Lowest HP% enemy","Physical","9.45","Lightning","1.00","Three single attacks (3.15 each)","N","スパークホーン","","✓","✓"
"Behemoth King (XIII)","","Rake","70%","50%","20%","0%","PHY","Lowest HP% enemy","Physical","8.52","-","1.00","Two single attacks (4.26 each)","N","ひっかき","","✓","✓"
"Quetzalcoatl (VIII)","","Thunder Call","10%","15%","20%","100%","BLK","Lowest HP% enemy","Magical","35.00","Lightning","1.00","One single attack (35.00) capped at 99999","N","召雷","","✓","✓"
"Quetzalcoatl (VIII)","","Thundaga","20%","35%","60%","0%","BLK","Lowest HP% enemy","Magical","28.35","Lightning","1.00","Three single attacks (9.45 each)","N","サンダガ","","✓","✓"
"Quetzalcoatl (VIII)","","Thundara","70%","50%","20%","0%","BLK","Lowest HP% enemy","Magical","24.30","Lightning","1.00","Two single attacks (12.15 each)","N","サンダラ","","✓","✓"
"Ramuh (VI)","","Thunderous Rebuke","100%","100%","100%","100%","NAT","Lowest HP% enemy","","","","1.00","One single attack that deals 30000 damage, causes [Imperil Lightning 10% (15s)]","N","轟雷の制裁","","✓","✓"
"Mimic Queen (Ultra Gigas)","","Gigas Blast: Lightning","100%","100%","100%","100%","NAT","Lowest HP% enemy","","","","","One single attack that deals 199999 damage, causes [Imperil Lightning 20% (?s)], grants [Buff Lightning 20% (?s)] to all allies","N","ギガスブラスト・雷","","",""
"Earth Elemental (I)","","Quake","20%","35%","50%","70%","BLK","All enemies","Magical","12.00","Earth","1.00","One group attack (12.00)","N","クエイク","","✓","✓"
"Earth Elemental (I)","","Attack","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","4.50","-","1.00","One single attack (4.50)","N","たたかう","","✓","✓"
"Clay Golem (I)","","Haste","20%","35%","50%","70%","WHT","Random ally without status","","","","1.00","Grants [Haste]","N","ヘイスト","","✓","✓"
"Clay Golem (I)","","Quake","80%","65%","50%","30%","BLK","All enemies","Magical","9.00","Earth","1.00","One group attack (9.00)","N","クエイク","","✓","✓"
"Ralvuimago (IX)","","Power of the Land","10%","15%","20%","40%","NAT","All enemies","Magical","18.00","Earth","1.00","One group attack (18.00)","N","大地のパワー","","✓","✓"
"Ralvuimago (IX)","","Ultrasonic Waves","20%","35%","50%","50%","NAT","Random enemy without status","","","","1.00","[ATK -30%] for 15 seconds","N","超音波","","✓","✓"
"Ralvuimago (IX)","","Sting","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","5.40","-","1.00","One single attack (5.40)","N","刺す","","✓","✓"
"Antlion (IX)","","Sandstorm","10%","15%","20%","40%","NAT","All enemies","Magical","17.10","Earth","1.00","One group attack (17.10), causes [Blind] (14%)","N","サンドストーム","","✓","✓"
"Antlion (IX)","","Trouble Mucus","20%","35%","50%","50%","PHY","Lowest HP% enemy","Physical","6.84","-","1.00","One single attack (6.84), causes [Confuse] (16%)","N","メイワク粘液","","✓","✓"
"Antlion (IX)","","Counter Horn","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","5.40","-","1.00","One single attack (5.40)","N","反撃の角","","✓","✓"
"Sand Worm (X)","","Earthquake","10%","15%","20%","40%","NAT","All enemies","Magical","21.60","Earth","1.00","One group attack (21.60)","N","地震","","✓","✓"
"Sand Worm (X)","","Ram","20%","35%","50%","50%","PHY","Lowest HP% enemy","Physical","8.64","-","1.00","One single attack (8.64)","N","頭突き","","✓","✓"
"Sand Worm (X)","","Tail","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","6.48","-","1.00","One single attack (6.48)","N","しっぽ","","✓","✓"
"Shell Dragon (IX)","","Earth Shake","10%","15%","20%","40%","NAT","All enemies","Magical","21.60","Earth","1.00","One group attack (21.60)","N","アースシェイク","","✓","✓"
"Shell Dragon (IX)","","Rush","20%","35%","50%","50%","PHY","All enemies","Physical","6.91","-","1.00","One group attack (6.91)","N","突進","","✓","✓"
"Shell Dragon (IX)","","Crush","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","6.48","-","1.00","One single attack (6.48)","N","押しつぶす","","✓","✓"
"Golem (V)","","Earthen Wall","10%","15%","20%","40%","NAT","Random ally without status","","","","1.00","Grants [Lightning Stoneskin: Magicite 30%]","N","アースウォール","","✓","✓"
"Golem (V)","","Earthquake","20%","35%","50%","50%","NAT","All enemies","Magical","17.28","Earth","1.00","One group attack (17.28)","N","地震","","✓","✓"
"Golem (V)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","6.48","-","1.00","One single attack (6.48)","N","たたかう","","✓","✓"
"Earth Guardian (IX)","","Earth Shake","10%","15%","20%","40%","NAT","All enemies","Magical","27.00","Earth","1.00","Two group attacks (13.50 each)","N","アースシェイク","","✓","✓"
"Earth Guardian (IX)","","Stonega","20%","35%","50%","50%","BLK","Lowest HP% enemy","Magical","27.00","Earth","1.00","Two single attacks (13.50 each)","N","ストンガ","","✓","✓"
"Earth Guardian (IX)","","Double Slash","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","諸手斬り","","✓","✓"
"Catastrophe (V)","","Quake","10%","15%","20%","40%","BLK","All enemies","Magical","27.00","Earth","1.00","Two group attacks (13.50 each)","N","クエイク","","✓","✓"
"Catastrophe (V)","","Critical","20%","35%","50%","50%","PHY","Lowest HP% enemy","Physical","10.80","-","1.00","Two single attacks (5.40 each)","N","クリティカル","","✓","✓"
"Catastrophe (V)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","たたかう","","✓","✓"
"Midgardsormr (VI)","","Quake","10%","15%","20%","40%","BLK","All enemies","Magical","27.00","Earth","1.00","Two group attacks (13.50 each)","N","クエイク","","✓","✓"
"Midgardsormr (VI)","","Stonega","20%","35%","50%","50%","BLK","Lowest HP% enemy","Magical","27.00","Earth","1.00","Two single attacks (13.50 each)","N","ストンガ","","✓","✓"
"Midgardsormr (VI)","","Tail","70%","50%","30%","10%","PHY","All enemies","Physical","6.48","-","1.00","Two group attacks (3.24 each)","N","しっぽ","","✓","✓"
"Adamantoise (XV)","","Gargantuan Roar","10%","15%","20%","100%","PHY","All enemies","Physical","10.00","Earth","1.00","One group ranged attack (10.00) capped at 99999","N","巨獣鳴動","","✓","✓"
"Adamantoise (XV)","","Rock Smash","20%","35%","60%","0%","PHY","Lowest HP% enemy","Physical","9.45","Earth","1.00","Three single attacks (3.15 each)","N","岩砕撃","","✓","✓"
"Adamantoise (XV)","","Ram","70%","50%","20%","0%","PHY","Lowest HP% enemy","Physical","8.52","-","1.00","Two single attacks (4.26 each)","N","頭突き","","✓","✓"
"Hecatoncheir (XIII)","","Quakeja","10%","15%","20%","100%","BLK","All enemies","Magical","28.50","Earth","1.00","One group attack (28.50) capped at 99999","N","クエイジャ","","✓","✓"
"Hecatoncheir (XIII)","","Stonega","20%","35%","60%","0%","BLK","Lowest HP% enemy","Magical","28.35","Earth","1.00","Three single attacks (9.45 each)","N","ストンガ","","✓","✓"
"Hecatoncheir (XIII)","","Rush","70%","50%","20%","0%","PHY","Lowest HP% enemy","Physical","8.52","-","1.00","Two single attacks (4.26 each)","N","ラッシュ","","✓","✓"
"Titan (V)","","Guttural Rage","100%","100%","100%","100%","NAT","Lowest HP% enemy","","","","1.00","One single attack that deals 30000 damage, causes [Imperil Earth 10% (15s)]","N","剛地の憤怒","30600265","✓","✓"
"Sandworm (Ultra Gigas)","","Gigas Blast: Earth","100%","100%","100%","100%","NAT","Lowest HP% enemy","","","","","One single attack that deals 199999 damage, causes [Imperil Earth 20% (?s)], grants [Buff Earth 20% (?s)] to all allies","N","ギガスブラスト・地","","",""
"Rangda (XIII)","","Aeroga","10%","15%","20%","40%","NAT","Lowest HP% enemy","Magical","18.75","Wind","1.00","One single attack (18.75)","N","エアロガ","","✓","✓"
"Rangda (XIII)","","Aerora","20%","35%","50%","50%","NAT","Lowest HP% enemy","Magical","15.00","Wind","1.00","One single attack (15.00)","N","エアロラ","","✓","✓"
"Rangda (XIII)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","4.50","-","1.00","One single attack (4.50)","N","たたかう","","✓","✓"
"Galypdes (V)","","Cyclonic","10%","15%","20%","40%","NAT","All enemies","Magical","15.00","Wind","1.00","One group attack (15.00)","N","大旋風","","✓","✓"
"Galypdes (V)","","Flap","20%","35%","50%","50%","PHY","Lowest HP% enemy","Physical","6.00","-","1.00","One single attack (6.00)","N","はばたく","","✓","✓"
"Galypdes (V)","","Shamshir","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","4.50","-","1.00","One single attack (4.50)","N","シャムシール","","✓","✓"
"Zu (V)","","Wing Gale","20%","35%","50%","70%","NAT","All enemies","Magical","14.40","Wind","1.00","One group attack (14.40)","N","ブレスウイング","","✓","✓"
"Zu (V)","","Attack","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","5.40","-","1.00","One single attack (5.40)","N","たたかう","","✓","✓"
"Rapps (VII)","","Aeroga","20%","35%","50%","70%","NAT","Random enemy","Magical","18.00","Wind","1.00","One random attack (18.00)","N","エアロガ","","✓","✓"
"Rapps (VII)","","Scorpion's Tail","80%","65%","50%","30%","PHY","Random enemy without status","Physical","5.13","-","1.00","One single attack (5.13), causes [Poison] (12%)","N","サソリの尾","","✓","✓"
"Wing Raptor (V)","","Wing Gale","10%","15%","20%","40%","NAT","All enemies","Magical","21.60","Wind","1.00","One group attack (21.60)","N","ブレスウイング","","✓","✓"
"Wing Raptor (V)","","Claw","20%","35%","50%","50%","PHY","Lowest HP% enemy","Physical","8.64","-","1.00","One single attack (8.64)","N","つめ","","✓","✓"
"Wing Raptor (V)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","6.48","-","1.00","One single attack (6.48)","N","たたかう","","✓","✓"
"Enkidu (V)","","Dischord","10%","15%","20%","40%","NAT","Random enemy without status","","","","1.00","[DEF and RES -20%] for 15 seconds","N","かいおんぱ","","✓","✓"
"Enkidu (V)","","Wind Slash","20%","35%","50%","50%","NAT","Lowest HP% enemy","Magical","21.60","Wind","1.00","One single attack (21.60)","N","かまいたち","","✓","✓"
"Enkidu (V)","","Aerora","70%","50%","30%","10%","NAT","Lowest HP% enemy","Magical","16.20","Wind","1.00","One single attack (16.20)","N","エアロラ","","✓","✓"
"Fenrir (VI)","","Withering Winds","10%","15%","20%","40%","NAT","All enemies","Magical","21.60","Wind","1.00","One group attack (21.60)","N","千年の風化","","✓","✓"
"Fenrir (VI)","","Wind Slash","20%","35%","50%","50%","NAT","Lowest HP% enemy","Magical","21.60","Wind","1.00","One single attack (21.60)","N","かまいたち","","✓","✓"
"Fenrir (VI)","","Bite","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","6.48","-","1.00","One single attack (6.48)","N","かみつく","","✓","✓"
"Sylph (V)","","Haste","10%","15%","20%","40%","WHT","Random ally without status","","","","1.00","Grants [Haste]","N","ヘイスト","","✓","✓"
"Sylph (V)","","Aerora","20%","35%","50%","50%","BLU","Lowest HP% enemy","Magical","27.00","Wind","1.00","Two single attacks (13.50 each)","N","エアロラ","","✓","✓"
"Sylph (V)","","Aero","70%","50%","30%","10%","BLU","Lowest HP% enemy","Magical","20.26","Wind","1.00","Two single attacks (10.13 each)","N","エアロ","","✓","✓"
