"Source Type","Source","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID","GL","✓"
"Follow-Up Status","Dual Awoken Deist Dragoon Mode II (Ricard)","","Dual Dragon Knight's Onslaught","NAT","All allies","","","","0.01","Grants [Jump +50% Boost 1] to all allies","N","All Allies","0","Special","31542614","","✓"
"Follow-Up Status","Dragon Thrust Follow-Up","","Dragon Thrust","PHY","Single enemy","Physical","","Wind, Lightning, Water, Dark, NE","0.01","Four singled ranged jump attacks (? each)","Y","Lowest HP% enemy","0","Dragoon","","","✓"
"Follow-Up Status","Chain Force Mode: Cid Raines (Dark)","","Dark Guidance: Cid Raines","BLK","Single enemy","Magical","7.80","Dark, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with [Dark Guidance: Cid Raines Uses], grants [Dark Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31542626","","✓"
"Follow-Up Status","Break Javelin Follow-Up","","Break Javelin","PHY","Single enemy","Physical","1.96","Ice, Water, NE","0.01","Four single attacks (0.49 each), causes [ATK and DEF -50% (8s)]/[DEF and RES -50% (8s)] after 1+2n/2+2n uses, 100% hit rate","Y","Lowest HP% enemy","0","Shooter","31542628","","✓"
"Follow-Up Status","Chain Force Mode: Noel (Ice)","","Ice Guidance: Noel","PHY","Single enemy","Physical","1.95","Ice, NE","0.01","One single attack (1.95/2.05) capped at 99999 scaling with [Ice Guidance: Noel Uses], grants [Ice Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Shooter","31542633","","✓"
"Follow-Up Status","Zenith Mode: Kefka (Poison)","","Spirit Attack: Kefka (Poison)","BLK","Single enemy","Magical","21.28","Dark, Poison, NE","0.01","Eight single attacks (2.66/3.01 each), higher multiplier if exploiting Poison weakness, capped at 19999, grants [Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Darkness","31542636","","✓"
"Follow-Up Status","Zenith Mode: Leila (Poison)","","Spirit Attack: Leila (Poison)","NAT","Self","","","","0.01","Grants [100% Critical 3] and [Deadly Strikes +20% 3] to the user","N","Self","0","Special","31542641","","✓"
"Follow-Up Status","Chain Force Mode: Leila (Poison)","","Poison Guidance: Leila","PHY","Single enemy","Physical","1.28","Poison, NE","0.01","Four single attacks (0.32 each)","Y","Lowest HP% enemy","0","Thief","31542644","","✓"
"Follow-Up Status","Zenith Mode: Marcus (Wind, Poison)","","Spirit Attack: Marcus (Wind, Poison)","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10% (5s)] and [Imperil Poison 10% (5s)], grants [Buff Wind 10% (5s)] and [Buff Poison 10% (5s)] to all allies","N","Lowest HP% enemy","0","Special","31542645","","✓"
"Follow-Up Status","Chain Force Mode: Marcus (Poison)","","Poison Guidance: Marcus","NAT","All allies","","","","0.01","Grants [Instant Cast 1] to all allies","N","All Allies","0","Special","31542648","","✓"
"Follow-Up Status","Toxic Break Follow-Up","","Toxic Break","PHY","Single enemy","Physical","2.68","Wind, Poison, NE","0.01","Four single attacks (0.67 each), causes [ATK and DEF -50% (8s)]/[MAG and RES -50% (8s)] every 1+2n/2+2n casts","Y","Lowest HP% enemy","0","Thief","31542650","","✓"
"Follow-Up Status","Zenith Mode: Sabin (Fire)","","Spirit Attack: Sabin (Fire)","NAT","Self","","","","0.01","Grants [Quick Cast 3], [Physical Blink Stacking 2], and [Phyiscal Blink 2] to the user","N","Self","0","Fire","31542653","","✓"
"Follow-Up Status","Zenith Mode: Setzer (Support)","","Spirit Attack: Setzer (Support)","PHY","Single enemy","Physical","0.80","Dark, NE","0.01","Randomly deals one single ranged attack (0.80 each) and causes [DEF -30% (8s), or deals two single ranged attacks (0.80 each) and causes [DEF and RES -30% (8s)], or deals six single ranged attacks (0.80 each) and causes [ATK, DEF, MAG and RES -30% (8s)]","Y","Lowest HP% enemy","0","Shooter","31542654","","✓"
"Follow-Up Status","Chain Force Mode: Sabin (Fire)","","Fire Guidance: Sabin","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies","N","All Allies","0","Special","31542657","","✓"
"Follow-Up Status","Ton 80 Follow-Up","","Ton 80","NAT","All allies","","","","0.01","Grants [Dark +50% Boost 1] to all allies","N","All Allies","0","Special","31542661","","✓"
"Follow-Up Status","Awoken High Roller Mode","","Gamer Awakening Mode","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies","N","All Allies","0","Special","31542663","","✓"
"Follow-Up Status","Chain Force Mode: Rubicante (Fire)","","Fire Guidance: Rubicante","BLK","Single enemy","Magical","5.28","Fire, NE","0.01","Four single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31542670","","✓"
"Follow-Up Status","Chain Force Mode: Shantotto (Lightning)","","Lightning Guidance: Shantotto","BLK","Single enemy","Magical","7.80","Lightning, NE","0.01","One single attack (7.80/8.20 each) capped at 99999 damage increasing with [Lightning Guidance: Shantotto Uses], grants [Lightning Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Witch","31542679","","✓"
"Follow-Up Status","Zenith Mode: Gladiolus (Earth)","","Spirit Attack: Gladiolus (Earth)","PHY","Single enemy","Physical","6.40","Earth, NE","0.01","Six single attacks (0.80/0.90 each) with a higher multiplier if hitting Earth weakness, grants [Earth Ability Instant Cast 3] to the user","Y","Lowest HP% enemy","0","Knight","31542680","","✓"
"Follow-Up Status","Zenith Mode: Alisaie (Wind, Lightning)","","Spirit Attack: Alisaie (Lightning, Wind)","BLK","Single enemy","Magical","7.80","Wind, Lightning, NE","0.01","Four single attacks (2.60 each), grants [Magical Quick Cast 1] to user","Y","Lowest HP% enemy","0","Black Magic","31542682","","✓"
"Follow-Up Status","Chain Force Mode: Alisaie","","Kindred Guidance: Alisaie","BLK","Single enemy","Magical","7.80","Wind, Lightning, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with [Kindred Guidance: Alisaie Uses], grants [Wind/Lightning Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31542683","","✓"
"Follow-Up Status","Zenith Mode: Estinien","","Spirit Attack: Estinien","PHY","Single enemy","Physical","3.36","Wind, Dark, NE","0.01","One single ranged jump attack (3.36), grants [Dragoon Instant Cast 3]/[Damage +50% Boost 1] and [Quick Cast 1] if 0-3/4+ FF14 allies are alive","Y","Lowest HP% enemy","0","Dragoon","31542684","","✓"
"Follow-Up Status","Dual Awoken Ex-Azure Dragoon Mode II (Estinien)","","Longan Power","NAT","All allies","","","","0.01","Causes [Imperil Prismatic 20% (15s)] and grants [ATK and MND +30%, DEF and RES +25% (8s)]/[ATK and MAG +30%, DEF and RES +25% (8s)] if 0-3/4+ FF14 allies are alive","N","All Allies","0","Dragoon","31542685","","✓"
"Follow-Up Status","Zenith Mode: Bartz (Wind)","","Spirit Attack: Bartz (Wind)","NAT","Self","","","","0.01","Grants [Dualcast Spellblade 1] and [Spellblade +50% Boost 1] to the user","N","Self","0","Spellblade","31542687","","✓"
"Follow-Up Status","Dual Awoken Spellblade Mode II: Bartz","","Master Midareuchi","PHY","Single enemy","Physical","2.72","Fire, Water, Wind, Earth, NE","0.01","Eight single attacks (0.34 each), grants [100% Critical 3] and [Deadly Strikes +20% 3] to the user","Y","Lowest HP% enemy","0","Spellblade","31542688","","✓"
"Follow-Up Status","Zenith Mode: Fujin (Wind)","","Spirit Attack: Fujin (Wind)","BLK","Single enemy","Magical","16.20","Wind, NE","0.01","Six single attacks (2.70 each), 3.05 if exploiting a weakness to wind, capped at 19999","Y","Lowest HP% enemy","0","Black Magic","31542689","","✓"
"Follow-Up Status","Chain Force Mode: Fujin (Wind)","","Wind Guidance: Fujin","BLK","Single enemy","Magical","7.92","Wind, NE","0.01","Six single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31542690","","✓"
"Follow-Up Status","Zenith Mode: Tyro","","Spirit Attack: Tyro","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","Four single hybrid ranged attacks (0.75 or 2.41 each), grants [Quick Cast 1] to all allies, [Prismatic +30% Boost 1] to all allies ELEMENT IS SELECTED BASED ON if the user has Attach Fire/Ice/Lightning/Earth/Wind/Water/Holy/Dark/Poison","N","Lowest HP% enemy","0","Support","31542691","","✓"
"Follow-Up Status","Zenith Mode: Lilisette","","Spirit Attack: Lilisette","NAT","All enemies","","","","0.01","Causes [Imperil Prismatic 10% (5s)] and grants [Buff Prismatic 10% (5s)] to all allies","N","All enemies","0","Special","31544637","","✓"
"Follow-Up Status","Dual Awoken Moonshade Mode I (Lilisette)","","Dual Fan Dance","NAT","All allies","","","","0.01","Grants [20% Damage Reduction Barrier 1] and [Quick Cast 1]","N","All enemies","0","Special","31544639","","✓"
"Follow-Up Status","Dual Awoken Moonshade Mode II (Lilisette)","","Dual Sword Dance","NAT","All allies","","","","0.01","Grants [Quick Cast 1] and [Dualcast Prismatic 1]","N","All Allies","0","Special","31544640","","✓"
"Follow-Up Status","Zenith Mode: Lenna (White Magic, Dancer)","","Spirit Attack: Lenna","WHT","All allies","","","","0.01","Restores HP (25) to all allies","N","All Allies","0","White Magic","31542692","","✓"
"Follow-Up Status","Zenith Mode: Cloud (Wind)","","Spirit Attack: Cloud (Wind)","NAT","Self","","","","0.01","Grants [Wind Ability +50% Boost 1] to the user","N","Self","0","Spellblade","31542693","","✓"
"Follow-Up Status","Chain Force Mode: Cloud (Wind)","","Wind Guidance: Cloud","NAT","Self","","","","0.01","Grants [Buff Wind 30% (5s)] and [Quick Cast 1] to the user","N","Self","0","Spellblade","31542694","","✓"
"Follow-Up Status","Zenith Mode: Terra (Fire)","","Spirit Attack: Terra (Fire)","NAT","Single enemy","Magical","10.80","Fire, NE","0.01","4 single attacks (2.70/3.05 each), higher multiplier if exploiting Fire weakness, grants [Buff Fire 10% (5s)] to user","Y","Lowest HP% enemy","0","Black Magic","31542695","","✓"
"Follow-Up Status","Chain Force Mode: Terra (Fire)","","Fire Guidance: Terra","BLK","Single enemy","Magical","5.28","Fire, NE","0.01","Four single target attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31542696","","✓"
"Follow-Up Status","Dual Awoken Amnesiac Mode I (Terra)","","Chaos Nova","BLK","Single enemy","Magical","7.65","Fire, Wind, NE","0.01","Five single attacks (1.53/1.69 each), higher multiplier if exploiting Fire/Wind weakness","Y","Lowest HP% enemy","0","Black Magic","31542697","","✓"
"Follow-Up Status","Zenith Mode: Zack (Wind)","","Spirit Attack: Zack (Wind)","PHY","Single enemy","Physical","3.36","Wind, NE","0.01","One single attack (3.36) capped at 99999, grants [100% Critical 3] to all allies","Y","Lowest HP% enemy","0","Celerity","31542698","","✓"
"Follow-Up Status","Grip of Chaos Follow-Up","","Grip of Chaos","PHY","Single enemy","Physical","1.82","Dark, NE","0.01","Two single attacks (0.91 each), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","0","Darkness","30549061","✓","✓"
"Follow-Up Status","Chaos Impact Follow-Up","","Chaos Impact","PHY","Single enemy","Physical","2.20","Dark, NE","0.01","Five single attacks (0.32/0.38/0.44 each) if the user has Heavy Charge 0/1/2","Y","Lowest HP% enemy","0","Heavy","30549197","✓","✓"
"Follow-Up Status","Follow-Up Flurry Follow-Up","","Follow-Up Flurry","PHY","Single enemy","Physical","2.16","-","0.01","Four single attacks (0.54 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","30548022","✓","✓"
"Follow-Up Status","Tceles Nottub B Follow-Up","","Tceles Nottub B","BLK","Single enemy","Magical","8.32","Fire, Ice, Lightning, NE","0.01","Four single attacks (2.08 each)","Y","Lowest HP% enemy","0","Witch","30541014","✓","✓"
"Follow-Up Status","Awash Follow-Up","","Awash","BLK","Single enemy","Magical","7.95","Water, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541060","✓","✓"
"Follow-Up Status","Gear Storm Follow-Up","","Gear Storm","PHY","Single enemy","Physical","2.28","Wind, Poison, NE","0.01","Six single attacks (0.32/0.35/0.38 each) scaling with Storm Raider level","Y","Lowest HP% enemy","0","Thief","30548437","✓","✓"
"Follow-Up Status","Stealthy Prowl Follow-Up","","Stealthy Prowl","PHY","Single enemy","Physical","4.00","Wind, Poison, NE","0.01","Eight single attacks (0.50 each) if the user has Haste (100% hit rate if triggered), grants [Quick Cast 2] to all allies in the character's row","Y","Lowest HP% enemy","0","Thief","30548436","✓","✓"
"Follow-Up Status","Awoken Cornelian Princess","","Healing Voice","WHT","All allies","","","","0.01","Restores HP (10/15/25/35/45) at rank 1/2/3/4/5 of the triggering ability","N","All allies","0","White Magic","30542267","✓","✓"
"Follow-Up Status","Timely Encore Follow-Up","","Timely Encore","NAT","All allies","","","","0.01","Restores HP (25), grants [Quick Cast 1]","N","All allies","0","Dancer","30542465","✓","✓"
"Follow-Up Status","Warrior's Fate Mode","","Blast of Light","PHY","Single enemy","Physical","5.20","Holy, NE","0.01","One single attack (5.20) capped at 99999, 100% hit rate, grants [Dual Blink 1] to the user","Y","Lowest HP% enemy","0","Knight","30544411","✓","✓"
"Follow-Up Status","Reborn Mode","","Chaos Reborn","PHY","Single enemy","Physical","1.92","Dark, NE","0.01","Six single attacks (0.32 each), grants [Chaos Reborn +15% Boost]/[Chaos Reborn +30% Boost]/[Chaos Reborn +50% Boost] after 1/2/3 casts, 100% hit rate","Y","Lowest HP% enemy","0","Darkness","31540294","✓","✓"
"Follow-Up Status","Poisoner Thieves Follow-Up","","Poisoner Thieves","PHY","Single enemy","Physical","1.95","Wind, Poison, NE","0.01","Five single attacks (0.39 each), 100% hit rate, grants [Buff Poison 10% (15s)] to the user","Y","Lowest HP% enemy","0","Thief","31541108","✓","✓"
"Follow-Up Status","Frenzied Monk Mode","","Ballistic Fist","PHY","Single enemy","Physical","4.45","Earth, Fire, Lightning, NE","0.01","One single attack (4.45), ignores DEF, 100% hit rate, causes Martial Will -1 to the user","Y","Lowest HP% enemy","0","Monk","31541155","✓","✓"
"Follow-Up Status","Royal Talent Follow-Up","","Royal Talent (White Magic)","WHT","Single ally","","","","0.01","Restores HP (105), grants [Damage Cap +10000 1] to the user","N","Lowest HP% ally","0","White Magic","31541301","✓","✓"
"Follow-Up Status","Royal Talent Follow-Up","","Royal Talent (Dancer)","NAT","All allies","","","","0.01","Grants [HP Stock (1500)]","N","All allies","0","Dancer","31541302","✓","✓"
"Follow-Up Status","Dual Awoken Cosmic Warrior Mode II (Wol)","","Dual Heavy Break","PHY","Single enemy","Physical","4.04","Earth, Holy, NE","0.01","Four single attacks (1.01), causes [Imperil Earth 10% (15s)] and [Imperil Holy 10% (15s)]","Y","Lowest HP% enemy","0","Knight","31541374","✓","✓"
"Follow-Up Status","Awoken Slugfest","","Ironfist Combo","PHY","Single enemy","Physical","4.20","Earth, Fire, Lightning, NE","0.01","Six single attacks (0.70 each), grants [100% Critical 1] to the user every second use","Y","Lowest HP% enemy","0","Monk","31541789","✓","✓"
"Follow-Up Status","Chain Force Mode: Meia","","Water Guidance: Meia","BLK","Single enemy","Magical","8.20","Water, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with [Water Guidance: Meia Uses], grants [Water Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31541923","","✓"
"Follow-Up Status","Dual Awoken Cornelian Princess Mode I (Sarah)","","Dual Healing Song","WHT","All allies","","","","0.01","Restores HP (10/15/25/35/45) at rank 1/2/3/4/5 of the triggering ability, grants [Quick Cast 1] to all allies every second cast if Warrior of Light or Garland are alive","N","All allies","0","White Magic","31542082","","✓"
"Follow-Up Status","Dual Awoken Cornelian Princess Mode II (Sarah)","","Dual Healing Warsong","WHT","All allies","","","","0.01","Restores HP (55), grants [Regenga] and [Quick Cast 1]","N","All allies","0","White Magic","31542083","","✓"
"Follow-Up Status","Chain Force Mode: Warrior of Light","","Holy Guidance: Warrior of Light","PHY","Single enemy","Physical","2.05","Holy, NE","0.01","One single attack (1.95/2.05) capped at 99999 scaling with [Holy Guidance: Warrior of Light Uses], grants [Holy Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Knight","31542085","","✓"
