"Character","Source","SB Ver","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","GL","✓"
"Ace","Radiant Jackpot Shot","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","39.60","Fire, NE","0.01","Six single attacks (6.60 each) capped at 19,999, grants [Damage Cap +10000 2], [Magical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543391","","✓"
"Y'shtola","Radiant Scion's Flare","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","26.40","Fire, Ice, Lightning, Dark, NE","0.01","Four single attacks (6.60 each) capped at 19,999, grants [Damage Cap +10000 2], [Black Magic/Witch Ability +50% Boost 2], [Black Magic/Witch Ability Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543370","","✓"
"Strago","Radiant El Niño Breath","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","39.60","Water, NE","0.01","Six single attacks (6.60 each) capped at 19,999, grants [Damage Cap +10000 2], [Magical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543385","","✓"
"Shantotto","Radiant A Thousand Suns","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","26.40","Lightning, NE","0.01","Four single attacks (6.60 each) capped at 19,999, grants [Damage Cap +10000 2], [Magical +30% Boost 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543373","","✓"
"Ayame","Radiant Hagakure Yukikaze","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","10.00","Ice, NE","0.01","One single attack (10.00) capped at 199,999, grants [Damage Cap +10000 2], [Physical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543374","","✓"
"Yuffie","Radiant Death by a Thousand Cuts","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Water, NE","0.01","Six single ranged attacks (2.00 each) capped at 19,999, grants [Damage Cap +10000 2], [Physical Blink 2], [Physical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543388","","✓"
"Bartz","Radiant Raging Fire Spellblade","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Fire, NE","0.01","Six single attacks (2.00 each) capped at 19,999, grants [Damage Cap +10000 2], [Physical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543452","","✓"
"Gogo (V)","Radiant Breathless Maelstorm","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","39.60","Water, NE","0.01","Six single attacks (6.60 each) capped at 19,999, grants [Instant Cast 1] to all allies, grants [Damage Cap +10000 1], [Magical +30% Boost 1], [DEF and RES 50% Piercing 1] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543453","","✓"
"Krile","Radiant Terrestrial Incandescence","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","34.60","Fire, Earth, NE","0.01","One single attack (34.60) capped at 199,999, grants [Magical +20% Boost 1] to all allies, grants [Damage Cap +10000 1], [Instant Cast 1], [DEF and RES 50% Piercing 1] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543454","","✓"
"Tidus","Radiant A Day to Remember","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","10.00","Water, NE","0.01","One single ranged attack (10.00) capped at 199,999, grants [Damage Cap +10000 2], [Physical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543434","","✓"
"Wakka","Radiant Attack Reels","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Water, NE","0.01","Six single ranged attacks (2.00 each) capped at 19,999, causes [ATK, DEF and RES -70% (8s)] to the target, grants [Damage Cap +10000 2], [Instant Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543435","","✓"
"Jecht","Radiant Jecht Dream","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","10.00","Dark, Fire, NE","0.01","One single ranged attack (10.00) capped at 199,999, grants [Damage Cap +10000 2], [Physical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543436","","✓"
"WoL","Radiant Arc Slash","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Earth, Holy, NE","0.01","Six single attacks (2.00 each) capped at 19,999, causes [Imperil Holy 10% (15s)] and [Imperil Earth 10% (15s)] to the target, grants [Damage Cap +10000 2], [Instant Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543471","","✓"
"Matoya","Radiant Crystal Burst","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","34.60","Fire, Ice, Lightning, NE","0.01","One single attack (34.60 each) capped at 199,999, grants [Damage Cap +10000 2], [Magical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543472","","✓"
"Edea","Radiant Grief Judgment","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","39.60","Ice, Dark, NE","0.01","Six single attacks (6.60 each) capped at 19,999, grants [Damage Cap +10000 2], [Magical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543482","","✓"
"Irvine","Radiant Flame Shot","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Fire, NE","0.01","Six single ranged attacks (2.00 each) capped at 19,999, causes [ATK, DEF and RES -70% (8s)] to the target, grants [Damage Cap +10000 2], [Instant Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543483","","✓"
"Rinoa","Radiant Angel Wing Frost Vortex","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","39.60","Ice, NE","0.01","Six single attacks (6.60 each) capped at 19,999, grants [Damage Cap +10000 2], [Magical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543506","","✓"
"Eight","Radiant Glacial Phantasm","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Ice, NE","0.01","Six single attacks (2.00 each) capped at 19,999, grants [Damage Cap +10000 2], [Physical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543507","","✓"
"Fran","Radiant Thundering Hail","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","16.00","Ice, Lightning, NE","0.01","Eight single ranged attacks (2.00 each) capped at 19,999, causes [ATK, DEF, MAG, RES and MND -50% (8s)] to the target, grants [Damage Cap +10000 2], [Instant Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543508","","✓"
"Biggs","Radiant Avalanche Raid","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","6.55","Earth, Holy, NE","0.01","One single attack (6.55) capped at 19,999, grants [Damage Cap +10000 2], [Physical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543494","","✓"
"Reynn","Radiant Cross Mirage","CASB1","","Crystal Force I & II","SUM","Single enemy","Magical","19.50","Ice, NE","0.01","One single attack (19.50) capped at 199,999, grants [Magical +20% Boost 1] to all allies, grants [Damage Cap +10000 1], [Instant Cast 1], [DEF and RES 50% Piercing 1] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543495","","✓"
"Lasswell","Radiant Magitek Mirror","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","4.00","Ice, NE","0.01","Four single attacks (1.00 each) capped at 19,999, grants [Damage Cap +10000 2], [Samurai +50% Boost 2], [Samurai Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543496","","✓"
"Auron","Radiant Alkaid","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","6.55","Fire, NE","0.01","One single attack (6.55 each) capped at 199,999, grants [Damage Cap +20000 1], [Samurai +50% Boost 1], [Samurai Quick Cast 1], [DEF and RES 50% Piercing 1] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543522","","✓"
"Gilgamesh","Radiant Faithful Friends","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","20.00","Fire, NE","0.01","Ten single attacks (2.00 each) capped at 19,999, grants [High Retaliate], [Damage Cap +10000 2], [Physical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543523","","✓"
"Jack","Radiant Deliverance","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Fire, NE","0.01","Six single attacks (2.00 each) capped at 19,999, grants [High Retaliate], [Damage Cap +10000 2], [Physical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543524","","✓"
"Kurasame","Radiant Kami","CASB1","","Crystal Force I & II","NAT","Single enemy","Hybrid","","Ice, Dark, NE","0.01","Six single attacks (2.00 or 6.60 each) capped at 19,999, grants [Damage Cap +10000 2], [(Ice/Dark) Ability +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543572","","✓"
"Cinque","Radiant Whirling Mace","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","10.00","Earth, NE","0.01","One single ranged attack (10.00) capped at 199,999, grants [Heavy Charge +2], [Damage Cap +20000 1], [Earth +50% Boost 1], [Earth Ability Quick Cast 1], [DEF and RES 50% Piercing 1] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543573","","✓"
"Porom","Radiant Twin Chronos","CASB1","","Crystal Force I & II","WHT","All allies","Magical","","-","0.01","Restores HP (55), grants [Instant Cast 1] to all allies, grants [200% ATB 1] to the user","N","All Allies","-","","クリスタルフォース","31543610","","✓"
"Curilla","Radiant Vorpal Blade","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Holy, NE","0.01","Six single attacks (2.00 each) capped at 19,999, grants [Damage Cap +10000 1],  [Instant Cast 1], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user, grants [Damage +30% Boost 1] to all XI/Knight allies","N","Lowest HP% enemy","-","","クリスタルフォース","31543615","","✓"
"Zeid","Radiant A Strike","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","10.00","Dark, NE","0.01","One single attack (10.00) capped at 199,999, grants [Damage Cap +10000 2], [Quick Cast 2], [Physical +30% Boost 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543616","","✓"
"Cecil (Paladin)","Radiant Sacred Cross","CASB1","","Crystal Force I & II","NAT","Single enemy","Hybrid","","Holy, NE","0.01","Six single hybrid attacks (2.00 or 6.70 each), grants [Damage Cap +10000 2], [Quick Cast 2], [Holy +30% Boost 2], [DEF and RES 50% Piercing 2] and  [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543600","","✓"
"Golbez","Radiant Ruler of Baron","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","39.60","Dark, NE","0.01","Six single attacks (6.60 each), causes [Imperil Dark 10% (15s)], grants [Damage Cap +10000 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and  [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543644","","✓"
"Rufus","Radiant Beware Undutiful!","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Dark, NE","0.01","Six single ranged attacks (2.00 each), causes [Imperil Dark 10% (15s)], grants [Damage Cap +10000 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and  [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543646","","✓"
"Seifer","Radiant Shatter the Strong","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Dark, NE","0.01","Six single ranged attacks (2.00 each), grants [Physical +20% Boost 1] to all allies, grants [Damage Cap +10000 2], [Instant Cast 1], [DEF and RES 50% Piercing 1] and  [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543645","","✓"
"Leon","Radiant Dark Knight Raid","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Dark, NE","0.01","Six single ranged attacks (2.00 each), grants [Darkness +30% Boost 2], [Damage Cap +10000 2], [Instant Cast 1], [DEF and RES 50% Piercing 1] and  [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543586","","✓"
"Gordon","Radiant Flames of Inspiration","CASB1","","Crystal Force I & II","NAT","All allies","","","","0.01","Grants [Quick Cast 1], [DEF and RES 50% Piercing 1] and [200% ATB 1] to all allies ","N","All allies","-","","クリスタルフォース","31543587","","✓"
"Firion","Radiant Arms Master","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","10.00","Holy, Fire, NE","0.01","One single attack (10.00) capped at 199,999, grants [Damage Cap +20000 1], [Holy/Fire Ability Quick Cast 1], [Holy/Fire Ability +50% Boost 1], [DEF and RES 50% Piercing 1] and [200% ATB 1] to the user","N","All allies","-","","クリスタルフォース","31543585","","✓"
"Cloud","Radiant Climhazzard","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","2.00","Wind, NE","0.01","One single attack (2.00) capped at 199,999,  grants [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user. After using Crystal Force command twice, grants [Damage Cap +80000 1], [Wind Ability +70% Boost 1] and [Wind Ability Instant Cast 1] to user","N","Lowest HP% enemy","-","","クリスタルフォース","31543690","","✓"
"Alphinaud","Radiant Akh Morn","CASB1","","Crystal Force I & II","SUM","Single enemy","Magical","34.60","Wind, NE","0.01","One single attack (34.60) capped at 199,999,  grants [Damage Cap +10000 2], [Quick Cast 2], [Magical +30% Boost 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543672","","✓"
"Aerith","Radiant Planetary Pulse","CASB1","","Crystal Force I & II","WHT","Single enemy","Magical","","-","0.01","Restores HP (55), grants [Quick Cast 2] to all allies, grants [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543693","","✓"
"Tyro","Radiant Myth","CASB1","","Crystal Force I & II","NAT","Single enemy","Hybrid","","-","0.01","One single ranged hybrid attack (10.00 or 34.60 each), grants [Damage Cap +10000 1], [Instant Cast 1], [DEF and RES 50% Piercing 1], [200% ATB 1] and [Prismatic +70% Boost 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543697","","✓"
"Emperor","Radiant Thorns of Repentance","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","39.60","Dark, Earth, Wind, NE","0.01","Six single attacks (6.60 each), grants [Damage Cap +10000 2], [Instant Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543688","","✓"
"Vivi","Radiant Flame","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","34.60","Fire, NE","0.01","One single attack (34.60 each), grants [Damage Cap +10000 1], [Fire Ability Instant Cast 1], [Fire Ability +30% Boost 1], [Dualcast Fire 1], [DEF and RES 50% Piercing 1] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543694","","✓"
"Squall","Radiant Sub-Zero Blast","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","16.00","Ice, NE","0.01","Eight single attacks (2.00 each) capped at 19,999, grants [Damage Cap +10000 2], [Physical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543692","","✓"
"Squall","Radiant Lion's Roar","CASB2","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Fire, NE","0.01","Six single attacks (2.00 each), grants [Damage Cap +10000 1], [Fire Ability +30% Boost 1], [Fire Ability Instant Cast 1], [Dualcast Fire 1], [DEF and RES 50% Piercing 1], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543995","","✓"
"Kuja","Radiant Reaper's Call","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","39.60","Dark, NE","0.01","Six single attacks (6.60 each) capped at 19,999, grants [Damage Cap +10000 2], [Magical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543695","","✓"
"Serah","Radiant Absolute Zero","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","39.60","Ice, NE","0.01","Six single attacks (6.60 each) capped at 19,999, grants [Damage Cap +10000 2], [Magical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543696","","✓"
"Arciela","Radiant Darkest Hour","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","12.00","Ice, Lightning, Water, Wind, NE","0.01","Six single attacks (2.00 each) capped at 19,999, grants [(Ice/Lightning/Water/Wind) +20% Boost 1] to the party, grants [Damage Cap +10000 1], [Instant Cast 1], [DEF and RES 50% Piercing 1] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543677","","✓"
"Garland","Radiant Source of Hatred","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Dark, NE","0.01","6 single attacks (2.00 each) capped at 19999, grants [Damage Cap +10000 2], [Dark Ability Quick Cast 2], [DEF and RES 50% Piercing 2], and [200% ATB 1] to the user, grants [Physical +30% Boost 2] to the user/all allies with 0-2/3+ Warrior I allies","N","Lowest HP% enemy","-","","クリスタルフォース","31544442","","✓"
"Josef","Radiant Youthful Bond","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Ice, NE","0.01","6 single attacks (2.00 each) capped at 19999, grants [Physical +20% Boost 1] to all allies, grants [Damage Cap +10000 1], [Instant Cast 1], [DEF and RES 50% Piercing 1], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544165","","✓"
"Luneth","Radiant Storm of Blades","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","8.00","Wind, NE","0.01","4 single ranged attacks (2.00 each) capped at 19999, grants ATK +150% & DEF -50% for 8 seconds, [Damage Cap +10000 2], [Wind Ability Quick Cast 2], [Wind Ability +30% Boost 2], [DEF and RES 50% Piercing 2], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544348","","✓"
"Ingus","Radiant Gaia Sword","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","8.00","Earth, NE","0.01","4 single attacks (2.00 each) capped at 19999, grants [Buff Earth 30% (5s)] to all allies, grants [Damage Cap +10000 2], [Quick Cast 2], [DEF and RES 50% Piercing 2], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544547","","✓"
"Desch","Radiant Distant Lightning","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","39.60","Lightning, NE","0.01","6 single attacks (6.60 each) capped at 19999, grants [Lightning Ability +30% Boost 1] to all allies, grants [Damage Cap +10000 1], [Instant Cast 1], [DEF and RES 50% Piercing 1], [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544300","","✓"
"Refia","Radiant Searing Circle","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","8.00","Fire, NE","0.01","Four single attacks (2.00 each) capped at 19999, grants [Damage Cap +10000 1], [Quick Cast 1], [DEF and RES 50% Piercing 1], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544594","","✓"
"Aria","Radiant Seaborne Encounter","CASB1","","Crystal Force I & II","WHT","All allies","","","","0.01","Restores HP (55), grants [Quick Cast 2] to all allies, grants [200% ATB 1] to the user","N","All allies","-","","クリスタルフォース","31544595","",""
"Tellah","Radiant Sage's Scar","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","26.40","Earth, NE","0.01","4 single attacks (6.60 each) capped at 19999, grants [Magical +30% Boost 1] to all allies, grants [Damage Cap +10000 1], [DEF and RES 50% Piercing 1], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544549","","✓"
"Edge","Radiant Eblan Double Team","CASB1","","Crystal Force I & II","NAT","Single enemy","Hybrid","","Water, Fire, Lightning, NE","0.01","8 single hybrid attacks (2.00 or 990.00 each) capped 19999, grants [Ninja +30% Boost 2], [DEF and RES 50% Piercing 2], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544343","","✓"
"Shadow","Radiant Shadow Interceptor","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","20.00","Dark, NE","0.01","10 single attacks (2.00 each) capped at 19999, grants [Damage Cap +10000 2], [Quick Cast 2], [Dark Ability +30% Boost 2], [DEF and RES 50% Piercing 2], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544527","","✓"
"Cecil (Dark Knight)","Radiant Blood Sword","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Dark, NE","0.01","6 single attacks (2.00 each) capped at 19999, grants [Buff Dark 30% (5s)] to all allies, grants [Damage Cap +10000 2], [Quick Cast 2], [DEF and RES 50% Piercing 2], [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544526","","✓"
"Cid Raines","Radiant Defying the Focus","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","39.60","Dark, Holy, NE","0.01","6 single attacks (6.60 each) capped at 19999, grants [Buff Dark 30% (5s)] and [Buff Holy 30% (5s)] to all allies, grants [Damage Cap +10000 2], [Quick Cast 2], [DEF and RES 50% Piercing 2], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544528","","✓"
"Serafie","Radiant Silent Voice","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","39.60","Wind, NE","0.01","6 single attacks (6.60 each) capped at 19999, grants [Wind Instant Cast 2], [Dualcast Wind 2], [DEF and RES 50% Piercing 2], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544515","","✓"
"Tama","Radiant Night Dream","CASB1","","Crystal Force I & II","NAT","All allies","","","","0.01","Restores HP (55), grants [Quick Cast 2] to all allies, grants [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544516","","✓"
"Fina","Radiant Delightful Glow","CASB1","","Crystal Force I & II","NAT","All allies","","","","0.01","Restores HP (55), grants [Quick Cast 2] to all allies, grants [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544517","","✓"
