"Character","Img","Name","HA Ver","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","Uses","Max","Orb 1 Required","1-R1","1-R2","1-R3","1-R4","1-R5","Orb 2 Required","2-R1","2-R2","2-R3","2-R4","2-R5","Orb 3 Required","3-R1","3-R2","3-R3","3-R4","3-R5","School","Name (JP)","ID","✓"
"Gordon","","Mark of Resolve","HA1","NAT","Single ally","","","","1.65","Transfers the user's Soul Break points to the target, grants [Quick Cast 1]","N","Random ally prioritizing self last","100","2","10","Power Crystal","-","10","15","50","75","White Crystal","-","5","10","25","35","Black Crystal","-","5","10","25","35","Support","決意の表れ","30161261","✓"
"Gordon","","Flames of Kashuan","HA2","NAT","Single Enemy","Hybrid","","Fire","1.65","4 single hybrid attacks (1.00 or 3.30 each), causes [DEF -50% (8s)] or [RES -50% (8s)] depending on higher stat of ATK/MAG","N","Lowest HP% enemy","120","2","10","White Crystal","-","10","15","50","75","Power Crystal","-","5","10","25","35","Black Crystal","-","5","10","25","35","Support","カシュオーンの炎","30161361",""
"Leila","","Pirate Anchor","HA1","PHY","Single enemy","Physical","5.50","Water, Poison","1.20","Five single attacks (1.10 each), causes [ATK and MAG -50% (8s)] every second activation","Y","Lowest HP% enemy","80","2","10","Ice Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Thief","パイレーツアンカー","30201191","✓"
"Ricard","","Pride of Deist","HA1","PHY","Single enemy","Physical","6.90","Wind, Lightning, Water, Dark","1.50","Six single ranged jump attacks (1.15 each), air time (2.50 sec.)","Y","Lowest HP% enemy","90","2","10","Lightning Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Dragoon","プライドオブディスト","30181281","✓"
"Ricard","","Will of the Dragoon","HA2","PHY","Single enemy","Physical","4.00","Wind, Lightning, Water, Dark","1.65","Four single ranged attacks (1.00 each), grants [No Air Time 3] to the user","Y","Lowest HP% enemy","90","2","10","Lightning Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Dragoon","決死の竜撃","30181381","✓"
"Josef","","Heroic Barrage","HA1","PHY","Single enemy","Physical","4.00","Ice","1.65","Four single attacks (1.00 each), grants [10% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Monk","漢の乱打","30191251","✓"
"Josef","","Hero's Smash","HA2","PHY","Single enemy","Physical","6.60","Ice","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Ice Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Monk","漢の拳骨","30191371","✓"
"Emperor","","Starfall","HA1","BLK","Single enemy","Magical","9.90","Dark, Earth, Wind","1.65","Three single attacks (3.30 each), causes [Imperil Dark 10% (5s)], [Imperil Earth 10% (5s)] and [Imperil Wind 10% (5s)]","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Black Magic","いんせき","30111531","✓"
"Emperor","","Repentance Thorns","HA2","BLK","Single","Magical","17.50","Dark, Earth, Wind","1.65","Five single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Black Magic","リペンテンスの棘","30111721","✓"
"Hilda","","Wild Rose Prayer","HA1","NAT","All allies","","","","1.65","Restores 1500 HP, grants [10% Damage Reduction Barrier 1]","N","All allies","100","2","10","White Crystal","-","5","10","25","35","Earth Crystal","-","10","15","50","75","Holy Crystal","-","5","10","25","35","Bard","のばらの祈り","30241141","✓"
"Hilda","","Road to Victory","HA2","?","All allies","","","","","Restores HP (?)","?","All allies","","2","10","White Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","勝利への歩み","30121631",""
"Scott","","Ring of Love","HA1","PHY","Single enemy","Physical","6.90","Fire","1.65","Six single attacks (1.05/1.15 each) if 0/1+ of Gordon or Hilda are alive","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","10","15","50","75","Non-Elemental","-","5","10","25","35","Fire Crystal","-","5","10","25","35","Spellblade","愛のリング","30141371","✓"
"Luneth","","Jump (III)","HA1","PHY","Single enemy","Physical","6.60","Wind","1.65","Six single ranged jump attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Lightning Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Dragoon","ジャンプ【III】","30181241","✓"
"Luneth","","Heavenly Gust","HA2","PHY","Single enemy","Physical","3.00","Wind","1.65","Three single ranged jump attacks (1.00 each), grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Dragoon","天空の一閃","30181351","✓"
"Arc","","Auroral Leviath","HA1","NAT","Single enemy","Magical","","Holy, Water","1.65","Five single hybrid attacks (3.55 or 4.95 each), minimum damage 2000 (SUM only)","N","Lowest HP% enemy","90","2","10","White Crystal","-","5","10","25","35","Summoning Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","White Magic","優心リバイア","30121451","✓"
"Arc","","Grace of Water","HA2","SUM","Single enemy","Magical","19.80","Holy, Water","3.30","Four single attacks (4.95 each), minimum damage 2000, grants [Buff Holy 10% (15s)] and [Buff Water 10% (15s)] to all allies every third activation","N","Lowest HP% enemy","90","2","6","White Crystal","-","5","10","25","35","Summoning Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Summoning","グレイスオブウォータ","30131571","✓"
"Refia","","Blazing Fists","HA1","PHY","Single enemy","Physical","6.60","Fire","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Monk","烈火の鍛拳","30191301","✓"
"Ingus","","Titan's Blade","HA1","PHY","Single enemy","Physical","4.00","Earth","1.65","Four single attacks (1.00 each), grants [Buff Earth 10% (15s)] to all allies every third activation","Y","Lowest HP% enemy","90","2","10","Holy Crystal","-","10","15","50","75","Power Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Knight","ティターンブレード","30211241","✓"
"Ingus","","Oathsworn Espada","HA2","PHY","Single enemy","Physical","6.30","Earth","1.65","Six single attacks (1.05/1.10/1.15 each) at 0/1000/4500 DEF","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Knight","忠誠のエスパーダ","30211421","✓"
"Desch","","Bolt of the Ancients","HA1","BLK","Single enemy","Magical","13.20","Lightning","1.65","Four single attacks (3.30 each), grants [Buff Lightning 10% (15s)] to all allies every third activation","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Black Magic","古代の雷閃","30111591","✓"
"Desch","","Ancient Lightning","HA2","BLK","Single enemy","Magical","21.00","Lightning","1.65","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Black Magic","太古の迅雷","30111731","✓"
"Onion Knight","","Onion Wizardry","HA1","BLK","Single","Magical","17.50","Wind, Water, Fire, Earth","1.80","Five single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Black Magic","たまねぎ大魔法","30111371","✓"
"Onion Knight","","Multi-Hit","HA2","PHY","Single enemy","Physical","5.50","Wind, Water, Fire, Earth","1.20","Five single attacks (1.10 each)","Y","Lowest HP% enemy","80","2","10","Power Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Celerity","連続ヒット","30171301","✓"
"Onion Knight","","Wheeling Thrust","HA3","?","Single enemy","Physical","","Wind, Water, Fire, Earth","","4/5/6 single attacks (? each) if the user has [Physical Blink 0/1/2], grants [Physical Blink 1] and [Physical Blink Stacking 2] to the user","?","Lowest HP% enemy","","2","10","Fire Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Ninja","大車輪","30231331",""
"Cloud of Darkness","","Wave Cannon","HA1","BLK","Single","Magical","22.50","Dark","1.65","One single attack (22.50) capped at 99999","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Darkness","はどうほう","30271271","✓"
"Cloud of Darkness","","Insulating Appendages","HA2","BLK","Single","Magical","17.50","Dark, Lightning","1.65","Five single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Darkness","隔たりの触手","30271351","✓"
"Cloud of Darkness","","Lightning Thorns","HA3","?","Single","Magical","","Lightning","","Seven single attacks (? each), cast time ?/?/?/?/? scaling with [Lightning Thorns Uses]","?","Lowest HP% enemy","","2","10","Black Crystal","-","5","10","25","35","Lightning Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Witch","でんげきばり","30301261",""
"Aria","","Maiden of Water","HA1","WHT","All allies","","","","1.20","Restores HP (17.50)","N","All allies","90","2","10","White Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","水の巫女","30121541","✓"
"Aria","","Prismatic Light","HA2","NAT","All allies","","","","1.65","Grants [HP Stock (1500)], grants [Magical High Quick Cast 1] every second activation","N","All allies","100","2","10","White Crystal","-","5","10","25","35","Earth Crystal","-","10","15","50","75","Holy Crystal","-","5","10","25","35","Bard","虹の光","30241161","✓"
"Cecil (Dark Knight)","","Darkness","HA1","PHY","All enemies","Physical","5.94","Dark","1.65","Six group ranged attacks (0.99~1.18 scaling with targets), damages the user for 10% max HP","Y","All enemies","90","2","10","Black Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Darkness","あんこく","30271181","✓"
"Cecil (Dark Knight)","","Shadowbringer","HA2","?","Single enemy","Physical","","Dark","","Five single attacks (? each), grants [Buff Dark 10% (?s)] to the user every second activation","?","Lowest HP% enemy","","2","10","Black Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Darkness","シャドウブリンガー","30271421",""
"Cecil (Paladin)","","Paladin Force","HA1","NAT","Single enemy","Hybrid","","Holy","1.65","Five single hybrid attacks (1.10 or 3.55 each), restores 2000 HP to the lowest HP% ally","Y","Lowest HP% enemy","90","2","10","White Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Knight","パラディンフォース","30211181","✓"
"Cecil (Paladin)","","Saint's Fall","HA2","?","Single enemy","Hybrid","","Holy","","Six single hybrid attacks (? or ? each)","?","Lowest HP% enemy","","2","10","White Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","セイントダイブ","30121661",""
"Kain","","Dragoon's Pride","HA1","PHY","Single enemy","Physical","6.90","Lightning, Dark","1.50","Six single ranged jump attacks (1.15 each), air time (2.50 sec.)","Y","Lowest HP% enemy","90","2","10","Lightning Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Dragoon","プライドオブドラグーン","30181201","✓"
"Kain","","Gungnir","HA2","PHY","Single enemy","Physical","4.00","Lightning, Dark","1.65","Four single ranged attacks (1.00 each), grants [No Air Time 3] to the user","Y","Lowest HP% enemy","90","2","10","Lightning Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Dragoon","グングニル","30181321","✓"
"Rydia","","Summoner's Band","HA1","SUM","All enemies","Magical","19.80","Water, Earth, Holy","1.80","Four group attacks (4.95 each), minimum damage 2000","N","All enemies","90","2","6","Summoning Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Summoning","サモナーズバンド","30131441","✓"
"Rydia","","Law of the Eidolons","HA2","SUM","All enemies","Magical","24.75","Water, Earth, Holy","3.30","Five group attacks (4.95 each), minimum damage 2000, 3.30/2.90/2.475/2.075/1.65s cast time scaling with [Law of the Eidolons Uses]","N","All enemies","90","2","6","Summoning Crystal","-","5","10","25","35","Earth Crystal","-","10","15","50","75","Holy Crystal","-","5","10","25","35","Summoning","幻獣界の掟","30131621","✓"
"Rosa","","Pray","HA1","WHT","All allies","","","","1.65","Restores HP (20), smart ether 1 every fourth activation","N","All allies","100","2","10","White Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","いのり","30121381","✓"
"Edward","","Fabled Song","HA1","NAT","All allies","","","","1.65","Grants [111% Quick Cast 1]/[125% Quick Cast 1]/[142% Quick Cast 1]/[166% Quick Cast 1]/[Quick Cast 1], grants [Wanderer 1/2/3/4/4] to the user if the user has Wanderer [0/1/2/3/4]","N","All allies","100","2","10","White Crystal","-","5","10","25","35","Earth Crystal","-","10","15","50","75","Holy Crystal","-","5","10","25","35","Bard","伝説の歌","30241171","✓"
"Yang","","Fist Dance","HA1","PHY","Single enemy","Physical","6.30","Earth","1.65","Six single attacks (1.05/1.15 each) if Ursula isn't/is alive","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Earth Crystal","-","10","15","50","75","Monk","拳の舞","30191341","✓"
"Palom","","Magic Barrage","HA1","BLK","Single","Magical","17.50","Lightning, Fire, Ice","1.65","Five single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Black Magic","魔法乱れ撃ち","30111681","✓"
"Porom","","Healing Tears","HA1","WHT","All allies","","","","1.65","Restores HP (15), grants [HP Stock (1000)]","N","All allies","100","2","10","White Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","ティアーズヒール","30121481","✓"
"Porom","","Healing Wind (IV)","HA2","WHT","All allies","","","","1.65","Restores HP (20), grants [Magical Quick Cast 1] every second cast if Palom is alive","N","All allies","100","2","10","White Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","癒しの風【IV】","30121551","✓"
"Tellah","","Dire Meteor","HA1","BLK","Single enemy","Magical","32.40","Earth","1.65","Four single attacks (3.50 each), followed by one single attack (18.40) that ignores RES","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Black Magic","決死のメテオ","30111601","✓"
"Tellah","","Grand Astron","HA2","?","Single enemy","Magical","","Earth","","Four single attacks (? each), grants [Buff Earth 10% (?s)] to all allies every third activation","?","Lowest HP% enemy","","2","10","Black Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Black Magic","グランドアストロン","30111921",""
"Edge","","Ninjutsu","HA1","NAT","Single enemy","Hybrid","","Water, Fire, Lightning","0.83","4/5/6 single hybrid attacks (1.10 or 525.00 each) if the user has [Physical Blink 0/1/2], grants [Physical Blink 1] and [Physical Blink Stacking 2] to the user","Y","Lowest HP% enemy","80","2","10","Fire Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Ninja","にんじゅつ","30231221","✓"
