"Realm","Character","Img","Name","Effect","Unlock Criteria","Name (JP)","ID","GL","✓"
"Core","White Mage","","Concentration II","Restores 1 use for all White Magic abilities at the beginning of the battle","Chance to obtain with White Mage in party","精神統一Ⅱ","111000141","✓","✓"
"Core","White Mage","","Prayer of Mending","Attack turns into an ability (WHT: single, restores HP (26))","Use White Mage's Memory Crystal II, chance to obtain with White Mage in party","白魔道士の祈り","111000142","✓","✓"
"Core","White Mage","","White Mage Wonder","Attack turns into an ability (WHT: single, restores HP (39))","Bring White Mage to level 99","白魔道士の奇跡","111000143","✓","✓"
"Core","Devout","","Healer's Prayer I","8% chance to dualcast White Magic abilities","Use Devout's Memory Crystal","癒しの願いⅠ","111000150","✓","✓"
"Core","Devout","","Healer's Prayer II","15% chance to dualcast White Magic abilities","Chance to obtain with Devout in party","癒しの願いⅡ","111000151","✓","✓"
"Core","Devout","","Cleansing Spirit","If an ally has negative effects, 50% chance to turn Attack into an ability (NAT: single, removes negative effects)","Use Devout's Memory Crystal II, chance to obtain with Devout in party","浄化の精神","111000152","✓","✓"
"Core","Devout","","Cleansing Grace","If an ally has negative effects, 70% chance to turn Attack into an ability (NAT: single, removes negative effects)","Bring Devout to level 99","浄化の祝福","111000153","✓","✓"
"Core","Summoner","","Summoning Spring I","50% chance to restore 1 use for all Summoning abilities at the beginning of the battle","Use Summoner's Memory Crystal","召喚の泉Ⅰ","111000171","✓","✓"
"Core","Summoner","","Summoning Spring II","Restores 1 use for all Summoning abilities at the beginning of the battle","Chance to obtain with Summoner in party","召喚の泉Ⅱ","111000172","✓","✓"
"Core","Summoner","","Summoner's Quality","SUM attacks deal 20% more damage","Use Summoner's Memory Crystal II, chance to obtain with Summoner in party","召喚士の真価","111000173","✓","✓"
"Core","Summoner","","Summoner's Oath","40% chance to turn Attack into an ability (SUM: randomly casts Goblin, Chocobo, Drake or Bomb) with 2.50 cast time","Bring Summoner to level 99","召喚獣との盟約","111000174","✓","✓"
"Core","Samurai","","Way of the Samurai I","50% chance to restore 1 use for all Samurai abilities at the beginning of the battle","Use Samurai's Memory Crystal","武士道Ⅰ","111000190","✓","✓"
"Core","Samurai","","Way of the Samurai II","Restores 1 use for all Samurai abilities at the beginning of the battle","Chance to obtain with Samurai in party","武士道Ⅱ","111000191","✓","✓"
"Core","Samurai","","Blade of the East","25% chance to counter PHY attacks with Blade Bash","Use Samurai's Memory Crystal II, chance to obtain with Samurai in party","東方の剣術","111000192","✓","✓"
"Core","Samurai","","Inner Awakening","50% chance to turn Attack into an ability (PHY: group, 2x 0.90 physical, 100% hit rate)","Bring Samurai to level 99","奥義の開眼","111000193","✓","✓"
"Core","Dragoon","","Dragoon's Soul I","50% chance to restore 1 use for all Dragoon abilities at the beginning of the battle","Use Dragoon's Memory Crystal","飛竜の魂Ⅰ","111000200","✓","✓"
"Core","Dragoon","","Dragoon's Soul II","Restores 1 use for all Dragoon abilities at the beginning of the battle","Chance to obtain with Dragoon in party","飛竜の魂Ⅱ","111000201","✓","✓"
"Core","Dragoon","","Dragoon's Devastation","Jump attacks deal 25% more damage","Use Dragoon's Memory Crystal II, chance to obtain with Dragoon in party","竜騎士の強撃","111000202","✓","✓"
"Core","Dragoon","","From On High","50% chance to turn Attack into an ability (PHY: single, 2x 1.90 ranged physical, air time (2.50 sec.))","Bring Dragoon to level 99","天高き飛翔","111000203","✓","✓"
"Core","Dark Knight","","Helm Expertise","DEF +10% when equipping a helm","Use Dark Knight's Memory Crystal","兜防御力UP","111000220","✓","✓"
"Core","Dark Knight","","Dark Blade","25% chance to turn Attack into an ability (PHY: single, 0.90 physical, heals the user for 32% of the damage dealt)","Chance to obtain with Dark Knight in party","闇の剣技","111000221","✓","✓"
"Core","Dark Knight","","Secrets of Darkness","50% chance to turn Attack into an ability (PHY: single, 1.00 physical, heals the user for 32% of the damage dealt)","Use Dark Knight's Memory Crystal II, chance to obtain with Dark Knight in party","闇の秘技","111000222","✓","✓"
"Core","Dark Knight","","Dark Delight","60% chance to turn Attack into an ability (PHY: single, 1.67 physical, heals the user for 32% of the damage dealt)","Bring Dark Knight to level 99","闇の絶技","111000223","✓","✓"
"Core","Spellblade","","Spellblade Mastery I","50% chance to restore 1 use for all Spellblade abilities at the beginning of the battle","Use Spellblade's Memory Crystal","魔法剣の熟達Ⅰ","111000230","✓","✓"
"Core","Spellblade","","Spellblade Mastery II","Restores 1 use for all Spellblade abilities at the beginning of the battle","Chance to obtain with Spellblade in party","魔法剣の熟達Ⅱ","111000231","✓","✓"
"Core","Spellblade","","Spellblade Splendor","60% chance to randomly turn Attack into Fire Strike, Blizzard Strike or Thunder Strike","Use Spellblade's Memory Crystal II, chance to obtain with Spellblade in party","魔法剣の極致","111000232","✓","✓"
"Core","Spellblade","","Earthen Blade","Attack turns into an ability (PHY: group, 2x 0.60 physical Earth)","Bring Spellblade to level 99","地の魔法剣の神技","111000233","✓","✓"
"Core","Viking","","Hammer Master","PHY attacks deal 10% more damage when equipping a hammer","Use Viking's Memory Crystal","ハンマーの使い手","111000240","✓","✓"
"Core","Viking","","Ferocious Charge","Attack turns into Charge","Chance to obtain with Viking in party","渾身の一撃","111000241","✓","✓"
"Core","Viking","","Scourge of the Seas","PHY attacks deal 20% more damage when equipping a helm","Use Viking's Memory Crystal II, chance to obtain with Viking in party","荒海の猛者","111000242","✓","✓"
"Core","Viking","","Fury of the Sea","ATK +15% when equipping a hammer","Bring Viking to level 99","雄々しき海の勇","111000243","✓","✓"
"Core","Berserker","","Berserker's Axe","PHY attacks deal 10% more damage when equipping an axe","Use Berserker's Memory Crystal","狂戦士の戦斧","111000250","✓","✓"
"Core","Berserker","","Berserker's Awakening","PHY attacks deal 20% more damage when equipping an axe","Chance to obtain with Berserker in party","狂戦士の覚醒","111000251","✓","✓"
"Core","Berserker","","Berserker's Might","ATK +10%, causes Berserk at the beginning of the battle","Use Berserker's Memory Crystal II, chance to obtain with Berserker in party","狂戦士の猛攻","111000252","✓","✓"
"Core","Berserker","","Berserker's Fury","PHY attacks deal 30% more damage when equipping an axe","Bring Berserker to level 99","狂戦士の暴乱","111000253","✓","✓"
"Core","Ranger","","Master Archer","PHY attacks deal 10% more damage when equipping a bow","Use Ranger's Memory Crystal","弓の使い手","111000260","✓","✓"
"Core","Ranger","","Blue Moon Barrage","16% chance to turn Attack into Barrage","Chance to obtain with Ranger in party","みだれうちチャンス","111000261","✓","✓"
"Core","Ranger","","Hawk Eye","Grants [Haste] at the beginning of the battle, Attack turns into Aim","Use Ranger's Memory Crystal II, chance to obtain with Ranger in party","鷹の目","111000262","✓","✓"
"Core","Ranger","","Distinguished Marksman","33% chance to turn Attack into Barrage","Bring Ranger to level 99","卓越せし射手","111000263","✓","✓"
"Core","Thief (Core)","","Thief's Pride I","50% chance to restore 1 use for all Thief abilities at the beginning of the battle","Use Thief (Core)'s Memory Crystal","シーフのプライドⅠ","111000270","✓","✓"
"Core","Thief (Core)","","Thief's Pride II","Restores 1 use for all Thief abilities at the beginning of the battle","Chance to obtain with Thief (Core) in party","シーフのプライドⅡ","111000271","✓","✓"
"Core","Thief (Core)","","Way of the Thief","35% chance to turn Attack into Steal HP","Use Thief (Core)'s Memory Crystal II, chance to obtain with Thief (Core) in party","シーフの流儀","111000272","✓","✓"
"Core","Thief (Core)","","Thief's Slight","50% chance to turn Attack into an ability (PHY: single, 2x 0.97 physical Poison, 1.17 multiplier when equipping a dagger)","Bring Thief (Core) to level 99","シーフの奥の手","111000273","✓","✓"
"Core","Bard","","Concert Musician","PHY attacks deal 10% more damage when equipping an instrument","Use Bard's Memory Crystal","楽器の使い手","111000280","✓","✓"
"Core","Bard","","Zealot","Attack turns into an ability (PHY: group, 0.60 physical)","Chance to obtain with Bard in party","伝道師","111000281","✓","✓"
"Core","Bard","","War Ballad","ATK +10%, grants [Low Regen] at the beginning of the battle","Use Bard's Memory Crystal II, chance to obtain with Bard in party","戦歌","111000282","✓","✓"
"Core","Bard","","Chant of Repose","Attack turns into an ability (NAT: single, 2.00 magical, causes Sleep (20%))","Bring Bard to level 99","安息の呪歌","111000283","✓","✓"
"Core","Ninja","","Shuriken Master","PHY attacks deal 10% more damage when equipping a thrown weapon","Use Ninja's Memory Crystal","投てきの達人","111000300","✓","✓"
"Core","Ninja","","Vanish","Grants [Physical Blink 1] when HP fall below 10%","Chance to obtain with Ninja in party","隠れ身","111000301","✓","✓"
"Core","Ninja","","Shinobi's Acumen","PHY attacks deal 20% more damage when equipping a thrown weapon","Use Ninja's Memory Crystal II, chance to obtain with Ninja in party","忍びの投てき術","111000302","✓","✓"
"Core","Ninja","","Master Ninja","Attack turns into an ability (NIN: group, 18.00 magical Fire, ignores RES) with 0.825 cast time","Bring Ninja to level 99","忍びの極意","111000303","✓","✓"
"Core","Gladiator","","Axe Master","PHY attacks deal 10% more damage when equipping an axe","Use Gladiator's Memory Crystal","斧の使い手","111000330","✓","✓"
"Core","Gladiator","","Super Critical","16% chance to turn attack into an ability (PHY: single, 2.80 physical)","Chance to obtain with Gladiator in party","スーパークリティカル","111000331","✓","✓"
"Core","Gladiator","","Unyielding Will","DEF +20% when equipping a light armor","Use Gladiator's Memory Crystal II, chance to obtain with Gladiator in party","不落の剣闘士","111000332","✓","✓"
"Core","Gladiator","","Gladiator's Guile","Attack turns into an ability (PHY: single, 1.00 physical, ATK -30% for 15 seconds)","Bring Gladiator to level 99","剣闘士の秘剣","111000333","✓","✓"
"Core","Elarra","","Girl Awakened","WHT abilities restore 10% more HP","Use Elarra's Memory Crystal","目覚めし少女","111000390","✓","✓"
"Core","Elarra","","Providence of Memory","WHT abilities restore 20% more HP","Use Elarra's Memory Crystal II, chance to obtain with Elarra in party","記憶の加護","111000391","✓","✓"
"Core","Elarra","","Divine Fundamentals","100% chance to double Experience gained at the end of the battle","Bring Elarra to level 99","学びし白魔法の知識","111000392","✓","✓"
"Core","Elarra","","Guardian of Creation","Taking damage grants ?% more Soul Break points","Have Elarra participate a battle","万象の護り人","111000393","",""
"Core","Biggs","","Muscle Man","PHY attacks deal 10% more damage when equipping a sword","Use Biggs's Memory Crystal","筋骨隆々","111000430","✓","✓"
"Core","Biggs","","Chauvanist Chivalry","PHY attacks deal 20% more damage when equipping a sword","Use Biggs's Memory Crystal II, chance to obtain with Biggs in party","美女への騎士道","111000431","✓","✓"
"Core","Biggs","","Stout Specialist","Knight abilities deal 40% more damage","Bring Biggs to level 99","豪腕なる特務官","111000432","✓","✓"
"Core","Wedge","","Master Adapter","PHY attacks deal 10% more damage when equipping a hat","Use Wedge's Memory Crystal","緩急自在","111000440","✓","✓"
"Core","Wedge","","Animal Lover","BLK attacks deal 20% more damage when equipping a hat","Use Wedge's Memory Crystal II, chance to obtain with Wedge in party","動物への愛護","111000441","✓","✓"
"Core","Wedge","","Swift Specialist","Increases Wind damage dealt by 30%","Bring Wedge to level 99","る特務官","111000442","✓","✓"
"Core","Dr. Mog","","Eminent Historian","MAG and MND +10% when equipping a book","Use Dr. Mog's Memory Crystal","歴史学の第一人者","111000450","✓","✓"
"Core","Dr. Mog","","Sagacious Scholar","Increases damage dealt by 20% when exploiting elemental weakness","Use Dr. Mog's Memory Crystal II, chance to obtain with Dr. Mog in party","学者の賢知","111000451","✓","✓"
"Core","Dr. Mog","","Top Archivist","WHT abilities restore 20% more HP, BLK attacks deal 20% more damage","Bring Dr. Mog to level 99","歴史省のトップ","111000452","✓","✓"
"Core","Shadowsmith","","Memories of the Past","MAG +?%, MND -?%","Use Shadowsmith's Memory Crystal","在りし日の思い出","111000460","",""
"Core","Shadowsmith","","Timespace Wanderer","PHY attacks deal ?% more damage when equipping a book","Use Shadowsmith's Memory Crystal II, chance to obtain with Shadowsmith in party","時空の彷徨者","111000461","",""
"Core","Shadowsmith","","Power of Chaos","SUM attacks deal ?% more damage when equipping a book","Bring Shadowsmith to level 99","混沌の力","111000462","",""
"I","Warrior of Light","","Crystals' Blessing","Grants [Shell] when HP fall below 20%","Use Warrior of Light's Memory Crystal","クリスタルの加護","111010010","✓","✓"
"I","Warrior of Light","","Light's Wrath","Attack turns into an ability (PHY: single, 1.00 physical Holy)","Chance to obtain with Warrior of Light in party","光の力","111010011","✓","✓"
"I","Warrior of Light","","Holy Might","Increases Holy damage dealt by 20%","Use Warrior of Light's Memory Crystal II, chance to obtain with Warrior of Light in party","聖なる力","111010012","✓","✓"
"I","Warrior of Light","","The Promised One","ATK and DEF +13% when equipping a sword","Bring Warrior of Light to level 99","予言の戦士","111010013","✓","✓"
"I","Garland","","Heretic","30% chance to turn Attack into an ability (PHY: single, 1.00 physical Dark)","Use Garland's Memory Crystal","異端者","111010020","✓","✓"
"I","Garland","","Stalwart Warrior","DEF +20% when equipping a heavy armor","Use Garland's Memory Crystal II, chance to obtain with Garland in party","重厚な戦士","111010021","✓","✓"
"I","Garland","","True Madness","Increases Dark damage dealt by 30%","Bring Garland to level 99","真の混沌","111010022","✓","✓"
"I","Sarah","","Bloom of Cornelia","MND +20%, MAG -20%","Use Sarah's Memory Crystal","コーネリアの華","111010030","✓","✓"
"I","Sarah","","Royal Benediction","Attack turns into an ability (WHT: restores HP (26))","Use Sarah's Memory Crystal II, chance to obtain with Sara in party","王家の祝福","111010031","✓","✓"
"I","Sarah","","First Princess","MND +25% when equipping a staff","Bring Sarah to level 99","はじまりの姫","111010032","✓","✓"
"I","Wol","","The Stranger","DEF +10% when equipping a light armor","Use Wol's Memory Crystal","異邦人","111010040","✓","✓"
"I","Wol","","Critical Affinity","16% chance to turn attack into an ability (PHY: single, 2.80 physical)","Use Wol's Memory Crystal II, chance to obtain with Wol in party","クリティカルブースト","111010041","✓","✓"
"I","Wol","","Palamecian Adventurer","ATK and DEF +13% when equipping a light armor","Bring Wol to level 99","パラミティアの冒険者","111010042","✓","✓"
"I","Echo","","Pluck","Increases Lightning damage dealt by 10%","Use Echo's Memory Crystal","おてんば","111010050","✓","✓"
"I","Echo","","Tiny Sprite","MAG +10%, causes Blind at the beginning of the battle","Use Echo's Memory Crystal II, chance to obtain with Echo in party","小さな妖精","111010051","✓","✓"
"I","Echo","","Mischievous Sprite","MAG +15%, causes Blind at the beginning of the battle","Bring Echo to level 99","あまのじゃくな妖精","111010052","✓","✓"
"I","Master","","Burnished Fist","8% chance to turn attack into an ability (PHY: single, 2.80 physical)","Use Master's Memory Crystal","磨かれし拳","111010060","✓","✓"
"I","Master","","Martial Artist","25% chance to dualcast Monk abilities if HP are lower than 50%","Use Master's Memory Crystal II, chance to obtain with Master in party","武の極意","111010061","✓","✓"
"I","Master","","Arduous Path","Attack turns into Chi Blast","Bring Master to level 99","厳しき修練の道","111010062","✓","✓"
"I","Matoya","","Witch's Tonic","50% chance to restore 1 use for all Black Magic abilities at the beginning of the battle","Use Matoya's Memory Crystal","魔女のくすり","111010070","✓","✓"
"I","Matoya","","Witch's Sight","15% chance to dualcast Black Magic abilities","Use Matoya's Memory Crystal II, chance to obtain with Matoya in party","全知の魔女","111010071","✓","✓"
"I","Matoya","","Legendary Witch","BLK attacks deal 30% more damage when equipping a staff","Bring Matoya to level 99","伝説の魔女","111010072","✓","✓"
"I","Meia","","Azure Witch","SUM attacks deal 10% more damage","Use Meia's Memory Crystal","碧の魔女","111010080","✓","✓"
"I","Meia","","Bewitching Sorcery","BLK and SUM attacks deal 10% more damage when equipping a rod","Use Meia's Memory Crystal II, chance to obtain with Meia in party","妖艶な魔術","111010081","✓","✓"
"I","Meia","","Palamecian Avenger","30% chance to turn Attack into Leviathan","Bring Meia to level 99","パラミティアの復讐者","111010082","✓","✓"
"I","Thief (I)","","Smooth Operator","Thief abilities deal 15% more damage","Use Thief (I)'s Memory Crystal","抜け目ない盗賊","111010090","✓","✓"
"I","Thief (I)","","Deft Moves","ATK +10%, grants [Haste] at the beginning of the battle","Use Thief (I)'s Memory Crystal II, chance to obtain with Thief (I) in party","早技の名手","111010091","✓","✓"
"I","Thief (I)","","Dagger Master","ATK and RES +13% when equipping a dagger","Bring Thief (I) to level 99","短剣の極意","111010092","✓","✓"
"II","Firion","","Hold the Line","ATK +5% for each 10% missing HP","Use Firion's Memory Crystal","立ち向かう勇気","111020010","✓","✓"
"II","Firion","","Rebel's Might","ATK and DEF +10%, grants [Low Regen] at the beginning of the battle","Use Firion's Memory Crystal II, chance to obtain with Firion in party","反乱軍のエース","111020011","✓","✓"
"II","Firion","","Weapons Master","ATK +13%","Bring Firion to level 99","武具を修めし者","111020012","✓","✓"
"II","Maria","","Archer Mage","BLK attacks deal 10% more damage when equipping a bow","Use Maria's Memory Crystal","弓の魔術師","111020020","✓","✓"
"II","Maria","","Rebel Sharpshooter","PHY and BLK attacks deal 10% more damage when equipping a bow","Chance to obtain with Maria in party","反乱軍の射手","111020021","✓","✓"
"II","Maria","","Inflame","Attack turns into an ability (BLK: single, 2.20 magical Fire)","Use Maria's Memory Crystal II, chance to obtain with Maria in party","誘爆","111020022","✓","✓"
"II","Maria","","Defiant Archer","MAG +15% when equipping a bow","Bring Maria to level 99","帝国に弓ひきし者","111020023","✓","✓"
"II","Guy","","Son of Beasts","ATK +10%, DEF -10%","Chance to obtain with Guy in party","野獣の子","111020030","✓","✓"
"II","Guy","","Unyielding Fang","ATK and DEF +10% when equipping an axe","Use Guy's Memory Crystal II, chance to obtain with Guy in party","狼牙剛体","111020031","✓","✓"
"II","Guy","","Untempered Giant","PHY attacks deal 30% more damage when equipping an axe","Bring Guy to level 99","鍛え抜かれし巨漢","111020032","✓","✓"
"II","Leon","","Misplaced Faith","DEF +5% for each 10% missing HP","Use Leon's Memory Crystal","力への妄信","111020040","✓","✓"
"II","Leon","","Power of Darkness","Attack turns into an ability (PHY: single, 1.00 physical Dark)","Chance to obtain with Leon in party","闇の力","111020041","✓","✓"
"II","Leon","","Lone Warrior","ATK +10%, DEF -10%","Use Leon's Memory Crystal II, chance to obtain with Leon in party","孤独な戦士","111020042","✓","✓"
"II","Leon","","Darkborn Knight","ATK and DEF +13% when equipping a heavy armor","Bring Leon to level 99","暗黒に染まる騎士","111020043","✓","✓"
"II","Minwu","","White Shepherd","MND +10% when equipping a staff","Use Minwu's Memory Crystal","白の導き手","111020050","✓","✓"
"II","Minwu","","Master in White","WHT abilities restore 20% more HP","Use Minwu's Memory Crystal II, chance to obtain with Minwu in party","白魔道の大家","111020051","✓","✓"
"II","Minwu","","Greater Good","WHT abilities restore 30% more HP","Bring Minwu to level 99","天命に殉ずる覚悟","111020052","✓","✓"
"II","Gordon","","Grim Determination","RES +5% for each 10% missing HP","Use Gordon's Memory Crystal","湧き上がる士気","111020060","✓","✓"
"II","Gordon","","Pride of Kashuan","Grants [Protect] at the beginning of the battle","Chance to obtain with Gordon in party","カシュオーンの誇り","111020061","✓","✓"
"II","Gordon","","Royal Charge","RES +20% when equipping a shield","Use Gordon's Memory Crystal II, chance to obtain with Gordon in party","王族の自覚","111020062","✓","✓"
"II","Gordon","","Princely Promise","ATK and DEF +13% when equipping a spear","Bring Gordon to level 99","芽生えし威厳","111020063","✓","✓"
"II","Leila","","Pirate's Code","PHY attacks deal 10% more damage when equipping a dagger","Use Leila's Memory Crystal","女海賊の心得","111020070","✓","✓"
"II","Leila","","Trick Attack","PHY attacks deal 20% more damage when equipping a dagger","Use Leila's Memory Crystal II, chance to obtain with Leila in party","だまし討ち","111020071","✓","✓"
"II","Leila","","Ringleader","24% chance to turn Attack into Thief's Revenge","Bring Leila to level 99","やり手の女頭領","111020072","✓","✓"
"II","Ricard","","Dragoon's Determination","ATK +20%, causes Sap at the beginning of the battle","Use Ricard's Memory Crystal","竜騎士の決意","111020080","✓","✓"
"II","Ricard","","Dragoon's Pride","37% chance to turn Attack into Jump","Chance to obtain with Ricard in party","竜騎士団の誇り","111020081","✓","✓"
"II","Ricard","","The Last Dragoon","Dragoon abilities deal 30% more damage","Use Ricard's Memory Crystal II, chance to obtain with Ricard in party","最後の竜騎士","111020082","✓","✓"
"II","Ricard","","Dragoon of Deist","24% chance to turn Attack into Sky Grinder","Bring Ricard to level 99","ディスト竜騎士の矜持","111020083","✓","✓"
"II","Josef","","Self-Sacrifice","ATK and DEF +10%, causes Sap at the beginning of the battle","Use Josef's Memory Crystal","自己犠牲","111020090","✓","✓"
"II","Josef","","Double Hit","Attack turns into an ability (PHY: single, 2x 0.65 physical)","Chance to obtain with Josef in party","連続HIT","111020091","✓","✓"
"II","Josef","","Ward of the Snow Plains","Increases Ice damage dealt by 20%","Use Josef's Memory Crystal II, chance to obtain with Josef in party","雪原の盾","111020092","✓","✓"
"II","Josef","","Entrusted Ambition","ATK +15%, DEF -15%","Bring Josef to level 99","託せし大志","111020093","✓","✓"
"II","Emperor","","Emperor's Stratagem","8% chance to counter PHY attacks with an ability (BLK: single, 0.70 magical Wind)","Use Emperor's Memory Crystal","皇帝の謀略","111020100","✓","✓"
"II","Emperor","","Winds of Darkness","Attack turns into an ability (BLK: group, 1.50 magical Wind)","Use Emperor's Memory Crystal II, chance to obtain with Emperor in party","暗黒の風","111020101","✓","✓"
"II","Emperor","","Thirst for Power","60% chance to turn Attack into Drain","Bring Emperor to level 99","飽くなき支配欲","111020102","✓","✓"
"II","Hilda","","Trustworthy Princess","MND +10% when equipping an instrument","Use Hilda's Memory Crystal","信頼厚き王女","111020110","✓","✓"
"II","Hilda","","Wisdom and Will","13% chance to dualcast Bard abilities","Use Hilda's Memory Crystal II, chance to obtain with Hilda in party","聡明さと強い意志","111020111","✓","✓"
"II","Hilda","","Masterful Leader","Attack turns into Requiem","Bring Hilda to level 99","才色兼備のリーダー","111020112","✓","✓"
"II","Scott","","Valiant Prince","Spellblade abilities deal 15% more damage","Use Scott's Memory Crystal","勇ましき王子","111020120","✓","✓"
"II","Scott","","Blade of Kashuan","49% chance to turn Attack into Fire Strike","Use Scott's Memory Crystal II, chance to obtain with Scott in party","カシュオーンの刃","111020121","✓","✓"
"II","Scott","","Undying Flame","DEF +20%, grants [Reraise: 40%] at the beginning of the battle","Bring Scott to level 99","消えぬ闘炎","111020122","✓","✓"
"III","Luneth","","Might of Wind","Increases Wind damage dealt by 10%","Use Luneth's Memory Crystal","風のクリスタルの力","111030010","✓","✓"
"III","Luneth","","Zeal","Grants [Haste] at the beginning of the battle","Chance to obtain with Luneth in party","強き心","111030011","✓","✓"
"III","Luneth","","Prey on the Weak","Increases damage dealt by 20% when exploiting elemental weakness","Use Luneth's Memory Crystal II, chance to obtain with Luneth in party","ウィークウォッチ","111030012","✓","✓"
"III","Luneth","","Fast Learner","100% chance to double Experience gained at the end of the battle","Bring Luneth to level 99","未完の大器","111030013","✓","✓"
"III","Arc","","Might of Water","Increases Water damage dealt by 10%","Use Arc's Memory Crystal","水のクリスタルの力","111030020","✓","✓"
"III","Arc","","Gentle Soul","Grants [Shell] at the beginning of the battle","Chance to obtain with Arc in party","優しき心","111030021","✓","✓"
"III","Arc","","Wisdom Beyond Years","MAG and MND +10% when equipping a staff","Use Arc's Memory Crystal II, chance to obtain with Arc in party","少年たちの知恵袋","111030022","✓","✓"
"III","Arc","","Unseen Valor","MAG and MND +13% when equipping a robe","Bring Arc to level 99","秘めたる勇気","111030023","✓","✓"
"III","Refia","","Might of Fire","Increases Fire damage dealt by 10%","Use Refia's Memory Crystal","火のクリスタルの力","111030030","✓","✓"
"III","Refia","","Beloved Soul","Grants [Protect] at the beginning of the battle","Chance to obtain with Refia in party","愛しき心","111030031","✓","✓"
