"Realm","Img","Name","HP","ATK","DEF","MAG","RES","MND","ACC","EVA","SPD","HP - 99","ATK - 99","DEF - 99","MAG - 99","RES - 99","MND - 99","ACC - 99","EVA - 99","SPD - 99","HP - RS","ATK - RS","DEF - RS","MAG - RS","RES - RS","MND - RS","HP - LS","ATK - LS","DEF - LS","MAG - LS","RES - LS","MND - LS","SPD - LS","HP - RB","ATK - RB","DEF - RB","MAG - RB","RES - RB","MND - RB","SPD - RB","HP - CW","ATK - CW","DEF - CW","MAG - CW","RES - CW","MND - CW","HP - Mastery","ATK - Mastery","DEF - Mastery","MAG - Mastery","RES - Mastery","MND - Mastery","SPD - Mastery","Dagger","Sword","Katana","Axe","Hammer","Spear","Fist","Rod","Staff","Bow","Instrument","Whip","Thrown","Gun","Book","Blitzball","Hairpin","Gun-arm","Gambling Gear","Doll","Keyblade","Shield","Hat","Helm","Light Armor","Heavy Armor","Robe","Bracer","Accessory","Black Magic","White Magic","Combat","Support","Celerity","Summoning","Spellblade","Dragoon","Monk","Thief","Knight","Samurai","Ninja","Bard","Dancer","Machinist","Darkness","Sharpshooter","Witch","Heavy","ID"
"Core","","Samurai","6610","184","166","148","166","148","25","25","118","5410","154","136","118","136","118","25","25","118","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","","Y","","","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","","Y","Y","","","","","","","","","","","","5","","","","","","","","","10001900"
"Core","","Dragoon","6200","178","166","160","125","148","25","25","142","5000","148","136","130","95","118","25","25","142","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","Y","","Y","","Y","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","","4","","","","","5","","","","","","","","","","","","","10002000"
"Core","","Dark Knight","5850","187","150","169","153","148","25","25","95","4650","157","120","139","123","118","25","25","95","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","Y","Y","","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","","4","","","","","","","","","","","","","","6","","","","10002200"
"Core","","Spellblade","5700","182","148","187","148","148","25","25","130","4500","152","118","157","118","118","25","25","130","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","Y","","","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","","","","","","5","","","","","","","","","","","","","","10002300"
"Core","","Viking","7200","190","151","125","143","148","25","25","113","6000","160","121","95","113","118","25","25","113","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","","","Y","Y","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","","Y","Y","","","4","","","","","","","","","","","","","","","","","6","10002400"
"Core","","Berserker","7249","192","146","101","131","101","25","25","118","6049","162","116","71","101","71","25","25","118","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","","","Y","Y","","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","","4","","","","","","","","","","","","","","","","","6","10002500"
"Core","","Ranger","5700","148","125","148","148","148","30","25","130","4500","118","95","118","118","118","30","25","130","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","","","","","","","","","Y","","","","","","","","","","","","","Y","","Y","","","Y","Y","","","3","3","3","","","","","","","","","","","","","6","","","10002600"
"Core","","Thief (Core)","5900","160","143","139","143","148","25","28","172","4700","130","113","109","113","118","25","28","172","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","","","","","","","","","","","","Y","","","","","","","","","","Y","","Y","","","Y","Y","","","","","5","","","","","5","","","","","","","","","","","10002700"
"Core","","Bard","5200","125","125","160","172","160","25","25","118","4000","95","95","130","142","130","25","25","118","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","","","","","","","","","","Y","","","","","","","","","","","","Y","","Y","","Y","Y","Y","","","","4","","","","","","","","","","5","","","","","","","10002800"
"Core","","Ninja","6100","187","141","148","148","148","25","25","166","4900","157","111","118","118","118","25","25","166","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","","Y","","","","","","","","","","Y","","","","","","","","","","Y","Y","Y","","Y","Y","Y","","","3","","4","","","","","","","","5","","","","","4","","","10003000"
"Core","","Gladiator","7200","186","160","148","148","148","25","25","118","6000","156","130","118","118","118","25","25","118","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","Y","Y","Y","Y","Y","","","","Y","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","","5","","4","","","","","","","","","","","","","","","","10003300"
"Core","","Elarra","17913","127","185","264","268","658","26","25","190","5208","97","115","197","179","208","26","25","150","505","0","0","17","9","30","500","0","20","20","30","40","0","10500","0","20","0","20","260","40","1200","30","30","30","30","30","0","0","0","0","0","90","0","Y","","","","","","","Y","Y","","Y","","","","Y","","","","","","","","Y","","Y","","Y","Y","Y","3","5","","","","5","","","","","","","","5","6","","","","","","10004000"
"Core","","Biggs","19915","683","320","156","259","145","26","25","167","7475","203","184","126","149","115","26","25","117","740","30","16","0","0","0","1000","30","40","0","40","0","0","9500","300","50","0","40","0","50","1200","30","30","30","30","30","0","90","0","0","0","0","0","Y","Y","","Y","Y","","Y","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","2","","5","","","","3","","","","5","","","","","","","","","6","10004300"
"Core","","Wedge","17936","569","226","566","220","180","25","25","205","6041","202","125","212","123","90","25","25","165","495","12","6","24","7","0","700","20","25","45","20","0","0","9500","250","40","200","40","60","40","1200","30","30","30","30","30","0","55","0","55","0","0","0","Y","Y","","","","","","Y","Y","","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","3","","","5","5","","","","","5","","","","","","","","","","","10004400"
"Core","","Dr. Mog","17564","129","204","755","299","330","25","25","189","5524","99","114","217","194","209","25","25","149","340","0","0","28","5","21","500","0","20","45","30","15","0","10000","0","40","240","40","40","40","1200","30","30","30","30","30","0","0","0","195","0","15","0","Y","","","","","","","Y","Y","","","","","","Y","","","","","","","","Y","","Y","","Y","Y","Y","5","5","","5","","5","","","","","","","","","","","","","","","10004500"
"Core","","Shadowsmith","18260","411","225","417","224","254","25","25","180","6800","131","130","130","130","130","25","25","130","560","15","5","22","4","4","500","30","20","30","20","30","0","9200","190","40","190","40","60","50","1200","30","30","30","30","30","0","15","0","15","0","0","0","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","Y","Y","Y","Y","Y","Y","Y","Y","5","","5","4","","5","5","","","","","","","","","","6","","","","10005000"
"I","","Warrior of Light","20485","767","335","153","254","142","25","25","168","7930","200","197","123","142","112","25","25","118","855","27","18","0","2","0","1000","30","40","0","40","0","0","9500","290","50","0","40","0","50","1200","30","30","30","30","30","0","190","0","0","0","0","0","Y","Y","","Y","Y","","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","4","5","","2","","","","","","5","","","","","","","","","","10100100"
"I","","Garland","19583","805","279","187","243","141","25","25","166","7253","212","155","157","142","111","25","25","116","830","33","14","0","1","0","800","40","30","0","30","0","0","9500","280","50","0","40","0","50","1200","30","30","30","30","30","0","210","0","0","0","0","0","Y","Y","","Y","Y","Y","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","","5","","","","","","","","3","","","","","","6","","","6","10100200"
"I","","Sarah","17980","154","185","179","280","692","25","25","175","5270","124","105","149","169","213","25","25","135","510","0","0","0","21","29","500","0","30","0","40","40","0","10500","0","20","0","20","260","40","1200","30","30","30","30","30","0","0","0","0","0","120","0","Y","","","","","","","Y","Y","","Y","","","","","","","","","","","Y","Y","","Y","","Y","Y","Y","","5","","","","","","","","","","","","5","","","","","","","10100300"
"I","","Wol","19214","725","261","150","251","165","25","33","209","6889","202","141","120","149","135","25","33","179","725","33","10","0","2","0","800","40","30","0","30","0","0","9600","290","50","0","40","0","30","1200","30","30","30","30","30","0","130","0","0","0","0","0","Y","Y","Y","Y","Y","Y","","","","Y","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","","3","5","4","","","3","4","4","5","4","","","","","","6","","6","10100400"
"I","","Echo","17225","123","199","573","305","478","25","25","193","5070","93","109","218","199","184","25","25","153","455","0","0","30","6","19","500","0","20","40","30","20","0","10000","0","40","160","40","200","40","1200","30","30","30","30","30","0","0","0","95","0","25","0","Y","","","","","","","Y","Y","Y","Y","","","","","","","","","","","","Y","","Y","","Y","Y","Y","5","4","","","","","","","","","","","","","6","","","","","","10100500"
"I","","Master","18918","721","244","150","227","179","25","25","217","6658","211","124","120","124","149","25","25","187","560","40","10","0","3","0","800","40","30","0","30","0","0","9700","270","50","0","40","0","30","1200","30","30","30","30","30","0","130","0","0","0","0","0","Y","","","","","","Y","","","","","","","","","","","","","","","","Y","","Y","","","Y","Y","","","5","","","","","","5","","","","","","","","","","","","10100600"
"I","","Matoya","17150","135","198","661","293","324","25","25","175","5110","105","108","217","184","212","25","25","135","340","0","0","24","9","22","500","0","20","40","30","20","0","10000","0","40","240","40","40","40","1200","30","30","30","30","30","0","0","0","110","0","0","0","Y","","","","","","","Y","Y","","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","5","5","","","","","","","","","","","","","","","","","6","","10100700"
"I","","Meia","17860","147","223","717","317","141","25","25","182","5665","117","120","217","179","111","25","25","142","495","0","3","30","18","0","500","0","30","40","40","0","0","10000","0","40","270","50","0","40","1200","30","30","30","30","30","0","0","0","130","0","0","0","Y","","","","","","","Y","Y","","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","5","","","","","5","","","","","","","","","","","","","6","","10100800"
"I","","Thief (I)","18811","688","269","151","264","165","25","33","226","6636","205","135","121","149","135","25","33","186","775","28","19","0","5","0","800","35","25","0","20","0","20","9400","280","60","0","60","0","20","1200","30","30","30","30","30","0","110","0","0","0","0","0","Y","Y","","","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","","","Y","Y","","","4","","5","","","","","5","","","","","","","","","","","10100900"
"II","","Firion","20057","821","266","179","240","179","25","25","190","6537","209","143","149","135","149","25","25","150","820","32","13","0","5","0","800","40","30","0","30","0","0","10700","320","50","0","40","0","40","1200","30","30","30","30","30","0","190","0","0","0","0","0","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","","Y","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","1","","5","3","3","","","","","","5","5","","","","","","6","","","10200100"
"II","","Maria","17855","187","220","717","323","210","25","25","182","5655","157","120","217","187","172","25","25","142","500","0","0","30","16","8","500","0","30","40","40","0","0","10000","0","40","270","50","0","40","1200","30","30","30","30","30","0","0","0","130","0","0","0","Y","Y","","","","Y","","Y","Y","Y","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","5","3","","","","","","","","","","","","","","","","6","4","","10200200"
"II","","Guy","19605","699","277","150","222","154","26","25","170","7475","212","155","120","121","124","26","25","120","630","37","12","0","1","0","800","40","30","0","30","0","0","9500","280","50","0","40","0","50","1200","30","30","30","30","30","0","100","0","0","0","0","0","Y","Y","","Y","Y","Y","Y","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","","5","","","","","","5","","4","","","","","","","","","6","10200300"
"II","","Leon","19185","704","327","202","227","172","25","25","182","6955","206","194","172","127","142","25","25","142","630","38","13","0","0","0","800","40","30","0","30","0","0","9600","280","50","0","40","0","40","1200","30","30","30","30","30","0","110","10","0","0","0","0","Y","Y","","Y","","Y","","","","Y","","","","","","","","","","","","Y","Y","","Y","Y","","Y","Y","3","","5","","","","","","","","5","","","","","","6","","","","10200400"
"II","","Minwu","19160","154","185","194","279","786","25","25","189","5785","124","105","164","169","220","25","25","149","375","0","0","0","20","26","500","0","30","0","40","40","0","11300","0","20","0","20","320","40","1200","30","30","30","30","30","0","0","0","0","0","150","0","Y","","","","","","","Y","Y","","","","","","","","","","","","","Y","Y","","Y","","Y","Y","Y","","5","","","","","","","","","","","","","","","","","","","10200500"
"II","","Gordon","18270","459","357","397","380","271","25","25","189","6370","181","140","182","178","181","25","25","149","600","38","12","0","2","0","800","35","35","0","30","0","0","9300","70","140","160","140","60","40","1200","30","30","30","30","30","0","105","0","25","0","0","0","Y","Y","","","","Y","","","Y","Y","","","","","","","","","","","","Y","Y","","Y","","","Y","Y","3","4","","5","","","","","","","","","","","","","","","","","10200600"
"II","","Leila","18553","702","270","150","259","165","25","25","227","6408","203","142","120","149","135","25","25","187","645","34","13","0","0","0","800","35","25","0","20","0","20","9500","260","60","0","60","0","20","1200","30","30","30","30","30","0","140","0","0","0","0","0","Y","Y","","Y","","Y","","","Y","Y","","","Y","","","","","","","","","","Y","","Y","","","Y","Y","","","4","","5","","","","","5","","","","","","","","6","","","10200700"
"II","","Ricard","19275","708","290","194","220","179","25","25","209","6825","208","172","164","120","149","25","25","179","850","40","8","0","0","0","800","40","30","0","30","0","0","9600","280","50","0","40","0","30","1200","30","30","30","30","30","0","110","0","0","0","0","0","Y","Y","","Y","","Y","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","2","","4","","","","","5","","","","","","","","","","","","","10200800"
"II","","Josef","18870","760","248","165","240","165","25","28","207","6565","211","124","135","135","135","25","28","167","605","39","14","0","5","0","800","40","30","0","30","0","0","9700","270","50","0","40","0","40","1200","30","30","30","30","30","0","170","0","0","0","0","0","Y","","","Y","Y","","Y","","","","","","","","","","","","","","","Y","Y","","Y","","Y","Y","Y","","","5","4","","","","","5","","","","","","","","","","","","10200900"
"II","","Emperor","17971","120","238","771","320","222","25","25","182","5911","90","132","211","187","184","25","25","132","460","0","6","30","13","8","500","0","30","40","40","0","0","9900","0","40","270","50","0","50","1200","30","30","30","30","30","0","0","0","190","0","0","0","Y","Y","","","","","","Y","Y","","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","5","4","","","","4","","","","","","","","","","","6","","","","10201000"
"II","","Hilda","18164","129","210","147","289","649","25","25","177","5664","99","130","117","179","212","25","25","137","500","0","0","0","20","27","500","0","30","0","40","40","0","10300","0","20","0","20","260","40","1200","30","30","30","30","30","0","0","0","0","0","80","0","Y","","","","","","","Y","Y","","Y","Y","","","","","","","","","","","Y","","Y","","Y","Y","Y","","5","","","","","","","","","","","","5","6","","","","","","10201100"
"II","","Scott","19312","693","287","156","255","187","25","25","177","6882","205","149","126","155","157","25","25","137","830","28","28","0","0","0","800","40","30","0","30","0","0","9600","280","50","0","40","0","40","1200","30","30","30","30","30","0","110","0","0","0","0","0","Y","Y","","Y","Y","Y","","Y","Y","Y","","","","","","","","","","","","Y","Y","Y","Y","Y","Y","Y","Y","3","4","5","","","","5","","","","4","","","","","","","","","","10201200"
"III","","Luneth","19225","755","302","150","212","150","25","25","185","6825","208","187","120","112","120","25","25","145","800","37","5","0","0","0","800","40","30","0","30","0","0","9600","280","50","0","40","0","40","1200","30","30","30","30","30","0","160","0","0","0","0","0","Y","Y","Y","Y","Y","Y","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","","5","3","5","","4","5","","","","","","","","","4","","","","10300100"
"III","","Arc","17355","154","212","534","300","658","25","25","189","5200","124","121","203","191","210","25","25","149","455","0","1","21","9","18","500","0","20","20","30","40","0","10000","0","40","210","40","210","40","1200","30","30","30","30","30","0","0","0","50","0","150","0","Y","","","","","","","Y","Y","Y","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","3","5","","","","5","","","","","","","","","","","","","","","10300200"
"III","","Refia","18740","724","240","160","251","179","25","25","212","6305","209","118","130","147","149","25","25","172","735","35","12","0","4","0","800","40","30","0","30","0","0","9700","270","50","0","40","0","40","1200","30","30","30","30","30","0","140","0","0","0","0","0","Y","","","","Y","","Y","","","","","","Y","","","","","","","","","","Y","","Y","","","Y","Y","","","5","","4","","","","5","","","","","","","","","6","","","10300300"
"III","","Ingus","20420","669","380","150","296","165","25","25","170","7670","200","206","120","157","135","25","25","120","850","24","24","0","4","0","1000","35","40","0","35","0","0","9700","210","70","0","70","0","50","1200","30","30","30","30","30","0","170","10","0","0","0","0","Y","Y","","Y","Y","","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","4","4","4","","","","","","","5","","","","","","","","","","10300400"
"III","","Desch","18166","238","242","724","277","135","25","25","189","6176","188","142","214","157","105","25","25","149","490","20","0","30","0","0","500","0","30","40","40","0","0","9800","0","40","270","50","0","40","1200","30","30","30","30","30","0","0","0","140","0","0","0","Y","Y","","","","","","Y","Y","","Y","","","","","","","","","","","","Y","","Y","","Y","Y","Y","5","","","4","","","3","","","","","","","4","","5","","","","","10300500"
"III","","Onion Knight","18660","601","235","674","228","317","25","25","205","6800","205","130","211","130","203","25","25","175","660","46","10","33","3","24","700","30","25","30","25","0","0","9300","210","40","220","40","60","30","1200","30","30","30","30","30","0","80","0","150","0","0","0","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","","","","","","Y","Y","Y","Y","Y","Y","Y","Y","3","3","3","3","3","","","","","","","","5","","","","","","","","10300600"
"III","","Cloud of Darkness","18931","154","218","828","325","228","25","25","179","5911","124","109","218","199","184","25","25","129","420","0","9","30","6","14","500","0","30","40","40","0","0","10900","0","40","310","50","0","50","1200","30","30","30","30","30","0","0","0","200","0","0","0","Y","","","","","","","Y","Y","","","Y","","","","","","","","","","","Y","","Y","","Y","Y","Y","5","4","","","","","","","","","","","","","","","6","","6","","10300700"
"III","","Aria","17835","154","182","182","306","682","25","25","193","5135","124","102","152","194","213","25","25","153","500","0","0","0","22","29","500","0","30","0","40","40","0","10500","0","20","0","20","260","40","1200","30","30","30","30","30","0","0","0","0","0","110","0","Y","","","","","","","Y","Y","","Y","","","","","","","","","","","","Y","","Y","","Y","Y","Y","","5","","3","","","","","","","","","","5","4","","","","","","10300900"
"IV","","Cecil (Dark Knight)","19950","747","272","150","224","179","25","25","170","7800","217","149","120","120","149","25","25","120","650","40","13","0","4","0","800","40","30","0","30","0","0","9500","280","50","0","40","0","50","1200","30","30","30","30","30","0","140","0","0","0","0","0","Y","Y","","","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","","5","","","","","","","","","","","","","","6","","","6","10400100"
"IV","","Cecil (Paladin)","20625","640","367","150","289","379","25","25","170","7475","194","209","120","149","149","25","25","120","850","26","18","0","0","0","1000","30","40","0","40","0","0","9800","190","70","0","70","170","50","1200","30","30","30","30","30","300","170","0","0","0","30","0","Y","Y","","Y","Y","","","","","Y","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","5","5","3","","","","","","","5","","","","","","","","","","10400200"
"IV","","Kain","20650","814","294","179","221","179","25","25","209","7280","211","164","149","120","149","25","25","179","870","33","20","0","1","0","800","40","30","0","30","0","0","10500","320","50","0","40","0","30","1200","30","30","30","30","30","0","180","0","0","0","0","0","Y","Y","","Y","","Y","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","","5","","3","","","5","","","","","","","","","","","","","10400300"
"IV","","Rydia","17340","150","209","777","323","201","25","25","189","5135","120","108","217","194","164","25","25","149","505","0","1","30","9","7","500","0","30","40","40","0","0","10000","0","40","260","50","0","40","1200","30","30","30","30","30","0","0","0","200","0","0","0","Y","","","","","","","Y","","","","Y","","","","","","","","","","","Y","","Y","","Y","Y","Y","5","2","","","","5","","","","","","","","","","","","","4","","10400400"
"IV","","Rosa","18295","176","202","179","288","675","25","25","189","5785","144","120","149","176","209","25","25","149","510","2","2","0","22","26","500","0","30","0","40","40","0","10300","0","20","0","20","260","40","1200","30","30","30","30","30","0","0","0","0","0","110","0","Y","","","","","","","Y","Y","Y","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","","5","","4","1","","","","","","","","","","","","","6","","","10400600"
"IV","","Edward","17895","375","331","414","373","246","25","27","197","5980","158","120","194","164","138","25","27","157","515","12","6","5","9","13","800","35","35","0","30","0","0","9400","70","140","150","140","60","40","1200","30","30","30","30","30","0","70","0","35","0","5","0","Y","","","","","","","","","Y","Y","","","","","","","","","","","","Y","","Y","","Y","Y","Y","","","","5","","","","","","","","","","5","","","","","","","10400700"
"IV","","Yang","19417","689","286","150","266","179","25","25","198","7247","209","163","120","166","149","25","25","158","570","40","13","0","0","0","800","40","30","0","30","0","0","9600","280","50","0","40","0","40","1200","30","30","30","30","30","0","90","0","0","0","0","0","Y","","","","","","Y","","","","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","","","5","","3","","","","5","","","","","","","","","","","","10400800"
"IV","","Palom","17275","123","217","744","337","142","25","25","189","5070","93","117","224","202","112","25","25","149","505","0","0","30","15","0","500","0","30","40","40","0","0","10000","0","40","260","50","0","40","1200","30","30","30","30","30","0","0","0","160","0","0","0","Y","","","","","","","Y","Y","","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","5","","","","","","","","","","","","","","","","","","","","10400900"
"IV","","Porom","17775","142","185","179","296","705","25","25","189","5070","112","105","149","191","218","25","25","149","505","0","0","0","15","27","500","0","30","0","40","40","0","10500","0","20","0","20","260","40","1200","30","30","30","30","30","0","0","0","0","0","130","0","Y","","","","","","","Y","Y","Y","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","","5","","","","","","","","","","","","","","","","","","","10401000"
"IV","","Tellah","18565","135","196","769","309","285","25","25","189","5525","105","105","212","194","217","25","25","149","340","0","1","27","5","18","500","0","20","40","30","20","0","11000","0","40","310","50","0","40","1200","30","30","30","30","30","0","0","0","150","0","0","0","Y","","","","","","","Y","Y","","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","5","4","","","","","","","","","","","","","","","","","","","10401100"
"IV","","Edge","18220","607","225","430","247","225","25","25","217","6435","205","130","149","157","135","25","25","187","485","37","0","11","0","0","800","35","25","0","20","0","20","9300","160","40","240","40","60","10","1200","30","30","30","30","30","0","140","0","0","0","0","0","Y","","Y","","","","Y","","","","","","Y","","","","","","","","","","Y","","Y","","","Y","Y","","","2","","5","","","","","4","","","5","","","","","6","","","10401200"
"IV","","Fusoya","17370","135","199","475","281","589","25","25","189","5330","105","108","217","176","212","25","25","149","340","0","1","18","5","27","500","0","20","40","30","20","0","10000","0","40","100","40","250","40","1200","30","30","30","30","30","0","0","0","70","0","50","0","Y","","","","","","","Y","Y","","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","5","5","","","","","","","","","","","","","","","","","","","10401300"
