"ID 1210 1211 1212 1213 1214 1215 1216 1217 1218 1219 1220 1221 1222 1223 1224 1225 1226 1227 1228 1229 10000 10001 10002 10003 10004 10005 10006 10007 10008 10009 10100 10101 10102 10103 10104 10105 10106 10107 10108 10109 11000 11001 11002 11003 11004 11005 11006 11007 11008 11009 11100 11101 11102 11103 11104 11105 11106 11107 11108 11109 200 201 202 203 204","Common Name Imperil Holy 40% (5s) Imperil Dark 40% (5s) Imperil Fire 40% (5s) Imperil Wind 40% (5s) Imperil Lightning 40% (5s) Imperil Water 40% (5s) Imperil Ice 40% (5s) Imperil Earth 40% (5s) Imperil Poison 40% (5s) Imperil Holy 20% (5s) Imperil Dark 20% (5s) Imperil Fire 20% (5s) Imperil Wind 20% (5s) Imperil Lightning 20% (5s) Imperil Water 20% (5s) Imperil Ice 20% (5s) Imperil Earth 20% (5s) Imperil Poison 20% (5s) Deshell =0 Deshell 10% (5s) Deshell 20% (5s) Deshell 30% (5s) Deshell 40% (5s) Deshell 50% (5s) Deshell 60% (5s) Deshell 10% (15s) Deshell 20% (15s) Deprotect =0 Deprotect 10% (5s) Deprotect 20% (5s) Deprotect 30% (5s) Deprotect 40% (5s) Deprotect 50% (5s) Deprotect 60% (5s) Deprotect 10% (15s) Deprotect 20% (15s) Poison Silence Paralyze Confuse Haste","Effects Holy Resistance -40%, cumulable Dark Resistance -40%, cumulable Fire Resistance -40%, cumulable Wind Resistance -40%, cumulable Lightning Resistance -40%, cumulable Water Resistance -40%, cumulable Ice Resistance -40%, cumulable Earth Resistance -40%, cumulable Poison Resistance -40%, cumulable Holy Resistance -20%, cumulable Dark Resistance -20%, cumulable Fire Resistance -20%, cumulable Wind Resistance -20%, cumulable Lightning Resistance -20%, cumulable Water Resistance -20%, cumulable Ice Resistance -20%, cumulable Earth Resistance -20%, cumulable Poison Resistance -20%, cumulable Removes all Deshell statuses when set Increases magical damage taken by 10%, cumulable Increases magical damage taken by 20%, cumulable Increases magical damage taken by 30%, cumulable Increases magical damage taken by 40%, cumulable Increases magical damage taken by 50%, cumulable Increases magical damage taken by 60%, cumulable Increases magical damage taken by 10%, cumulable Increases magical damage taken by 20%, cumulable Removes all Deprotect statuses when set Increases physical damage taken by 10%, cumulable Increases physical damage taken by 20%, cumulable Increases physical damage taken by 30%, cumulable Increases physical damage taken by 40%, cumulable Increases physical damage taken by 50%, cumulable Increases physical damage taken by 60%, cumulable Increases physical damage taken by 10%, cumulable Increases physical damage taken by 20%, cumulable Damages for 1/64 maximum HP every 5.00 seconds, persists after battle Disables BLK, WHT, BLU and SUM actions, persists after battle Prevents from acting Forces default action (Attack for characters), affects targeting (single: 50% random enemy, 50% random ally; group: 50% all enemies, 50% all allies), resets ATB when set or removed, removed upon taking damage by PHY attacks ATB speed x2.00","Default Duration 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds - 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 15 seconds 15 seconds - 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 15 seconds 15 seconds - 20 seconds 15 seconds 30 seconds -","MND Modifier - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - ± 2,50% ± 2,00% ± 2,50% -","Exclusive Status - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Low Regen, Medium Regen, High Regen, Sap, Phantom Regen, Regenga - All ""Retaliate"" statuses All ""Retaliate"" statuses, Rage, Green Cherry, Ability Berserk Slow","Coded Name INCREASE_ELEMENT_DEF_HOLY_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_DARK_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_FIRE_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_WIND_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_LIGHTNING_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_WATER_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_ICE_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_EARTH_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_POISON_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_HOLY_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_DARK_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_FIRE_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_WIND_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_LIGHTNING_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_WATER_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_ICE_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_EARTH_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_POISON_M2_TIME_SMALL_5000 UNSET_DESHELL INCREASE_DESHELL_LEVEL_1_TIME_SMALL_5000 INCREASE_DESHELL_LEVEL_2_TIME_SMALL_5000 INCREASE_DESHELL_LEVEL_3_TIME_SMALL_5000 INCREASE_DESHELL_LEVEL_4_TIME_SMALL_5000 INCREASE_DESHELL_LEVEL_5_TIME_SMALL_5000 INCREASE_DESHELL_LEVEL_6_TIME_SMALL_5000 INCREASE_DESHELL_LEVEL_1_TIME_MEDIUM INCREASE_DESHELL_LEVEL_2_TIME_MEDIUM UNSET_DEPROTECT INCREASE_DEPROTECT_LEVEL_1_TIME_SMALL_5000 INCREASE_DEPROTECT_LEVEL_2_TIME_SMALL_5000 INCREASE_DEPROTECT_LEVEL_3_TIME_SMALL_5000 INCREASE_DEPROTECT_LEVEL_4_TIME_SMALL_5000 INCREASE_DEPROTECT_LEVEL_5_TIME_SMALL_5000 INCREASE_DEPROTECT_LEVEL_6_TIME_SMALL_5000 INCREASE_DEPROTECT_LEVEL_1_TIME_MEDIUM INCREASE_DEPROTECT_LEVEL_2_TIME_MEDIUM POISON SILENCE PARALYSIS CONFUSION HASTE","Notes - - - - - - - - - - - - - - - - - - - - - - -"
"261","Last Stand","If HP reaches 0, prevents [KO] restoring HP for 1% maximum HP, removed after triggering","-","-","-","GUTS_1","-"
"262","Greased Lightning 1","ATK +15%, cast speed x1.33, removed upon taking damage","-","-","-","GREASED_LIGHTNING_1","-"
"263","Greased Lightning 2","ATK +30%, cast speed x2.00, removed upon taking damage","-","-","Greased Lightning 1","GREASED_LIGHTNING_2","-"
"264","Greased Lightning 3","ATK +50%, cast speed x4.00, removed upon taking damage","-","-","Greased Lightning 1, Greased Lightning 2","GREASED_LIGHTNING_3","-"
"265","Stoneskin: 30%","Reduces damage taken to 0, up to an amount equal to 30% of the character's maximum HP, removed when that amount is reached","-","-","-","DAMAGE_BARRIER_30","-"
"266","Summon Valefor","Affects certain Burst Commands, removed if the character hasn't [Burst Mode]","-","-","All other ""Summoning Strike""","SUMMONING","-"
"267","Critical Damage +X%","Critical hits deal X% more damage (additive with the base critical coefficient)","25 seconds","-","-","CHANGE_CRITICAL_COEFFICIENT","-"
"268","Thunder God's Might","Cast speed x3.00","25 seconds","-","-","THUNDER_GOD_MODE","-"
"269","Unbound Fury","DEF and RES -40%, cast speed x2.00","25 seconds","-","-","WILD_MODE","-"
"270","Summon Shadow Dragon","Affects certain Burst Commands, removed if the character hasn't [Burst Mode]","-","-","All other ""Summoning Strike""","BLACK_DRAGON_SUMMONING","-"
"271","Astra","Prevents Poison, Silence, Paralyze, Confuse, Slow, Stop, Blind, Sleep, Petrify, Berserk, Sap and Stun once","25 seconds","-","Pre-Dispel","STATUS_AILMENTS_BARRIER","-"
"272","Perma-Protect","DEF +100% (ignoring the buff stacking caps)","-","-","Protect","PROTECT_CAN_NOT_BE_HEALED_BY_DISPEL","???"
"273","Perma-Regen","Heals for 5% maximum HP every 2.50 seconds","-","-","Low Regen, Medium Regen, High Regen, Poison, Sap, Zombie, Regenga","REGEN_FULL_TIME","???"
"274","Heals +30%","WHT actions restore 30% more HP","10 seconds","-","-","INCREASE_EXECUTED_HEAL_BY_EXERCISE_TYPE_WHITE_MAGIC_LARGE_TIME_10000","-"
"275","[Stats] +X% for Next Damaging Action","[Stats] +X%, removed upon dealing damage","-","-","-","PARAM_BOOST_UNTIL_POSITIVE_DAMAGE_EXECUTION","-"
"276","SOLDIER EX Mode","Increases physical damage dealt by 30%, sets the damage cap for PHY attacks to 99999","15 seconds","-","-","BUSTER_SWORD_MODE","-"
"277","Terra Trance","ATK, DEF, MAG, RES, MND, ACC and EVA +20%, cast speed x2.00","25 seconds","-","-","TINA_TRANCE_MODE","-"
"278","Zidane Trance","ATK, DEF, MAG, RES, MND, ACC, EVA and SPD +15%, instantly casts Thief abilities","25 seconds","-","-","ZIDANE_TRANCE_MODE","-"
"279","Play Rough Mode","MAG +30%, DEF and RES -30%, cast speed x3.00","25 seconds","-","-","SHANTOTTO_PLAYING_ROUGH_MODE","-"
"280","Dual Blink 2","Evades the next 2 attacks that could be evaded with [Physical Blink] or [Magical Blink], lower priority than [Physical Blink] and [Magical Blink]","-","-","Dual Blink 1","MIRAGE_AND_MIGHTY_GUARD_2","-"
"281","","","","","","",""
"282","Spellblade +15% Boost 2","Spellblade abilities deal 15% more damage","2 turns","-","-","INCREASE_EXECUTED_DAMAGE_BY_ABILITY_SPELLBLADE_SMALL_TURN_2","-"
"283","Steiner Trance","ATK and DEF +25%, Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark and Poison attacks deal 25% more damage","25 seconds","-","-","STEINER_TRANCE_MODE","-"
"284","Vivi Trance","MAG +30%, 50% chance for Black Magic abilities to trigger 1 additional time","25 seconds","-","-","VIVI_TRANCE_MODE","-"
"285","Dual Blink 1","Evades the next attack that could be evaded with [Physical Blink] or [Magical Blink], lower priority than [Physical Blink] and [Magical Blink]","-","-","Dual Blink 2","MIRAGE_AND_MIGHTY_GUARD_1","-"
"286","Sky Pirate EX Mode","Thief abilities deal 30% more damage, instant cast speed for Thief abilities","15 seconds","-","-","VAAN_SKY_PIRATES_MODE","-"
"287","Beast Mode","ATK, DEF, MAG, RES, MND, ACC and EVA +20%, cast speed x2.00","25 seconds","-","-","VINCENT_TRANCE_MODE","-"
"288","Summon Activate","Affects certain Burst Commands, removed if the character hasn't [Burst Mode]","-","-","All other ""Summoning Strike""","ACTIVATE_SUMMONING","-"
"289","Timeless EX Mode","ATK +30%, cast speed x2.00 for Support abilities","15 seconds","-","-","EX_MODE_TIME_LESS","-"
"290","Physical Blink Stacking 2","Allows to stack Physical Blink, up to Physical Blink 2","15 seconds","-","-","MIRAGE_INCREASING_LIMIT_2","-"
"291","Phoenix Mode","ATK +35%, cast speed x2.00","25 seconds","-","-","LOCK_PHOENIX_MODE","-"
"292","","","","","","",""
"293","Knight +15% Boost 2","Knight abilities deal 15% more damage","2 turns","-","-","INCREASE_EXECUTED_DAMAGE_BY_ABILITY_KNIGHT_SMALL_TURN_2","-"
"294","Spellblade Barrage EX Mode","ATK +30%, cast speed x2.00, casts Wind/Water/Fire/Earth Barrage after using a Wind/Water/Fire/Earth Spellblade ability","15 seconds","-","-","EX_MODE_SPELL_BLADE_BARRAGE","-"
"295","Abandoned Past","Grants [High Quick Cast 1] after using a Dark ability, casts Vanishing Blade after using a Ninja ability if the user has any Physical Blink","15 seconds","-","-","ABANDONING_PAST","-"
"296","Gambling Break","Grants [High Quick Cast 1] and randomly casts Deadly Spade/Club/Diamond/Heart after using a Support ability","15 seconds","-","-","RANDOM_JOKER","-"
"297","Green Cherry","ATK +150%, DEF -50%, forces a specified action, affects targeting (single: random enemy/ally; group: all enemies/allies if the action's auto-target group is enemies/allies), resets ATB when removed","-","-","All ""Retaliate"" statuses, Rage","YELLOW_CHERRY","-"
"298","","","","","","",""
"299","","","","","","",""
"2000","","","","","","",""
"2001","Magical Quick Cast 3","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage","3 turns","-","-","CHANGE_CAST_TIME_200_3_CUSTOM_MAGIC_DAMAGE_ABILITIES","-"
"2002","Magical Quick Cast 5","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage","5 turns","-","-","CHANGE_CAST_TIME_200_5_CUSTOM_MAGIC_DAMAGE_ABILITIES","-"
"2003","Instant Cast 2","Instant cast speed","2 turns","-","-","CHANGE_CAST_TIME_MAX_2_ALL","-"
"2004","Magical Quick Cast 4","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage","4 turns","-","-","CHANGE_CAST_TIME_200_4_CUSTOM_MAGIC_DAMAGE_ABILITIES","-"
"2005","Physical Instant Cast 1","Instant cast speed for PHY attacks","1 turn","-","-","CHANGE_CAST_TIME_MAX_1_PHYSICAL_DAMAGE_ABILITIES","-"
"2006","Magical Instant Cast 1","Instant cast speed for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage","1 turn","-","-","CHANGE_CAST_TIME_MAX_1_CUSTOM_MAGIC_DAMAGE_ABILITIES","-"
"2007","Instant Cast 1","Instant cast speed","1 turn","-","-","CHANGE_CAST_TIME_MAX_1_ALL","-"
"2008","Quick Cast 4","Cast speed x2.00","4 turns","-","-","CHANGE_CAST_TIME_200_4_ALL","-"
"2009","Magical Quick Cast 1","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damages","1 turn","-","-","CHANGE_CAST_TIME_200_1_CUSTOM_MAGIC_DAMAGE_ABILITIES","-"
"2010","Monk Quick Cast 5","Cast speed x2.00 for Monk abilities","5 turns","-","-","CHANGE_CAST_TIME_200_5_ABILITY_CATEGORY_ID_MONK","-"
"2011","Machinist Instant Cast 2","Instant cast speed for Machinist abilities","2 turns","-","-","CHANGE_CAST_TIME_MAX_2_ABILITY_CATEGORY_ID_MACHINIST","-"
"2012","Magical Quick Cast 2","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage","2 turns","-","-","CHANGE_CAST_TIME_200_2_CUSTOM_MAGIC_DAMAGE_ABILITIES","-"
"2013","","","","","","",""
"2014","Instant Cast 3","Instant cast speed","3 turns","-","-","CHANGE_CAST_TIME_MAX_3_ALL","-"
"2015","Quick Cast 3","Cast speed x2.00","3 turns","-","-","CHANGE_CAST_TIME_200_3_ALL","-"
"2016","Quick Cast 2","Cast speed x2.00","2 turns","-","-","CHANGE_CAST_TIME_200_2_ALL","-"
"2017","Knight Quick Cast 2","Cast speed x2.00 for Knight abilities","2 turns","-","-","CHANGE_CAST_TIME_200_2_ABILITY_CATEGORY_ID_KNIGHT","-"
"2018","Monk Instant Cast 3","Instant cast speed for Monk abilities","3 turns","-","-","CHANGE_CAST_TIME_MAX_3_ABILITY_CATEGORY_ID_MONK","-"
"2019","Quick Cast 1","Cast speed x2.00","1 turn","-","-","CHANGE_CAST_TIME_200_1_ALL","-"
"2020","High Quick Cast 1","Cast speed x3.00","1 turn","-","-","CHANGE_CAST_TIME_300_1_ALL","-"
"2021","High Quick Cast 2","Cast speed x3.00","2 turns","-","-","CHANGE_CAST_TIME_300_2_ALL","-"
"2022","Machinist Quick Cast 2","Cast speed x2.00 for Machinist abilities","2 turns","-","-","CHANGE_CAST_TIME_200_2_ABILITY_CATEGORY_ID_MACHINIST","-"
"2023","Jump Instant Cast 1","Instant cast speed for Jump attacks","1 turn","-","-","CHANGE_CAST_TIME_MAX_1_FLIGHT_ATTACK","-"
