"Element","Img","Name","Realm","Rarity","HP","ATK","DEF","MAG","RES","MND","SPD","Passive 1","1","Passive 2","2","Passive 3","3","Passive 4","4","Passive 5","5","Passive 6","6","Passive 7","7","Passive 8","8","Passive 9","9","Passive 10","10","Passive 11","11","Passive 12","12","Ultra Skill Img","Magicite Ultra Skill","Type","Auto Target","Formula","Multiplier","Ultra Skill Element","Time","Effects","Counter","Ultra Skill Name (JP)","Cooldown","Duration","ID","✓"
"Ice","","Dullahan","VI","4","3769","188","199","240","192","178","130","Empower Ice","15","Magic Boon","15","Spell Ward","5","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Absolute Zero","NAT","All enemies","Magical","63.00","Ice","2.50","Five group attacks (12.60 each), grants [Buff Ice 10% (15s)] to all allies","N","【契】ぜったいれいど","10.00","20.00","161000061","✓"
"Ice","","Isgebind","XIV","4","4693","277","199","208","183","211","136","Empower Ice","15","Attack Boon","15","Precise Strikes","8","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Frost Breath","NAT","All enemies","Physical","20.15","Ice","2.50","Five group ranged attacks (4.03 each), causes [Debuff Wind 20% (15s)]","N","【契】フロストブレス","10.00","20.00","161000062","✓"
"Ice","","Manticore","V","5","5080","276","200","191","184","189","204","Empower Ice","15","Precise Strikes","10","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Blazing Breath","PHY","Lowest HP% enemy","Physical","40.60","Ice","2.50","One single ranged attack (40.60) capped at 99999, grants [Buff Ice 10% (15s)] to all allies","N","【契】ブレイズブレス","10.00","20.00","161000087","✓"
"Ice","","Mateus","XII","5","4733","227","175","276","214","229","148","Dampen Air","10","Blade Ward","8","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Frostwave","NAT","All enemies","Magical","85.00","Ice","2.50","One group attack (85.00) capped at 99999, causes [Imperil Ice 20%] for 25 seconds","N","【契】凍てつく波動","10.00","20.00","161000088","✓"
"Ice","","Shiva","X","6","5371","265","232","265","232","232","163","Hoarfrost Blessing","15","Stat Boon","10","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Diamond Dust","NAT","Lowest HP% enemy","","","","0.01","One single attack that deals 99999 damage, grants [Buff Ice 20% (15s)] to all allies","N","【契】ダイアモンドダスト","0.01","10.00","161000101","✓"
"Lightning","","Yellow Elemental","X","1","2648","155","91","181","159","162","87","Empower Lightning","3","","","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000029","✓"
"Lightning","","Kalavinka Striker","XIII","1","3691","182","175","143","103","133","90","Dampen Lightning","1","","","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000030","✓"
"Lightning","","Ymir","VI","2","3443","195","166","157","143","171","103","Empower Lightning","5","Attack Boon","5","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000031","✓"
"Lightning","","Thunder Dragon","IV","2","3916","232","166","175","154","177","100","Dampen Lightning","2","Resistance Boon","5","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000032","✓"
"Lightning","","Humbaba","VI","3","4220","224","139","224","168","167","121","Empower Lightning","10","Precise Strikes","5","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000033","✓"
"Lightning","","Enlil","XIII","3","4304","234","170","162","156","160","147","Empower Lightning","10","Attack Boon","10","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","Ultra Raging Tempest","NAT","All enemies","Magical","50.40","Lightning","2.50","Four group attacks (12.60 each), grants [Resist Water 20% (25s)] to all allies","N","【契】激怒の嵐","10.00","20.00","161000034","✓"
"Lightning","","Hydra","V","3","4298","255","183","192","169","194","116","Dampen Lightning","6","Resistance Boon","10","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","Ultra Thunderbolt","NAT","All enemies","Magical","50.40","Lightning","2.50","Four group attacks (12.60 each), causes [Imperil Lightning 20%] for 25 seconds","N","【契】いなずま","10.00","20.00","161000035","✓"
"Lightning","","Mimic Queen","XII","4","4106","232","199","188","170","203","140","Empower Lightning","15","Attack Boon","15","Precise Strikes","8","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Shockstorm","NAT","All enemies","Magical","63.00","Lightning","2.50","Five group attacks (12.60 each), grants [Water Blink 1] to all allies","N","【契】サンダーバースト","10.00","20.00","161000069","✓"
"Lightning","","Garuda","III","4","3769","244","127","219","183","211","167","Empower Lightning","15","Magic Boon","15","Fast Act","8","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Lightning","NAT","All enemies","Magical","63.00","Lightning","2.50","Five group attacks (12.60 each), grants [Buff Lightning 10% (15s)] to all allies","N","【契】かみなり","10.00","20.00","161000070","✓"
"Lightning","","Ixion","X","4","4367","209","162","255","197","212","130","Dampen Water","10","Defense Boon","15","Deadly Strikes","8","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Thor's Hammer","NAT","All enemies","Magical","63.00","Lightning","2.50","Five group attacks (12.60 each), causes [Debuff Water 20% (15s)]","N","【契】トールハンマー","10.00","20.00","161000071","✓"
"Lightning","","Behemoth King","XIII","5","5080","276","200","191","184","189","204","Empower Lightning","15","Precise Strikes","10","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Shockstorm","PHY","Single enemy","Physical","40.60","Lightning","2.50","One single attack (40.60) capped at 99999, grants [Buff Lightning 10% (15s)] to all allies","N","【契】サンダーバースト","10.00","20.00","161000081","✓"
"Lightning","","Quetzalcoatl","VIII","5","4733","227","175","276","214","229","148","Dampen Water","10","Fast Act","10","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Thunderstorm","NAT","All enemies","Magical","85.00","Lightning","2.50","One group attack (85.00) capped at 99999, causes [Imperil Lightning 20%] for 25 seconds","N","【契】サンダーストーム","10.00","20.00","161000082","✓"
"Lightning","","Ramuh","VI","6","5371","265","232","265","232","232","163","Thunderous Blessing","15","Stat Boon","10","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Judgment Bolt","NAT","Lowest HP% enemy","","","","0.01","One single attack that deals 99999 damage, grants [Buff Lightning 20% (15s)] to all allies","N","【契】裁きの雷","0.01","10.00","161000098","✓"
"Lightning","","Mimic Queen (Ultra Gigas)","-","","6390","321","275","321","275","275","336","Empower Lightning","28","[Inheritance Slot]","","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","Ultra Gigas Force: Lightning","NAT","Lowest HP% enemy","","","","0.01","One single attack that deals 399999 damage, grants [Lightning Infusion] to all allies","N","【契】ギガスフォース・雷","0.01","","161000392",""
"Earth","","Earth Elemental","I","1","2578","143","102","186","145","181","87","Empower Earth","3","","","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000022","✓"
"Earth","","Clay Golem","I","1","3526","210","163","141","116","119","85","Dampen Earth","1","","","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000023","✓"
"Earth","","Ralvuimago","IX","2","3814","214","166","153","165","131","112","Empower Earth","5","Defense Boon","5","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000024","✓"
"Earth","","Antlion","IX","2","3443","195","166","157","143","171","103","Dampen Earth","2","Resistance Boon","5","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000025","✓"
"Earth","","Sand Worm","X","3","3771","213","183","173","157","187","120","Empower Earth","10","Health Boon","3","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000026","✓"
"Earth","","Shell Dragon","IX","3","4298","255","183","192","169","194","116","Empower Earth","10","Defense Boon","10","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","Ultra Earth Shake","NAT","All enemies","Magical","50.40","Earth","2.50","Four group attacks (12.60 each), causes [Imperil Earth 20%] for 25 seconds","N","【契】アースシェイク","10.00","20.00","161000027","✓"
"Earth","","Golem","V","3","4311","255","198","169","140","142","117","Dampen Earth","6","Resistance Boon","10","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","Ultra Earthen Wall","NAT","All allies","","","","2.50","Grants [Lightning Stoneskin: Magicite 30%]","N","【契】アースウォール","10.00","20.00","161000028","✓"
"Earth","","Earth Guardian","IX","4","4604","245","150","245","185","182","142","Dampen Lightning","10","Defense Boon","15","Health Boon","5","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Earthquake","NAT","All enemies","Magical","63.00","Earth","2.50","Five group attacks (12.60 each), grants [Resist Lightning 20% (25s)] to all allies","N","【契】地震","10.00","20.00","161000066","✓"
"Earth","","Catastrophe","V","4","4604","245","150","245","185","182","142","Empower Earth","15","Attack Boon","15","Deadly Strikes","8","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Earth Shaker","NAT","All enemies","Magical","63.00","Earth","2.50","Five group attacks (12.60 each), causes [Debuff Lightning 20% (15s)]","N","【契】アースシェイカー","10.00","20.00","161000067","✓"
"Earth","","Midgardsormr","VI","4","4563","255","199","182","197","156","155","Empower Earth","15","Magic Boon","15","Fast Act","8","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Abyssal Maw","NAT","All enemies","Magical","63.00","Earth","2.50","Five group attacks (12.60 each), grants [Buff Earth 10% (15s)] to all allies","N","【契】アースサラウンド","10.00","20.00","161000068","✓"
"Earth","","Adamantoise","XV","5","4944","276","215","197","214","169","180","Empower Earth","15","Defense Boon","20","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Gaia's Howl","PHY","Lowest HP% enemy","Physical","35.00","Earth","2.50","One single ranged attack (35.00) capped at 99999, grants [Lightning Blink 1] to all allies","N","【契】大地の咆哮","10.00","20.00","161000091","✓"
"Earth","","Hecatoncheir","XIII","5","4733","227","175","276","214","229","148","Dampen Lightning","10","Resistance Boon","20","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Gaian Salvo","NAT","Lowest HP% enemy","Magical","98.60","Earth","2.50","One single attack (98.60) capped at 99999, causes [Debuff Lightning 20% (15s)]","N","【契】ガイアサルヴォー","10.00","20.00","161000092","✓"
"Earth","","Titan","V","6","5371","265","232","265","232","232","163","Earth King's Blessing","15","Stat Boon","10","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Gaia's Wrath","NAT","Lowest HP% enemy","","","","0.01","One single attack that deals 99999 damage, grants [Buff Earth 20% (15s)] to all allies","N","【契】大地の怒り","0.01","10.00","161000097","✓"
"Earth","","Sandworm (Ultra Gigas)","-","","6390","321","275","321","275","275","336","Empower Earth","28","[Inheritance Slot]","","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","Ultra Gigas Force: Earth","NAT","Lowest HP% enemy","","","","0.01","One single attack that deals 399999 damage, grants [Earth Infusion] to all allies","N","【契】ギガスフォース・地","0.01","","161000391",""
"Wind","","Rangda","XIII","1","3550","194","140","135","129","133","103","Empower Wind","3","","","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000015","✓"
"Wind","","Galypdes","VI","1","2867","184","97","167","140","161","99","Dampen Air","1","","","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000016","✓"
"Wind","","Zu","V","2","3165","203","107","184","154","177","120","Empower Wind","5","Magic Boon","5","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000017","✓"
"Wind","","Rapps","VII","2","3927","213","154","149","142","147","125","Dampen Air","2","Resistance Boon","5","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000018","✓"
"Wind","","Wing Raptor","V","3","3464","223","117","202","169","194","141","Empower Wind","10","Fast Act","5","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000019","✓"
"Wind","","Enkidu","V","3","3464","223","117","202","169","194","141","Empower Wind","10","Magic Boon","10","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","Ultra White Wind","NAT","All allies","","","","0.01","Restores HP for 40% of the target's maximum HP, removes negative effects","N","【契】ホワイトウインド","10.00","20.00","161000020","✓"
"Wind","","Fenrir","VI","3","4002","192","148","234","182","195","112","Dampen Air","6","Resistance Boon","10","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","Ultra Howling Moon","NAT","All allies","","","","2.50","Grants [Physical Blink 1] and [Resist Earth 20% (25s)]","N","【契】ハウリングムーン","10.00","20.00","161000021","✓"
"Wind","","Sylph","V","4","3379","188","134","245","192","238","140","Dampen Earth","10","Mind Boon","15","Fast Act","8","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Whisperwind","NAT","Lowest HP% enemy","Magical","21.92","Wind","2.50","Eight single attacks (2.74 each), restores HP (82) to all allies","N","【契】かぜのささやき","10.00","20.00","161000063","✓"
"Wind","","Silver Dragon","IX","4","4693","277","199","208","183","211","136","Empower Wind","15","Attack Boon","15","Precise Strikes","8","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Breath Wing","NAT","All enemies","Magical","63.00","Wind","2.50","Five group attacks (12.60 each), grants [Haste] to all allies","N","【契】ブレスウイング","10.00","20.00","161000064","✓"
"Wind","","Tiamat","IX","4","4693","277","199","208","183","211","136","Empower Wind","15","Magic Boon","15","Blade Ward","5","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Twister","NAT","All enemies","Magical","63.00","Wind","2.50","Five group attacks (12.60 each), grants [Buff Wind 10% (15s)] to all allies","N","【契】ツイスター","10.00","20.00","161000065","✓"
"Wind","","Typhon","VI","5","4367","271","177","214","195","232","157","Empower Wind","15","Attack Boon","20","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Snort","PHY","Lowest HP% enemy","Physical","40.60","Wind","2.50","One single ranged attack (40.60) capped at 99999, causes [Debuff Earth 20% (15s)]","N","【契】はないき","10.00","20.00","161000089","✓"
"Wind","","Syldra","V","5","3918","231","182","234","222","218","162","Dampen Earth","10","Magic Boon","20","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Thunderstorm","NAT","All enemies","Magical","85.00","Wind","2.50","One group attack (85.00) capped at 99999, 102.00 multiplier if Faris is alive, causes [Imperil Wind 20%] for 25 seconds","N","【契】サンダーストーム","10.00","20.00","161000090","✓"
"Wind","","Valefor","X","6","5371","265","232","265","232","232","163","Majestic Blessing","15","Stat Boon","10","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Energy Ray","NAT","Lowest HP% enemy","","","","0.01","One single attack that deals 99999 damage, grants [Buff Wind 20% (15s)] to all allies","N","【契】シューティング・レイ","0.01","10.00","161000102","✓"
"Water","","Water Flan","X","1","2509","185","166","157","92","166","84","Empower Water","3","","","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000036","✓"
"Water","","Sahagin","IV","1","3446","194","151","139","150","119","94","Dampen Water","1","","","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000037","✓"
"Water","","Anguiform","VI","2","3043","178","140","181","172","170","104","Empower Water","5","Mind Boon","5","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000038","✓"
"Water","","Sea Dragon","II","2","3916","232","166","175","154","177","100","Dampen Water","2","Resistance Boon","5","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000039","✓"
"Water","","Bottomswell","VII","3","3331","195","154","199","189","186","121","Empower Water","10","Spell Ward","3","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000040","✓"
"Water","","Enki","XIII","3","4304","234","170","162","156","160","147","Empower Water","10","Mind Boon","10","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","Ultra Raging Torrent","NAT","All enemies","Magical","50.40","Water","2.50","Four group attacks (12.60 each), grants [Resist Fire 20% (25s)] to all allies","N","【契】憤怒の波","10.00","20.00","161000041","✓"
"Water","","Bismarck","VI","3","4002","192","148","234","182","195","112","Dampen Water","6","Resistance Boon","10","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","Ultra Breach Blast","NAT","All enemies","Magical","50.40","Water","0.01","Four group attacks (12.60 each), grants [Fire Blink 1] to all allies","N","【契】バブルブロウ","10.00","20.00","161000042","✓"
"Water","","Gizamaluke","IX","4","3624","213","167","216","205","202","142","Dampen Fire","10","Resistance Boon","15","Spell Ward","5","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Tsunami","NAT","All enemies","Magical","63.00","Water","2.50","Five group attacks (12.60 each), causes [Debuff Fire 20% (15s)]","N","【契】つなみ","10.00","20.00","161000072","✓"
"Water","","Octomammoth","IV","4","3624","213","167","216","205","202","142","Empower Water","15","Magic Boon","15","Health Boon","5","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Tentacles","PHY","Lowest HP% enemy","Physical","20.16","Water","2.50","Eight single attacks (2.52 each), grants [Buff Water 10% (15s)] to all allies","N","【契】たこあし","10.00","20.00","161000073","✓"
"Water","","Kraken","IX","4","3289","244","220","206","121","217","127","Empower Water","15","Attack Boon","15","Blade Ward","5","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Aqua Breath","NAT","All enemies","Magical","63.00","Water","2.50","Five group attacks (12.60 each), causes [Imperil Water 20%] for 25 seconds","N","【契】アクアブレス","10.00","20.00","161000074","✓"
"Water","","Geosgaeno","X","5","4733","227","175","276","214","229","148","Empower Water","15","Blade Ward","8","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Regurgitate","PHY","Lowest HP% enemy","Physical","40.60","Water","2.50","One single ranged attack (40.60) capped at 99999, grants [Buff Water 10% (15s)] to all allies","N","【契】吐き出し","10.00","20.00","161000083","✓"
"Water","","Famfrit","XII","5","4733","227","175","276","214","229","148","Dampen Fire","10","Spell Ward","8","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Briny Cannonade","NAT","Lowest HP% enemy","Magical","98.60","Water","2.50","One single attack (98.60) capped at 99999, grants [Fire Stoneskin: Magicite 30%] to all allies","N","【契】蒼の砲撃","10.00","20.00","161000084","✓"
"Water","","Leviathan","V","6","5371","265","232","265","232","232","163","Imperial Blessing","15","Stat Boon","10","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Tidal Wave","NAT","Lowest HP% enemy","","","","0.01","One single attack that deals 99999 damage, grants [Buff Water 20% (15s)] to all allies","N","【契】タイダルウエイブ","0.01","10.00","161000099","✓"
"Water","","Cooler Mammoth (Ultra Gigas)","-","","6390","321","275","321","275","275","336","Empower Water","28","[Inheritance Slot]","","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","Ultra Gigas Force: Water","NAT","Lowest HP% enemy","","","","0.01","One single attack that deals 399999 damage, grants [Water Infusion] to all allies","N","【契】ギガスフォース・水","0.01","","161000393",""
"Holy","","Cure Beast","V","1","3350","194","140","135","129","133","103","Empower Holy","3","","","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000043","✓"
"Holy","","Fairy Orc","V","1","2578","143","102","186","145","181","87","Dampen Light","2","","","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000044","✓"
"Holy","","Nymph","IX","2","2924","171","101","200","175","178","103","Empower Holy","5","Mind Boon","5","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000045","✓"
"Holy","","White Flame","V","2","2843","158","113","205","160","199","103","Dampen Light","2","Resistance Boon","5","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000046","✓"
"Holy","","Kirin","VI","3","4002","192","148","234","182","195","112","Empower Holy","10","Healing Boon","5","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000047","✓"
