"Realm Core Core Core Core Core Core Core Core Core Core Core Core Core Core","Character Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro","Img ","Name HP +100 HP +200 HP +300 HP +400 HP +1000 HP +100 HP +100 HP +100 HP +100 HP +200 HP +200 HP +200 HP +200 HP +400","Effect HP +100 HP +200 HP +300 HP +400 HP +1000 HP +100 HP +100 HP +100 HP +100 HP +200 HP +200 HP +200 HP +200 HP +400","Mote 1 Required Spirit (6★) Spirit (6★) Spirit (6★) Spirit (6★) Spirit (6★) Spirit (7★) Spirit (7★) Spirit (7★) Spirit (7★) Spirit (7★) Spirit (7★) Spirit (7★) Spirit (7★) Spirit (7★)","5 7 10 13 15 1 1 1 1 2 2 2 2 4","Mote 2 Required Dexterity (6★) Dexterity (6★) Dexterity (6★) Dexterity (6★) Dexterity (6★) Dexterity (7★) Dexterity (7★) Dexterity (7★) Dexterity (7★) Dexterity (7★) Dexterity (7★) Dexterity (7★) Dexterity (7★) Dexterity (7★)","5 7 10 13 15 1 1 1 1 2 2 2 2 4","Mote 3 Required Vitality (6★) Vitality (6★) Vitality (6★) Vitality (6★) Vitality (6★) Vitality (7★) Vitality (7★) Vitality (7★) Vitality (7★) Vitality (7★) Vitality (7★) Vitality (7★) Vitality (7★) Vitality (7★)","5 7 10 13 15 1 1 1 1 2 2 2 2 4","Mote 4 Required ","","Hero Mote Required ",""
"Core","Tyro","","MAG +10","MAG +10","Dexterity (6★)","14","","","","","","","",""
"Core","Tyro","","MAG +10","MAG +10","Dexterity (7★)","3","","","","","","","Tyro I",""
"Core","Tyro","","MAG +10","MAG +10","Dexterity (7★)","3","","","","","","","Tyro II",""
"Core","Tyro","","MAG +10","MAG +10","Dexterity (7★)","3","","","","","","","Tyro II",""
"Core","Tyro","","MAG +10","MAG +10","Dexterity (7★)","3","","","","","","","Tyro II",""
"Core","Tyro","","RES +10","RES +10","Spirit (6★)","3","Dexterity (6★)","1","","","","","",""
"Core","Tyro","","RES +10","RES +10","Spirit (6★)","4","Dexterity (6★)","2","","","","","",""
"Core","Tyro","","RES +10","RES +10","Spirit (6★)","9","Dexterity (6★)","3","","","","","",""
"Core","Tyro","","RES +10","RES +10","Spirit (6★)","14","Dexterity (6★)","7","","","","","",""
"Core","Tyro","","MND +10","MND +10","Spirit (6★)","3","","","","","","","",""
"Core","Tyro","","MND +10","MND +10","Spirit (6★)","3","","","","","","","",""
"Core","Tyro","","MND +10","MND +10","Spirit (6★)","5","","","","","","","",""
"Core","Tyro","","MND +10","MND +10","Spirit (6★)","7","","","","","","","",""
"Core","Tyro","","MND +10","MND +10","Spirit (6★)","9","","","","","","","",""
"Core","Tyro","","MND +10","MND +10","Spirit (6★)","14","","","","","","","",""
"Core","Tyro","","SPD +10","SPD +10","Spirit (6★)","2","Vitality (6★)","1","","","","","",""
"Core","Tyro","","SPD +10","SPD +10","Spirit (7★)","3","Dexterity (7★)","3","Vitality (7★)","3","","","Tyro I",""
"Core","Tyro","","SPD +10","SPD +10","Spirit (7★)","3","Dexterity (7★)","3","Vitality (7★)","3","","","Tyro I",""
"Core","Tyro","","SPD +10","SPD +10","Spirit (7★)","3","Dexterity (7★)","3","Vitality (7★)","3","","","Tyro I",""
"Core","Tyro","","SPD +10","SPD +10","Spirit (7★)","3","Dexterity (7★)","3","Vitality (7★)","3","","","Tyro II",""
"Core","Tyro","","ATK Reverie","ATK +60","Spirit (6★)","12","Dexterity (6★)","12","Vitality (6★)","12","","","",""
"Core","Tyro","","MAG Reverie (Tyro)","MAG +70","Dexterity (7★)","20","","","","","","","",""
"Core","Tyro","","Core/Beyond Bond","Increases ATK, DEF, MAG, RES and MND by 2/4/6/8/10% if there are 1/2/3/4/5 Core/Beyond characters in the party","Spirit (6★)","16","Dexterity (6★)","16","Vitality (6★)","16","","","",""
"Core","Tyro","","Core/Beyond Bond II","Increases damage dealt by 0/2/4/5/6% if there are 1/2/3/4/5 Core/Beyond characters in the party","Spirit (6★)","20","Dexterity (6★)","20","Vitality (6★)","20","","","",""
"Core","Tyro","","Core/Beyond Bond III","Increases damage dealt by 1/2/3/4/5% if there are 1/2/3/4/5 Core/Beyond characters in the party","Spirit (6★)","25","Dexterity (6★)","25","Vitality (6★)","25","","","",""
"Core","Tyro","","Prismatic Ability Damage +6%","Elemental abilities deal 6% more damage","Spirit (6★)","14","Dexterity (6★)","14","Vitality (6★)","14","","","",""
"Core","Tyro","","Weakness Damage +4%","Increases damage dealt by 4% when exploiting elemental weakness","Spirit (6★)","20","Dexterity (6★)","20","Vitality (6★)","20","","","",""
"Core","Tyro","","Weakness Damage +6%","Increases damage dealt by 6% when exploiting elemental weakness","Spirit (6★)","10","Dexterity (6★)","10","Vitality (6★)","10","","","",""
"Core","Tyro","","Anti-Damage 4%","Reduces physical or magical damage taken by 4%","Spirit (6★)","15","Dexterity (6★)","15","Vitality (6★)","15","","","",""
"Core","Tyro","","Cast Speed +8%","Cast speed +8%","Spirit (6★)","7","Dexterity (6★)","7","Vitality (6★)","7","","","",""
"Core","Tyro","","Prismatic Harmony - Physical","PHY attacks deal 1/2/3/4/5% more damage if there are 1/2/3/4/5 characters with any Infusion in the party","Spirit (6★)","25","Dexterity (6★)","25","Vitality (6★)","25","","","",""
"Core","Tyro","","Prismatic Harmony - Magic","BLK attacks deal 1/2/3/4/5% more damage if there are 1/2/3/4/5 characters with any Infusion in the party","Spirit (6★)","25","Dexterity (6★)","25","Vitality (6★)","25","","","",""
"Core","Tyro","","Creation Damage +2%","Increases damage dealt by 2% in Memories of Creation Dungeons","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Tyro I",""
"Core","Tyro","","Antiquity Damage +2%","Increases damage dealt by 2% in Memories of Antiquity Dungeons","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Tyro I",""
"Core","Tyro","","Fate Damage +2%","Increases damage dealt by 2% in Memories of Fate Dungeons","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Tyro I",""
"Core","Tyro","","Weakness Damage +3%","Increases damage dealt by 3% when exploiting elemental weakness","Spirit (7★)","7","Dexterity (7★)","7","Vitality (7★)","7","","","Tyro I",""
"Core","Tyro","","PHY or BLK Damage +3%","PHY or BLK attacks deal 3% more damage","Spirit (7★)","7","Dexterity (7★)","7","Vitality (7★)","7","","","Tyro I",""
"Core","Tyro","","Creation Damage +3%","Increases damage dealt by 3% in Memories of Creation Dungeons","Spirit (7★)","3","Dexterity (7★)","3","Vitality (7★)","3","","","Tyro II",""
"Core","Tyro","","Antiquity Damage +3%","Increases damage dealt by 3% in Memories of Antiquity Dungeons","Spirit (7★)","3","Dexterity (7★)","3","Vitality (7★)","3","","","Tyro II",""
"Core","Tyro","","Fate Damage +3%","Increases damage dealt by 3% in Memories of Fate Dungeons","Spirit (7★)","3","Dexterity (7★)","3","Vitality (7★)","3","","","Tyro II",""
"Core","Tyro","","Hero Ability Damage +6%","Hero Abilities deal 6% more damage","Spirit (7★)","15","Dexterity (7★)","15","Vitality (7★)","15","","","Tyro II",""
"Core","Tyro","","Arcane Knowledge","Magia EXP +400","Spirit (6★)","3","Dexterity (6★)","3","Vitality (6★)","3","","","",""
"Core","Tyro","","Arcane Knowledge","Magia EXP +400","Spirit (6★)","5","Dexterity (6★)","5","Vitality (6★)","5","","","",""
"Core","Tyro","","Arcane Knowledge","Magia EXP +400","Spirit (7★)","5","Dexterity (7★)","5","Vitality (7★)","5","","","",""
"Core","Tyro","","Arcane Knowledge","Magia EXP +400","Spirit (7★)","5","Dexterity (7★)","5","Vitality (7★)","5","Sparkling (6★)","3","",""
"Core","Tyro","","Judgment Grimoire","Hero Ability","Spirit (6★)","30","Dexterity (6★)","30","Vitality (6★)","30","Record Sapphire","100","",""
"Core","Tyro","","Acicular Grimoire","Hero Ability","Spirit (6★)","30","Dexterity (6★)","30","Vitality (6★)","30","Record Sapphire","100","",""
"Core","Elarra","","HP +100","HP +100","Spirit (6★)","1","Dexterity (6★)","1","Vitality (6★)","1","","","",""
"Core","Elarra","","HP +100","HP +100","Spirit (6★)","1","Dexterity (6★)","1","Vitality (6★)","1","","","",""
"Core","Elarra","","HP +100","HP +100","Spirit (6★)","3","Dexterity (6★)","2","Vitality (6★)","1","","","",""
"Core","Elarra","","HP +100","HP +100","Spirit (6★)","3","Dexterity (6★)","2","Vitality (6★)","1","","","",""
"Core","Elarra","","HP +100","HP +100","Spirit (6★)","4","Dexterity (6★)","3","Vitality (6★)","2","","","",""
"Core","Elarra","","HP +100","HP +100","Spirit (6★)","6","Dexterity (6★)","4","Vitality (6★)","2","","","",""
"Core","Elarra","","HP +100","HP +100","Spirit (6★)","7","Dexterity (6★)","5","Vitality (6★)","3","","","",""
"Core","Elarra","","HP +100","HP +100","Spirit (6★)","7","Dexterity (6★)","5","Vitality (6★)","3","","","",""
"Core","Elarra","","HP +100","HP +100","Spirit (6★)","8","Dexterity (6★)","6","Vitality (6★)","4","","","",""
"Core","Elarra","","HP +100","HP +100","Spirit (6★)","9","Dexterity (6★)","7","Vitality (6★)","5","","","",""
"Core","Elarra","","HP +100","HP +100","Spirit (6★)","9","Dexterity (6★)","7","Vitality (6★)","5","","","",""
"Core","Elarra","","HP +200","HP +200","Spirit (6★)","10","Dexterity (6★)","9","Vitality (6★)","5","","","",""
"Core","Elarra","","HP +300","HP +300","Spirit (6★)","10","Dexterity (6★)","9","Vitality (6★)","5","","","",""
"Core","Elarra","","HP +400","HP +400","Spirit (6★)","11","Dexterity (6★)","10","Vitality (6★)","6","","","",""
"Core","Elarra","","HP +1000","HP +1000","Spirit (6★)","14","Dexterity (6★)","10","Vitality (6★)","6","","","",""
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","",""
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","",""
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","",""
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","",""
"Core","Elarra","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","",""
"Core","Elarra","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","",""
"Core","Elarra","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","",""
"Core","Elarra","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","",""
"Core","Elarra","","HP +400","HP +400","Spirit (7★)","4","Dexterity (7★)","4","Vitality (7★)","4","","","",""
"Core","Elarra","","HP +400","HP +400","Spirit (7★)","4","Dexterity (7★)","4","Vitality (7★)","4","Sparkling (6★)","5","",""
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Elarra I","4"
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Elarra I","4"
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Elarra I","4"
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Elarra I","4"
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Elarra I","4"
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Elarra I","4"
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Elarra I","4"
"Core","Elarra","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Elarra I","4"
"Core","Elarra","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Elarra I","4"
"Core","Elarra","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","Sparkling (6★)","5","Elarra I","4"
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Elarra II","4"
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Elarra II","4"
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Elarra II","4"
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Elarra II","4"
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Elarra II","4"
"Core","Elarra","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Elarra II","4"
"Core","Elarra","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Elarra II","4"
"Core","Elarra","","HP +400","HP +400","Spirit (7★)","4","Dexterity (7★)","4","Vitality (7★)","4","","","Elarra II","4"
"Core","Elarra","","HP +1000","HP +1000","Spirit (7★)","10","Dexterity (7★)","10","Vitality (7★)","10","","","Elarra II","10"
"Core","Elarra","","DEF +10","DEF +10","Dexterity (6★)","3","Vitality (6★)","1","","","","","",""
"Core","Elarra","","DEF +10","DEF +10","Dexterity (6★)","6","Vitality (6★)","3","","","","","",""
"Core","Elarra","","RES +10","RES +10","Spirit (6★)","4","Dexterity (6★)","2","","","","","",""
"Core","Elarra","","RES +10","RES +10","Spirit (6★)","10","Dexterity (6★)","5","","","","","",""
"Core","Elarra","","MND +10","MND +10","Spirit (6★)","3","","","","","","","",""
"Core","Elarra","","MND +10","MND +10","Spirit (6★)","3","","","","","","","",""
"Core","Elarra","","MND +10","MND +10","Spirit (6★)","5","","","","","","","",""
"Core","Elarra","","MND +10","MND +10","Spirit (6★)","5","","","","","","","",""
"Core","Elarra","","MND +10","MND +10","Spirit (6★)","7","","","","","","","",""
"Core","Elarra","","MND +10","MND +10","Spirit (6★)","9","","","","","","","",""
"Core","Elarra","","MND +10","MND +10","Spirit (6★)","11","","","","","","","",""
"Core","Elarra","","MND +10","MND +10","Spirit (6★)","11","","","","","","","",""
"Core","Elarra","","MND +10","MND +10","Spirit (6★)","14","","","","","","","",""
"Core","Elarra","","MND +10","MND +10","Spirit (6★)","20","","","","","","","",""
"Core","Elarra","","MND +10","MND +10","Spirit (7★)","3","","","","","","","Elarra I",""
"Core","Elarra","","MND +10","MND +10","Spirit (7★)","3","","","","","","","Elarra I",""
"Core","Elarra","","MND +10","MND +10","Spirit (7★)","3","","","","","","","Elarra II",""
"Core","Elarra","","MND +10","MND +10","Spirit (7★)","3","","","","","","","Elarra II",""
"Core","Elarra","","MND +10","MND +10","Spirit (7★)","3","","","","","","","Elarra II",""
"Core","Elarra","","MND +10","MND +10","Spirit (7★)","3","","","","","","","Elarra II",""
"Core","Elarra","","SPD +10","SPD +10","Spirit (6★)","3","Vitality (6★)","1","","","","","",""
"Core","Elarra","","SPD +10","SPD +10","Spirit (7★)","3","Dexterity (7★)","3","Vitality (7★)","3","","","Elarra I","5"
"Core","Elarra","","SPD +10","SPD +10","Spirit (7★)","3","Dexterity (7★)","3","Vitality (7★)","3","","","Elarra I","5"
"Core","Elarra","","SPD +10","SPD +10","Spirit (7★)","3","Dexterity (7★)","3","Vitality (7★)","3","","","Elarra II","5"
"Core","Elarra","","MND Reverie (Elarra)","MND +110","Spirit (6★)","22","Dexterity (6★)","22","Vitality (6★)","22","","","",""
"Core","Elarra","","Core/Beyond Bond","Increases ATK, DEF, MAG, RES and MND by 2/4/6/8/10% if there are 1/2/3/4/5 Core/Beyond characters in the party","Spirit (6★)","16","Dexterity (6★)","16","Vitality (6★)","16","","","",""
"Core","Elarra","","Weakness Damage +4%","Increases damage dealt by 4% when exploiting elemental weakness","Spirit (6★)","20","Dexterity (6★)","20","Vitality (6★)","20","","","",""
"Core","Elarra","","White Magic Damage +6%","White Magic abilities deal 6% more damage","Spirit (6★)","14","Dexterity (6★)","14","Vitality (6★)","14","","","",""
"Core","Elarra","","WHT Healing +6%","WHT actions restore 6% more HP","Spirit (6★)","10","Dexterity (6★)","10","Vitality (6★)","10","","","",""
"Core","Elarra","","WHT Healing +6%","WHT actions restore 6% more HP","Spirit (6★)","20","Dexterity (6★)","20","Vitality (6★)","20","","","",""
"Core","Elarra","","Cast Speed +8%","Cast speed +8%","Spirit (6★)","7","Dexterity (6★)","7","Vitality (6★)","7","","","",""
"Core","Elarra","","Anti-Damage 4%","Reduces physical or magical damage taken by 4%","Spirit (6★)","15","Dexterity (6★)","15","Vitality (6★)","15","","","",""
"Core","Elarra","","Weakness Damage +3%","Increases damage dealt by 3% when exploiting elemental weakness","Spirit (7★)","7","Dexterity (7★)","7","Vitality (7★)","7","","","Elarra I","5"
"Core","Elarra","","WHT Healing +3%","WHT actions restore 3% more HP","Spirit (7★)","7","Dexterity (7★)","7","Vitality (7★)","7","","","Elarra I","5"
"Core","Elarra","","Cast Speed +4%","Cast speed +4%","Spirit (7★)","7","Dexterity (7★)","7","Vitality (7★)","7","","","Elarra I","15"
"Core","Elarra","","Anti-Damage 4%","Reduces physical or magical damage taken by 4%","Spirit (7★)","7","Dexterity (7★)","7","Vitality (7★)","7","","","Elarra I","15"
"Core","Elarra","","Hero Ability Healing +6%","Hero Abilities restore 6% more HP","Spirit (7★)","15","Dexterity (7★)","15","Vitality (7★)","15","","","Elarra II","15"
"Core","Elarra","","Arcane Knowledge","Magia EXP +400","Spirit (6★)","3","Dexterity (6★)","3","Vitality (6★)","3","","","",""
"Core","Elarra","","Arcane Knowledge","Magia EXP +400","Spirit (6★)","5","Dexterity (6★)","5","Vitality (6★)","5","","","",""
"Core","Elarra","","Arcane Knowledge","Magia EXP +400","Spirit (7★)","5","Dexterity (7★)","5","Vitality (7★)","5","","","",""
"Core","Elarra","","Arcane Knowledge","Magia EXP +400","Spirit (7★)","5","Dexterity (7★)","5","Vitality (7★)","5","Sparkling (6★)","3","",""
"Core","Elarra","","Fabula Heal","Hero Ability","Spirit (6★)","30","Dexterity (6★)","30","Vitality (6★)","30","Record Sapphire","100","",""
"Core","Biggs","","HP +100","HP +100","Spirit (6★)","1","Dexterity (6★)","1","Vitality (6★)","1","","","",""
"Core","Biggs","","HP +100","HP +100","Spirit (6★)","2","Dexterity (6★)","2","Vitality (6★)","2","","","",""
"Core","Biggs","","HP +100","HP +100","Spirit (6★)","3","Dexterity (6★)","3","Vitality (6★)","3","","","",""
"Core","Biggs","","HP +100","HP +100","Spirit (6★)","3","Dexterity (6★)","3","Vitality (6★)","3","","","",""
"Core","Biggs","","HP +100","HP +100","Spirit (6★)","5","Dexterity (6★)","5","Vitality (6★)","5","","","",""
"Core","Biggs","","HP +200","HP +200","Spirit (6★)","5","Dexterity (6★)","5","Vitality (6★)","5","","","",""
"Core","Biggs","","HP +200","HP +200","Spirit (6★)","7","Dexterity (6★)","7","Vitality (6★)","7","","","",""
"Core","Biggs","","HP +200","HP +200","Spirit (6★)","7","Dexterity (6★)","7","Vitality (6★)","7","","","",""
"Core","Biggs","","HP +400","HP +400","Spirit (6★)","7","Dexterity (6★)","7","Vitality (6★)","7","","","",""
"Core","Biggs","","HP +1000","HP +1000","Spirit (6★)","10","Dexterity (6★)","10","Vitality (6★)","10","","","",""
"Core","Biggs","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","",""
"Core","Biggs","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","",""
"Core","Biggs","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","",""
"Core","Biggs","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","",""
"Core","Biggs","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","",""
"Core","Biggs","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","",""
"Core","Biggs","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","",""
"Core","Biggs","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","",""
"Core","Biggs","","HP +400","HP +400","Spirit (7★)","4","Dexterity (7★)","4","Vitality (7★)","4","","","",""
"Core","Biggs","","HP +400","HP +400","Spirit (7★)","4","Dexterity (7★)","4","Vitality (7★)","4","Sparkling (6★)","5","",""
"Core","Biggs","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Biggs I","4"
"Core","Biggs","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Biggs I","4"
"Core","Biggs","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Biggs I","4"
"Core","Biggs","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Biggs I","4"
"Core","Biggs","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Biggs I","4"
"Core","Biggs","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Biggs I","4"
"Core","Biggs","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Biggs I","4"
"Core","Biggs","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Biggs II","4"
"Core","Biggs","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Biggs II","4"
"Core","Biggs","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Biggs II","4"
"Core","Biggs","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Biggs II","4"
"Core","Biggs","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Biggs II","4"
"Core","Biggs","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Biggs II","4"
"Core","Biggs","","HP +1000","HP +1000","Spirit (7★)","10","Dexterity (7★)","10","Vitality (7★)","10","","","Biggs II","10"
"Core","Biggs","","ATK +10","ATK +10","Vitality (6★)","3","","","","","","","",""
