"Realm","Character","Img","Name","Tier","LB Ver","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","Minimum LB Points","Mastery Bonus","Limit Break Bonus","Relic","Name (JP)","ID","Anima","GL","✓"
"VII","Red XIII","","Comet Soar","LBO","","BLK","Single enemy","Magical","120.00","Earth","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Diamant Barrette (VII)","コメットソア","20470016","10","✓","✓"
"VII","Red XIII","","Woven Bond: Red XIII (Earth)","LBC","","BLK","Single enemy","Magical","26.00","Earth, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Earth Chain (max 150, field +0%) or adds 25 to the current Earth Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode: Red XIII] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Crystal Barette (VII)","紡絆・レッドXIII地","20470023","","","✓"
"VII","Yuffie","","Soaring Kunai","LBO","","PHY","Single enemy","Physical","24.00","Water, Earth","2.50","Three single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance, grants [Physical Blink 1] to all allies","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Black Garb (VII)","我流・飛苦無","22040020","10","✓","✓"
"VII","Vincent","","Galian Scratch","LBO","","NAT","Single enemy","Hybrid","","Fire","2.50","Four single hybrid ranged attacks (1.00 or 3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF and RES, 100% additional critical chance","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Outsider (VII)","ガリアンスクラッチ","22170015","10","✓","✓"
"VII","Vincent","","Woven Bond: Vincent (Fire)","LBC","","NAT","Single enemy","Hybrid","","Fire, NE","0.01","Ten single ranged hybrid attacks (0.80 or 2.60 each) capped at 19999, activates Fire Chain (max 150, field +0%) or adds 25 to the current Fire Chain maximum limit, grants [Chain Force Mode: Vincent] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Blow Machine Gun (CC) (VII)","紡絆・ヴィンセント炎","22170023","","","✓"
"VII","Vincent","","Guardian Chaos","LBGS","","NAT","Self","","","","0.01","Summons Chaos for 5 seconds, grants [Protect], [Shell], [Haste], [Instant ATB 1], [DEF and RES +200% (25s)], [Last Stand], [Attach Fire 3 with Stacking] and [Damage Cap +20000] to Chaos","N","Self","250","","Guardian Summon Damage Up, Damage Reduction Barrier","Sadalmelik (VII)","Gカオス","22170024","","","✓"
"VII","Zack","","Woven Bond: Zack (Wind)","LBC","","PHY","Single enemy","Physical","8.00","Wind, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Wind Chain (max 150, field +0%) or adds 25 to the current Wind Chain maximum limit, grants [Chain Force Mode: Zack (Wind)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Falchion (CC) (VII)","紡絆・ザックス風","20660023","","","✓"
"VII","Zack","","Woven Bond: Zack","LBC","","PHY","Single enemy","Physical","","Wind, NE","0.01","10 single-target Wind/NE physical attacks at Cap Break Level 1, activates Wind Chain (150 or +25), Chain Force Mode & Instant ATB 1 to user
Chain Force Mode: After using Wind abilities, chases with 6 single-target Wind/NE physical attacks (max 2 chases)","N","Lowest HP% enemy","250","","","Apocalypse (CC) (VII)","紡絆・ザックス","20660027","","",""
"VII","Sephiroth","","Dark Illumination","LBO","","PHY","Single enemy","Physical","40.00","Dark","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Blessed Armlet (VII)","闇照","20250027","10","✓","✓"
"VII","Sephiroth","","Woven Bond: Sephiroth (Dark)","LBC","","PHY","Single enemy","Physical","8.00","Dark, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Dark Chain (max 150, field +0%) or adds 25 to the current Dark Chain maximum limit, grants [Chain Force Mode: Sephiroth (Dark)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Gigas Chestplate (VII)","紡絆・セフィロス闇","20250035","","✓","✓"
"VII","Cid (VII)","","Woven Bond: Cid (VII)","LBC","","PHY","Single enemy","Physical","8.00","Wind, NE","0.01","Ten single ranged jump attacks (0.80 each) capped at 19999, activates VII Chain (max 150, field +0%) or adds 25 to the current VII Chain maximum limit, grants [Chain Force Mode: Cid (VII)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Dragon Whisker (VII)","紡絆・シド(VII)","20830014","","","✓"
"VII","Reno","","Pyramid Tetra","LBO","","NAT","Single enemy","Hybrid","","Lightning","2.50","Four single hybrid ranged attacks (1.00 or 3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF and RES, 100% additional critical chance, causes [ATK and MAG -50% (8s)], grants [50% Damage Reduction Barrier 1] to all allies","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Modified Full Metal Staff (VII)","ピラミッド・テトラ","20920011","10","✓","✓"
"VII","Reno","","Woven Bond: Reno (Lightning)","LBC","","NAT","Single enemy","Hybrid","","Lightning, NE","0.01","10 single-target Lightning/NE ranged hybrid attacks at Cap Break Level 1, activates Lightning Chain (150 or +25), Chain Force Mode & Instant ATB 1 to user
Chain Force Mode: After using a Lightning ability, grants Lightning Damage +20% for 5 seconds to party (max 1 chase)","N","Lowest HP% enemy","250","","","Spike Rod (VII)","紡絆・レノ雷","20920030","","",""
"VII","Angeal","","True Unleashed Wrath","LBO","","PHY","Single enemy","Physical","32.00","Wind, Holy","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Soul Sabre (CC) (VII)","真・憤怒の解放","22500011","10","✓","✓"
"VII","Rufus","","Woven Bond: Rufus","LBC","","PHY","Single enemy","Physical","8.00","Dark, NE","0.01","Ten single ranged attacks (0.80 each) capped at 19999, activates VII Chain (max 150, field +0%) or adds 25 to the current VII Chain maximum limit, grants [Chain Force Mode: Rufus] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Valiant R (VII)","紡絆・ルーファウス","22630013","","","✓"
"VII","Rufus","","Woven Bond: Rufus (Dark)","LBC","","PHY","Single enemy","Physical","8.00","Dark, NE","0.01","Ten single ranged attacks (0.80 each) capped at 19999, activates Dark Chain (max 150, field +0%) or adds 25 to the current Dark Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode: Rufus (Dark)] and [Instant ATB 1] to the user
","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Procyon (VII)","紡絆・ルーファウス闇","22630020","","","✓"
"VII","Shelke","","Transparent Flash","LBO","","PHY","Single enemy","Physical","32.00","Lightning","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance, grants [50% Damage Reduction Barrier 2] to all allies","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Dragoon Lance (DoC) (VII)","無式・彩雷","22820010","10","✓","✓"
"VII","Shelke","","Woven Bond: Shelke (Lightning)","LBC","","PHY","Single enemy","Physical","8.00","Lightning, NE","0.01","Ten single attacks (0.80) capped at 19999, activates Lightning Chain (max 150, field +0%) or adds 25 to the current Lightning Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode: Shelke] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Luin (DoC) (VII)","紡絆・シェルク雷","22820020","","","✓"
"VII","Rude","","Woven Bond: Rude","LBC","","NAT","Single enemy","Hybrid","","Earth/Lightning, NE","0.01","Ten single ranged hybrid attacks (0.80 or 2.60 each) capped at 19999, activates VII Chain (max 150, field +0%) or adds 25 to the current VII Chain maximum limit, grants [Chain Force Mode: Rude] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Titan's Gloves (VII)","紡絆・ルード","23010019","","","✓"
"VII","Elena","","Woven Bond: Elena","LBC","","PHY","Single enemy","Physical","8.00","Fire, Lightning, NE","0.01","Ten single ranged attacks (0.80 each) capped at 19999, activates VII Chain (max 150, field +0%) or adds 25 to the current VII Chain maximum limit, grants [Chain Force Mode: Elena] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Beret (VII)","紡絆・イリーナ","23020020","","","✓"
"VII","Genesis","","Light of Doom","LBO","","PHY","Single enemy","Physical","40.00","Fire","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Deathbringer (CC) (VII)","終焉の光","23470008","10","✓","✓"
"VII","Genesis","","Woven Bond: Genesis (Fire)","LBC","","PHY","Single enemy","Physical","8.00","Fire, NE","0.01","Ten single attacks (0.80) capped at 19999, activates Fire Chain (max 150, field +0%) or adds 25 to the current Fire Chain maximum limit, grants [Chain Force Mode: Genesis] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Brave Suit (CC) (VII)","紡絆・ジェネシス炎","23470015","","","✓"
"VIII","Squall","","Renzokuken Iceflame","LBO","","PHY","Single enemy","Physical","32.00","Ice, Fire","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Stoneblade (VIII)","連続剣・IF","20350033","","✓","✓"
"VIII","Squall","","Woven Bond: Squall","LBC","","PHY","Single enemy","Physical","8.00","Ice, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates VIII Chain (max 150, field +0%) or adds 25 to the current VIII Chain maximum limit, grants [Chain Force Mode: Squall] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Laevateinn (VIII)","紡絆・スコール","20350040","","✓","✓"
"VIII","Squall","","Woven Bond: Squall (Ice)","LBC","","PHY","Single enemy","Physical","8.00","Ice, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Ice Chain (max 150, field +0%) or adds 25 to the current Ice Chain maximum limit, grants [Chain Force Mode: Squall (Ice)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Plate Mail (VIII)","紡絆・スコール氷","20350050","","","✓"
"VIII","Rinoa","","Angel Wing Permafrost","LBO","","BLK","Single enemy","Magical","96.00","Ice, Earth","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Brynhildr (VIII)","ヴァリー・氷丘","20300022","10","✓","✓"
"VIII","Rinoa","","Woven Bond: Rinoa","LBC","","BLK","Single enemy","Magical","26.00","Ice, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates VIII Chain (max 150, field +0%) or adds 25 to the current VIII Chain maximum limit, grants [Chain Force Mode: Rinoa] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Tezcatlipoca (VIII)","紡絆・リノア","20300032","","✓","✓"
"VIII","Rinoa","","Woven Bond: Rinoa (Ice)","LBC","","BLK","Single enemy","Magical","26.00","Ice, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Ice Chain (max 150, field +0%) or adds 25 to the current Ice Chain maximum limit, grants [Chain Force Mode: Rinoa (Ice)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Chakram (VIII)","紡絆・リノア氷","20300046","","✓","✓"
"VIII","Quistis","","Guardian Doomtrain","LBGS","","NAT","Self","","","","0.01","Summons Doomtrain for 5 seconds, grants [Protect], [Shell], [Haste], [Instant ATB 1], [DEF and RES +200% (25s)], [Attach Poison 3 with Stacking] and [Damage Cap +20000] to Doomtrain","N","Self","250","","Guardian Summon Damage Up, Damage Reduction Barrier","Poison Whip (VIII)","Gグラシャラボラス","20500017","","✓","✓"
"VIII","Quistis","","Woven Bond: Quistis (Poison)","LBC","","BLK","Single enemy","Magical","26.00","Poison, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Poison Chain (max 150, field +0%) or adds 25 to the current Poison Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode: Quistis (Poison)] and [Instant ATB 1] to the user","N","Self","250","","Limit Break Damage Up, Quick Cast 1","Thorn Lash (VIII)","紡絆・キスティス毒","20500031","","","✓"
"VIII","Quistis","","Woven Bond: Quistis (Water)","LBC","","BLK","Single enemy","Magical","","Water, NE","0.01","10 single-target Water/NE magic attacks at Cap Break Level 1, activates Water Chain (150 or +25) & +10 Chain Count to all targets, Chain Force Mode & Instant ATB 1 to user
Chain Force Mode: After using a Water ability, grants Instant Cast 1 to party (max 1 chase)","N","Lowest HP% enemy","250","","","Rubber Suit (VIII)","紡絆・キスティス水","20500034","","",""
"VIII","Zell","","Dolphin Kick","LBO","","PHY","Single enemy","Physical","40.00","Fire","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Red Glove (VIII)","ドルフィンキック","20670020","","✓","✓"
"VIII","Zell","","Woven Bond: Zell (Fire)","LBC","","PHY","Single enemy","Physical","8.00","Fire, NE","0.01","10 single-target physical attacks (0.80 each) capped at 19999, activates Fire Chain (150 or +25), Chain Force Mode & Instant ATB 1 to user
Chain Force Mode: After using Fire abilities, chases with 4 single-target Fire/NE physical attacks (0.32 each) (max 3 chases)","N","Lowest HP% enemy","250","","","Hell Claws (VIII)","紡絆・ゼル炎","20670027","","",""
"VIII","Selphie","","Woven Bond: Selphie","LBC","","WHT","Single enemy","Magical","27.00","Holy, NE","0.01","Ten single attacks (2.70 each) capped at 19999, activates VIII Chain (max 150, field +0%) or adds 25 to the current VIII Chain maximum limit, grants [Chain Force Mode: Selphie] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Light Nunchaku (VIII)","紡絆・セルフィ","20510020","","","✓"
"VIII","Irvine","","Woven Bond: Irvine (Fire)","LBC","","PHY","Single enemy","Physical","8.00","Fire, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Fire Chain (max 150, field +0%) or adds 25 to the current Fire Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode: Irvine] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Brimstone Armlet (VIII)","紡絆・アーヴァイン炎","20410018","","","✓"
"VIII","Irvine","","Boosted Snipe","LBO","","PHY","Single enemy","Physical","40.00","Fire","2.50","Five single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Adaman Hat (VIII)","バーストスナイプ","20410022","","","✓"
"VIII","Seifer","","Woven Bond: Seifer (Dark)","LBC","","PHY","Single enemy","Physical","8.00","Dark","2.50","Ten single attacks (0.80 each) capped at 19999, activates Dark Chain (max 150, field +0%) or adds 25 to the current Dark Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode: Seifer (Dark)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Rune Blade (VIII)","紡絆・サイファー闇","20820025","","","✓"
"VIII","Seifer","","Forbidden Hellfire Strike","LBO","","PHY","Single enemy","Physical","32.00","Dark, Fire","2.50","Four single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Cross Claymore (VIII)","禁忌・獄炎剣","20820026","","","✓"
"VIII","Laguna","","Tactical Frost","LBO","","PHY","Single enemy","Physical","40.00","Ice","2.50","Five single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Spica (VIII)","タクティカルフリーズ","22100018","10","✓","✓"
"VIII","Laguna","","Woven Bond: Laguna (Ice)","LBC","","PHY","Single enemy","Physical","8.00","Ice, NE","0.01","Ten single ranged attacks (0.80 each) capped at 19999, activates Ice Chain (max 150, field +0%) or adds 25 to the current Ice Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode: Laguna (Ice)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Sadalmeliks (VIII)","紡絆・ラグナ氷","22100024","","✓","✓"
"VIII","Edea","","Frost Flash (Edea)","LBG","","BLK","Single enemy","Magical","7.50","Ice, NE","0.01","One single attack (7.50) capped at 99999, grants [Limit Break Gauge +250] to the user","N","Lowest HP% enemy","0","MAG +10","Ice Damage Up","Thornlet (VIII)","氷閃【イデア】","22200015","","✓","✓"
"VIII","Edea","","Woven Bond: Edea (Ice)","LBC","","BLK","Single enemy","Magical","26.00","Ice, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Ice Chain (max 150, field +0%) or adds 25 to the current Ice Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode: Edea (Ice)] and [Instant ATB 1] to the user","N","Self","250","","Limit Break Damage Up, Quick Cast 1","Rune Rod (VIII)","紡絆・イデア氷","22200025","","✓",""
"VIII","Raijin","","Raijin Destruction Special","LBO","","PHY","Single enemy","Physical","32.00","Lightning","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance, grants [Dual Blink 1] to all allies","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Mjollnir (VIII)","秘技「壊・雷神飛竜昇」","22610011","","✓","✓"
"VIII","Raijin","","Woven Bond: Raijin (Lightning)","LBC","","PHY","Single enemy","Physical","8.00","Lightning, NE","0.01","Ten single attacks  (0.80 each) capped at 19999, activates Lightning Chain (max 150, field +0%) or adds 25 to the current Lightning Chain maximum limit, grants [Chain Force Mode: Raijin (Lightning)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Thor's Hammer (VIII)","紡絆・雷神雷","22610022","","","✓"
"VIII","Fujin","","Kakeru","LBO","","BLK","Single enemy","Magical","120.00","Wind","2.50","Five single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Urubutsin (VIII)","翔","22600020","","✓","✓"
"VIII","Fujin","","Woven Bond: Fujin (Wind)","LBC","","BLK","Single enemy","Magical","26.00","Wind","0.01","Ten single attacks (2.60 each) capped at 19999, activates Wind Chain (max 150, field +0%) or adds 25 to the current Wind Chain maximum limit, grants [Chain Force Mode: Fujin (Wind)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Ninurta (VIII)","紡絆・風神風翔","22600022","","","✓"
"VIII","Kiros","","Thirst for Life","LBO","","PHY","Single enemy","Physical","32.00","Ice, Dark","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Shadow Maverick (VIII)","飽くなき人生","22990007","10","✓","✓"
"VIII","Kiros","","Woven Bond: Kiros","LBC","","PHY","Single enemy","Physical","","Dark, Ice, NE","0.01","10 single-target Dark/NE or Ice/NE physical attacks at Cap Break Level 1 under En-Dark or En-Ice, activates VIII Chain (150 or +25), Chain Force Mode & Instant ATB 1 to user
Chain Force Mode: After using Dark/Ice abilities, chases with 6 single-target Dark/Ice/NE physical attacks (max 2 chases)","N","Lowest HP% enemy","250","","","Tit-for-Tat (VIII)","紡絆・キロス","22990025","","",""
"VIII","Ward","","Woven Bond: Ward","LBC","","PHY","Single enemy","Physical","8.00","Water, Ice, Earth, NE","0.01","Ten single attacks  (0.80 each) capped at 19999, activates VIII Chain (max 150, field +0%) or adds 25 to the current VIII Chain maximum limit, grants [Chain Force Mode: Ward] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Esthar Guise (VIII)","紡絆・ウォード","23000017","","","✓"
"VIII","Ultimecia","","Wind Raiment (Ultimecia)","LBG","","NAT","All allies","","","","0.01","Grants [Attach Wind]","N","All allies","250","MAG +10","Wind Damage Up","Asura's Rod (VIII)","風装【アルティミシア】","23230016","9","✓","✓"
"VIII","Ultimecia","","Woven Bond: Ultimecia (Wind)","LBC","","BLK","Single enemy","Magical","26.00","Wind, NE","0.01","Ten single attacks (2.60 each) capped at 19999, activates Wind Chain (max 150, field +0%) or adds 25 to the current Wind Chain maximum limit, grants [Chain Force Mode: Ultimecia] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Assault (VIII)","紡絆・アルティミシア風","23230026","","","✓"
"IX","Zidane","","Wind Raiment (Zidane)","LBG","","NAT","All allies","","","","0.01","Grants [Attach Wind]","N","All allies","250","ATK +10","Wind Damage Up","Angel Bless (IX)","風装【ジタン】","20860017","8","✓","✓"
"IX","Zidane","","Blast Flag","LBO","","PHY","Single enemy","Physical","40.00","Wind","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Thief Hat (IX)","ブラストフラッグ","20860022","10","✓","✓"
"IX","Zidane","","Woven Bond: Zidane (Wind)","LBC","","PHY","Single enemy","Physical","","Wind, NE","0.01","10 single-target Wind/NE physical attacks at Cap Break Level 1, activates Wind Chain (150 or +25), Chain Force Mode & Instant ATB 1 to user
Chain Force Mode: After using a Wind ability, chases with 16 single-target Wind/NE physical attacks (max 1 chase)","N","Lowest HP% enemy","250","","","Chicken Knife (IX)","紡絆・ジタン風","20860034","","",""
"IX","Zidane","","Woven Bond: Zidane","LBC","","PHY","Single enemy","Physical","8.00","Wind, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates IX Chain (max 150, field +0%) or adds 25 to the current IX Chain maximum limit, grants [Chain Force Mode: Zidane] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Lufenian Dagger (IX)","紡絆・ジタン","20860028","","","✓"
"IX","Garnet","","Truespark Anthem","LBO","","SUM","Single enemy","Magical","96.00","Lightning","2.50","Four single attacks (3.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores RES, grants [HP Stock (3000)] to all allies","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Crown Scepter (IX)","清廉なる奔雷の歌","20360017","10","✓","✓"
