"Character","Realm","Season","Group","Set Bonus (2 Piece)","Set Bonus (3 Piece)"
"Tifa","VII","1","A","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Red XIII","VII","1","A","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Rude","VII","1","A","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Cid (VII)","VII","1","B","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Barret","VII","2","E","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Fire 10% (15s)] after the first Machinist ability used"
"Sephiroth","VII","2","E","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Vincent","VII","2","E","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Fire 10% (15s)] after the first Machinist ability used"
"Shelke","VII","2","G","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Lightning 10% (15s)] after the first Celerity or Support ability used"
"Angeal","VII","2","H","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Reno","VII","3","K","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Lightning 10% (15s)] after the first Machinist ability used"
"Cloud","VII","3","L","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Zack","VII","3","L","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Aerith","VII","3","M","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [White Magic Heals +30% Boost 3] at the beginning of the battle"
"Yuffie","VII","3","M","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Cait Sith","VII","3","M","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Rufus","VII","3","M","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Dark 10% (15s)] after the first Darkness or Sharpshooter ability used"
"Genesis","VII","3","M","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Elena","VII","3","M","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Fire 10% (15s)] and [Imperil Lightning 10% (15s)] after the first Machinist or Sharpshooter ability used"
"Rinoa","VIII","1","A","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Edea","VIII","1","C","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Ward","VIII","2","F","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Seifer","VIII","3","I","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Raijin","VIII","3","K","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Fujin","VIII","3","L","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Zell","VIII","4","N","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Quistis","VIII","4","O","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Squall","VIII","4","Q","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Laguna","VIII","4","Q","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Ice 10% (15s)] after the first Machinist ability used"
"Selphie","VIII","4","Q","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [White Magic Heals +30% Boost 3] at the beginning of the battle"
"Irvine","VIII","5","2","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Fire 10% (15s)] after the first Machinist or Sharpshooter ability used"
"Eiko","IX","1","B","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Freya","IX","1","B","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Marcus","IX","1","B","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Garnet","IX","2","G","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Steiner","IX","2","G","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Beatrix","IX","2","H","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Zidane","IX","4","P","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Vivi","IX","4","P","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Amarant","IX","4","P","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Kuja","IX","4","P","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Quina","IX","4","P","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Earth 10% (15s)], [Imperil Water 10% (15s)] and [Imperil Poison 10% (15s)] after the first Support ability used"
"Braska","X","2","E","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Paine","X","2","F","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Rikku","X","2","F","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Wakka","X","2","F","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Lulu","X","2","F","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Auron","X","4","N","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Tidus","X","5","3","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Kimahri","X","5","3","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Yuna","X","6","1","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Jecht","X","6","1","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Seymour","X","6","1","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Lion","XI","2","F","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Prishe","XI","2","G","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Curilla","XI","2","H","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Lilisette","XI","3","K","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Ayame","XI","4","Q","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Arciela","XI","6","2","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Shantotto","XI","6","2","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Naja","XI","6","2","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Aphmau","XI","6","2","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [White Magic Heals +30% Boost 3] at the beginning of the battle"
"Zeid","XI","6","2","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Fran","XII","1","C","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Ice 10% (15s)] and [Imperil Lightning 10% (15s)] after the first Machinist or Sharpshooter ability used"
"Basch","XII","2","H","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Ashe","XII","3","J","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Reks","XII","3","J","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Penelo","XII","3","J","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [White Magic Heals +30% Boost 3] at the beginning of the battle"
"Larsa","XII","3","J","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [White Magic Heals +30% Boost 3] at the beginning of the battle"
"Gabranth","XII","3","J","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Vayne","XII","3","J","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Balthier","XII","4","N","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Fire 10% (15s)] after the first Machinist ability used"
"Sazh","XIII","2","E","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Fire 10% (15s)], [Imperil Ice 10% (15s)] and [Imperil Lightning 10% (15s)] after the first Machinist ability used"
"Hope","XIII","2","H","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Cid Raines","XIII","2","H","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Nabaat","XIII","3","I","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Lightning","XIII","3","K","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Snow","XIII","4","Q","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Serah","XIII","4","Q","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Vanille","XIII","4","R","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [White Magic Heals +30% Boost 3] at the beginning of the battle"
"Cid (XIV)","XIV","1","A","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Fire 10% (15s)], [Imperil Earth 10% (15s)], [Imperil Wind 10% (15s)] and [Imperil Poison 10% (15s)] after the first Machinist ability used"
"Alisaie","XIV","3","L","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Papalymo","XIV","4","N","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Ysayle","XIV","4","Q","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Thancred","XIV","4","O","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Alphinaud","XIV","5","4","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Yda","XIV","5","4","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Haurchefant","XIV","5","4","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Y'shtola","XIV","5","4","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Minfilia","XIV","5","4","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Estinien","XIV","5","4","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Ardyn","XV","3","I","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Aranea","XV","3","K","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Prompto","XV","3","K","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Lightning 10% (15s)] after the first Machinist ability used"
"Lunafreya","XV","5","3","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Ravus","XV","3","K","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Gladiolus","XV","4","R","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Noctis","XV","5","2","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Delita","FFT","4","N","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Ovelia","FFT","4","O","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [White Magic Heals +30% Boost 3] at the beginning of the battle"
"Meliadoul","FFT","4","R","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Earth 10% (15s)] and [Imperil Holy 10% (15s)] after the first Knight ability used"
"Marche","FFT","5","3","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Orran","FFT","5","1","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Orlandeau","FFT","5","1","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Gaffgarion","FFT","5","1","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Marach","FFT","5","1","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Ramza","FFT","6","1","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Holy 10% (15s)] after the first Knight ability used"
"Agrias","FFT","6","1","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Rapha","FFT","6","1","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Montblanc","FFT","5","5","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Cinque","Type-0","1","A","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Trey","Type-0","1","C","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Seven","Type-0","1","C","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Eight","Type-0","1","C","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"King","Type-0","2","G","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Lightning 10% (15s)] after the first Machinist ability used"
"Queen","Type-0","2","G","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Sice","Type-0","3","I","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Nine","Type-0","3","L","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Jack","Type-0","4","N","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Machina","Type-0","4","R","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Rem","Type-0","5","3","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Kurasame","Type-0","5","3","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Ace","Type-0","6","1","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Deuce","Type-0","6","1","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [White Magic Heals +30% Boost 3] at the beginning of the battle"
"Cater","Type-0","6","1","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Fire 10% (15s)], [Imperil Ice 10% (15s)] and [Imperil Lightning 10% (15s)] after the first Machinist ability used"
"Serafie","Beyond","1","B","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Enna Kros","Beyond","4","R","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
