Realm,Character,Img,Sphere,S. Lv 1,S. Lv 2,S. Lv 3,S. Lv 4,S. Lv 5,Requisites,Mote 1 Required,,,,,,Mote 2 Required,,,,,,Mote 3 Required,,,,,,Mote 4 Required,,,,,
Core,Tyro,,Devout,MND +3,HP +100,RES +3,MND +6,WHT heals +6%,White Mage,Spirit (4★),4,7,10,13,16,Wisdom (4★),1,3,5,7,9,,,,,,,,,,,,
Core,Tyro,,Sage,MND +6,MAG +6,Sleep Imm. (minor),Silence Imm. (minor),Weakness dam. +9%,"Magus, Devout",Spirit (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
Core,Tyro,,Lifebane,Monk 5★ -> 6★,Lifebane x1,Monk dam. +3%,-,-,Monk (5★) x1,Monk (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Tyro,,Snowspell Strike,Spellblade 5★ -> 6★,Snowspell Strike x1,Spellblade dam. +3%,-,-,Spellblade (5★) x1,Spellblade (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Tyro,,Demonsblood,Samurai 5★ -> 6★,Demonsblood x1,Samurai dam. +3%,-,-,Samurai (5★) x1,Samurai (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Tyro,,Mug Bloodlust,Thief 5★ -> 6★,Mug Bloodlust x1,Thief dam. +3%,-,-,Thief (5★) x1,Thief (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Tyro,,Stitch in Time,Ninja 5★ -> 6★,Stitch in Time x1,Ninja dam. +3%,-,-,Ninja (5★) x1,Ninja (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Tyro,,Aegis Strike,Knight 5★ -> 6★,Aegis Strike x1,Knight dam. +3%,-,-,Knight (5★) x1,Knight (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Tyro,,Penalty Snipe,Machinist 5★ -> 6★,Penalty Snipe x1,Machinist dam. +3%,-,-,Machinist (5★) x1,Machinist (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Tyro,,Sky High,Dragoon 5★ -> 6★,Sky High x1,Dragoon dam. +3%,-,-,Dragoon (5★) x1,Dragoon (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Tyro,,Allegro con Moto,Bard 5★ -> 6★,Allegro con Moto x1,Weakness dam. +3%,-,-,Bard (5★) x1,Bard (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Monk,,Lifebane,Monk 5★ -> 6★,Lifebane x1,Monk dam. +3%,-,-,Monk (5★) x1,Monk (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Knight,,Aegis Strike,Knight 5★ -> 6★,Aegis Strike x1,Knight dam. +3%,-,-,Knight (5★) x1,Knight (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Samurai,,Demonsblood,Samurai 5★ -> 6★,Demonsblood x1,Samurai dam. +3%,-,-,Samurai (5★) x1,Samurai (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Dragoon,,Sky High,Dragoon 5★ -> 6★,Sky High x1,Dragoon dam. +3%,-,-,Dragoon (5★) x1,Dragoon (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Spellblade,,Snowspell Strike,Spellblade 5★ -> 6★,Snowspell Strike x1,Spellblade dam. +3%,-,-,Spellblade (5★) x1,Spellblade (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Thief (Core),,Mug Bloodlust,Thief 5★ -> 6★,Mug Bloodlust x1,Thief dam. +3%,-,-,Thief (5★) x1,Thief (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Bard,,Allegro con Moto,Bard 5★ -> 6★,Allegro con Moto x1,Weakness dam. +3%,-,-,Bard (5★) x1,Bard (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Ninja,,Stitch in Time,Ninja 5★ -> 6★,Stitch in Time x1,Ninja dam. +3%,-,-,Ninja (5★) x1,Ninja (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Elarra,,White Mage,MND +1,HP +40,RES +1,MND +2,WHT heals +3%,-,Spirit (3★),4,7,10,13,16,Wisdom (3★),1,3,5,7,9,,,,,,,,,,,,
Core,Elarra,,Dancer,MND +1,MAG +1,RES +1,HP +55,MAG +2,-,Spirit (3★),2,4,6,8,10,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,,,,,,
Core,Elarra,,Black Mage,MAG +1,HP +40,RES +1,MAG +2,MAG +2,-,Spirit (3★),1,3,5,7,9,Wisdom (3★),4,7,10,13,16,,,,,,,,,,,,
Core,Elarra,,Devout,MND +3,HP +100,RES +3,MND +6,WHT heals +6%,White Mage,Spirit (4★),4,7,10,13,16,Wisdom (4★),1,3,5,7,9,,,,,,,,,,,,
Core,Elarra,,Illusionist,MND +3,RES +3,HP +150,MND +5,Silence Imm. (minor),"White Mage, Dancer",Spirit (4★),2,4,6,8,10,Dexterity (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
Core,Elarra,,Summoner,MND +3,MAG +3,HP +120,MAG +6,MND +6,"Dancer, Black Mage",Spirit (4★),2,4,6,8,10,Dexterity (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
Core,Elarra,,Allegro con Moto,Bard 5★ -> 6★,Allegro con Moto x1,WHT heals +3%,-,-,Bard (5★) x1,Bard (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Biggs,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
Core,Biggs,,Knight,DEF +1,ATK +1,HP +100,DEF +1,DEF +2,-,Vitality (3★),3,6,9,12,15,Bravery (3★),2,4,6,8,10,,,,,,,,,,,,
Core,Biggs,,Monk,DEF +1,HP +70,ATK +1,ATK +2,HP +80,-,Dexterity (3★),1,2,3,4,5,Vitality (3★),2,4,6,8,10,Bravery (3★),2,4,6,8,10,,,,,,
Core,Biggs,,Berserker,ATK +2,ATK +2,ATK +3,ATK +3,Heavy dam. +6%,Warrior,Vitality (4★),5,10,15,20,25,,,,,,,,,,,,,,,,,,
Core,Biggs,,Paladin,DEF +3,ATK +3,DEF +4,HP +250,Knight dam. +6%,"Warrior, Knight",Spirit (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
Core,Biggs,,Spellblade,ATK +3,DEF +3,HP +170,ATK +6,Spellblade 3★ -> 5★,"Knight, Monk",Dexterity (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
Core,Biggs,,Aegis Strike,Knight 5★ -> 6★,Aegis Strike x1,Knight dam. +3%,-,-,Knight (5★) x1,Knight (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Wedge,,Black Mage,MAG +1,HP +40,RES +1,MAG +2,BLK dam. +3%,-,Spirit (3★),1,3,5,7,9,Wisdom (3★),4,7,10,13,16,,,,,,,,,,,,
Core,Wedge,,Red Mage,MAG +1,DEF +1,MAG +1,HP +60,ATK +2,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
Core,Wedge,,Thief,ATK +1,DEF +1,RES +1,HP +55,ATK +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
Core,Wedge,,Magus,MAG +3,HP +100,RES +3,MAG +6,BLK dam. +6%,Black Mage,Spirit (4★),1,3,5,7,9,Wisdom (4★),4,7,10,13,16,,,,,,,,,,,,
Core,Wedge,,Blue Mage,ATK +2,DEF +2,MAG +4,HP +120,MAG +6,"Black Mage, Red Mage",Spirit (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
Core,Wedge,,Time Mage,DEF +2,RES +2,HP +120,ATK +5,Black Magic 3★ -> 5★,"Red Mage, Thief",Spirit (4★),2,4,6,8,10,Dexterity (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
Core,Wedge,,Mug Bloodlust,Thief 5★ -> 6★,Mug Bloodlust x1,Thief dam. +3%,-,-,Thief (5★) x1,Thief (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
Core,Dr. Mog,,Black Mage,MAG +1,HP +40,RES +1,MAG +2,BLK dam. +3%,-,Spirit (3★),1,3,5,7,9,Wisdom (3★),4,7,10,13,16,,,,,,,,,,,,
Core,Dr. Mog,,Red Mage,MAG +1,MND +1,MAG +1,HP +60,SUM dam. +3%,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
Core,Dr. Mog,,White Mage,MND +1,HP +40,RES +1,MND +2,MAG +2,-,Spirit (3★),4,7,10,13,16,Wisdom (3★),1,3,5,7,9,,,,,,,,,,,,
Core,Dr. Mog,,Magus,MAG +3,HP +100,MAG +3,MAG +6,BLK dam. +6%,Black Mage,Spirit (4★),1,3,5,7,9,Wisdom (4★),4,7,10,13,16,,,,,,,,,,,,
Core,Dr. Mog,,Sage,MND +3,MAG +3,MND +6,MAG +6,Silence Imm. (minor),"Black Mage, Red Mage",Spirit (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
Core,Dr. Mog,,Devout,MND +3,HP +100,RES +3,MND +5,WHT heals +6%,"Red Mage, White Mage",Spirit (4★),4,7,10,13,16,Wisdom (4★),1,3,5,7,9,,,,,,,,,,,,
Core,Shadowsmith,,Black Mage,MAG +1,HP +40,RES +1,MAG +2,BLK dam. +3%,-,Spirit (3★),1,3,5,7,9,Wisdom (3★),4,7,10,13,16,,,,,,,,,,,,
Core,Shadowsmith,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
Core,Shadowsmith,,Red Mage,MND +1,DEF +1,MAG +1,HP +60,ATK +2,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
Core,Shadowsmith,,Magus,MAG +3,HP +100,RES +3,MAG +6,BLK dam. +6%,Black Mage,Spirit (4★),1,3,5,7,9,Wisdom (4★),4,7,10,13,16,,,,,,,,,,,,
Core,Shadowsmith,,Summoner,MND +3,MAG +3,HP +120,MAG +6,SUM dam. +6%,"Black Mage, Red Mage",Spirit (4★),2,4,6,8,10,Dexterity (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
Core,Shadowsmith,,Spellblade,ATK +3,DEF +3,HP +170,ATK +6,Spellblade dam. +6%,"Warrior, Red Mage",Dexterity (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
Core,Shadowsmith,,Snowspell Strike,Spellblade 5★ -> 6★,Snowspell Strike x1,Spellblade dam. +3%,-,-,Spellblade (5★) x1,Spellblade (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
I,Warrior of Light,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
I,Warrior of Light,,Monk,DEF +1,RES +1,ATK +1,ATK +2,HP +80,-,Dexterity (3★),1,2,3,4,5,Vitality (3★),2,4,6,8,10,Bravery (3★),2,4,6,8,10,,,,,,
I,Warrior of Light,,Thief,RES +1,DEF +1,ATK +1,HP +55,ATK +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
I,Warrior of Light,,Knight,DEF +3,ATK +3,DEF +5,HP +250,Knight dam. +6%,Warrior,Spirit (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
I,Warrior of Light,,Master,ATK +3,HP +60,DEF +4,ATK +5,HP +180,Monk,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
I,Warrior of Light,,Ninja,DEF +3,HP +160,ATK +6,Enable Thief 3★,Enable Ninja 3★,Thief,Dexterity (4★),2,4,6,8,10,Vitality (4★),2,4,6,8,10,Wisdom (4★),1,2,3,4,5,,,,,,
I,Warrior of Light,,Aegis Strike,Knight 5★ -> 6★,Aegis Strike x1,Knight dam. +3%,-,-,Knight (5★) x1,Knight (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
I,Garland,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
I,Garland,,Red Mage,ATK +1,DEF +1,RES +1,HP +60,ATK +2,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
I,Garland,,Knight,DEF +1,ATK +1,HP +100,DEF +1,DEF +2,-,Vitality (3★),3,6,9,12,15,Bravery (3★),2,4,6,8,10,,,,,,,,,,,,
I,Garland,,Gladiator,DEF +3,HP +200,ATK +5,ATK +6,Sleep Imm. (minor),Warrior,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
I,Garland,,Warmage,ATK +3,HP +180,ATK +5,Darkness dam. +6%,Blind Imm. (minor),"Warrior, Red Mage",Dexterity (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
I,Garland,,Dark Knight,ATK +2,HP +220,ATK +4,DEF +5,Knight dam. +6%,Knight,Dexterity (4★),2,3,5,7,9,Vitality (4★),3,7,10,13,16,,,,,,,,,,,,
I,Sarah,,Bard,RES +1,MND +1,RES +1,HP +55,MND +2,-,Spirit (3★),2,4,6,8,10,Dexterity (3★),2,4,6,8,10,Wisdom (3★),1,2,3,4,5,,,,,,
I,Sarah,,White Mage,MND +1,HP +40,RES +1,MND +2,WHT heals +3%,-,Spirit (3★),4,7,10,13,16,Wisdom (3★),1,3,5,7,9,,,,,,,,,,,,
I,Sarah,,Dancer,MND +1,RES +1,MND +1,HP +55,RES +2,-,Spirit (3★),2,4,6,8,10,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,,,,,,
I,Sarah,,Geomancer,RES +3,MND +3,HP +130,MND +5,Silence Imm. (minor),"Bard, White Mage",Spirit (4★),1,2,3,4,5,Dexterity (4★),2,4,6,8,10,Wisdom (4★),2,4,6,8,10,,,,,,
I,Sarah,,Devout,WHT heals +3%,HP +100,RES +3,MND +5,WHT heals +6%,White Mage,Spirit (4★),4,7,10,13,16,Wisdom (4★),1,3,5,7,9,,,,,,,,,,,,
I,Sarah,,Illusionist,MND +3,RES +3,HP +130,MND +5,RES +6,"White Mage, Dancer",Spirit (4★),2,4,6,8,10,Dexterity (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
I,Sarah,,Allegro con Moto,Bard 5★ -> 6★,Allegro con Moto x1,WHT heals +3%,-,-,Bard (5★) x1,Bard (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
I,Wol,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
I,Wol,,Ranger,ATK +1,DEF +1,RES +1,HP +55,ATK +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Bravery (3★),2,4,6,8,10,,,,,,
I,Wol,,Thief,ATK +1,DEF +1,RES +1,HP +60,ATK +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
I,Wol,,Dragoon,ATK +3,DEF +4,HP +220,ATK +5,Dragoon 3★ -> 4★,Warrior,Dexterity (4★),2,4,6,8,10,Vitality (4★),2,4,6,8,10,Bravery (4★),1,2,3,4,5,,,,,,
I,Wol,,Cannoneer,ATK +3,DEF +3,HP +160,ATK +6,Sharpshooter dam. +3%,"Warrior, Ranger",Dexterity (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Bravery (4★),2,4,6,8,10,,,,,,
I,Wol,,Ninja,ATK +3,ATK +3,HP +160,Thief 4★ -> 5★,Thief dam. +3%,"Ranger, Thief",Dexterity (4★),2,4,6,8,10,Vitality (4★),2,4,6,8,10,Wisdom (4★),1,2,3,4,5,,,,,,
I,Wol,,Aegis Strike,Knight 5★ -> 6★,Aegis Strike x1,Knight dam. +3%,-,-,Knight (5★) x1,Knight (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
I,Echo,,White Mage,MND +1,HP +40,RES +1,MND +2,WHT heals +3%,-,Spirit (3★),4,7,10,13,16,Wisdom (3★),1,3,5,7,9,,,,,,,,,,,,
I,Echo,,Dancer,MND +1,MAG +1,RES +1,HP +55,MAG +2,-,Spirit (3★),2,4,6,8,10,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,,,,,,
I,Echo,,Black Mage,MAG +1,HP +40,RES +1,MAG +2,BLK dam. +3%,-,Spirit (3★),1,3,5,7,9,Wisdom (3★),4,7,10,13,16,,,,,,,,,,,,
I,Echo,,Devout,MND +3,HP +100,MND +3,MND +6,WHT heals +6%,White Mage,Spirit (4★),4,7,10,13,16,Wisdom (4★),1,3,5,7,9,,,,,,,,,,,,
I,Echo,,Time Mage,MND +3,RES +3,HP +120,MAG +5,MAG +6,"Black Mage, Dancer",Spirit (4★),2,4,6,8,10,Dexterity (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
I,Echo,,Magus,MAG +3,HP +100,MAG +4,MAG +6,BLK dam. +6%,Black Mage,Spirit (4★),1,3,5,7,9,Wisdom (4★),4,7,10,13,16,,,,,,,,,,,,
I,Master,,Monk,DEF +1,RES +1,ATK +1,ATK +2,Monk dam. +3%,-,Dexterity (3★),1,2,3,4,5,Vitality (3★),2,4,6,8,10,Bravery (3★),2,4,6,8,10,,,,,,
I,Master,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
I,Master,,Ranger,RES +1,DEF +1,RES +1,HP +60,ATK +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Bravery (3★),2,4,6,8,10,,,,,,
I,Master,,Master,Monk dam. +3%,ATK +4,ATK +5,HP +200,Monk dam. +6%,Monk,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
I,Master,,Berserker,ATK +2,ATK +2,ATK +3,ATK +3,ATK +5,Warrior,Vitality (4★),5,10,15,20,25,,,,,,,,,,,,,,,,,,
I,Master,,Gladiator,ATK +3,DEF +3,DEF +4,ATK +4,HP +230,"Warrior, Ranger",Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
I,Master,,Lifebane,Monk 5★ -> 6★,Lifebane x1,Monk dam. +3%,-,-,Monk (5★) x1,Monk (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
I,Matoya,,White Mage,MND +1,HP +40,RES +1,MND +2,WHT heals +3%,-,Spirit (3★),4,7,10,13,16,Wisdom (3★),1,3,5,7,9,,,,,,,,,,,,
I,Matoya,,Red Mage,MND +1,RES +1,MAG +1,HP +60,MAG +2,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
I,Matoya,,Black Mage,MAG +1,HP +40,RES +1,MAG +2,BLK dam. +3%,-,Spirit (3★),1,3,5,7,9,Wisdom (3★),4,7,10,13,16,,,,,,,,,,,,
I,Matoya,,Devout,MND +3,HP +100,RES +3,MND +6,WHT heals +6%,White Mage,Spirit (4★),4,7,10,13,16,Wisdom (4★),1,3,5,7,9,,,,,,,,,,,,
I,Matoya,,Sage,MND +3,MAG +3,MND +6,MAG +6,Silence Imm. (minor),"White Mage, Black Mage",Spirit (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
I,Matoya,,Magus,MAG +3,HP +100,RES +3,MAG +6,BLK dam. +6%,Black Mage,Spirit (4★),1,3,5,7,9,Wisdom (4★),4,7,10,13,16,,,,,,,,,,,,
I,Meia,,Red Mage,MAG +1,DEF +1,MAG +1,HP +60,DEF +2,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
I,Meia,,Black Mage,RES +1,HP +40,RES +1,MAG +2,BLK dam. +3%,-,Spirit (3★),1,3,5,7,9,Wisdom (3★),4,7,10,13,16,,,,,,,,,,,,
I,Meia,,Dancer,RES +1,MAG +1,RES +1,HP +55,MAG +2,-,Spirit (3★),2,4,6,8,10,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,,,,,,
I,Meia,,Summoner,RES +3,MAG +3,HP +120,MAG +6,SUM dam. +6%,Red Mage,Spirit (4★),2,4,6,8,10,Dexterity (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
I,Meia,,Magus,MAG +3,HP +100,RES +3,MAG +6,Witch dam. +6%,"Red Mage, Black Mage",Spirit (4★),1,3,5,7,9,Wisdom (4★),4,7,10,13,16,,,,,,,,,,,,
I,Meia,,Blue Mage,RES +2,MAG +2,MAG +3,HP +120,RES +6,"Black Mage, Dancer",Spirit (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
I,Thief (I),,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
I,Thief (I),,Thief,ATK +1,DEF +1,ATK +1,HP +55,ATK +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
I,Thief (I),,Ranger,ATK +1,DEF +1,ATK +1,HP +60,RES +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Bravery (3★),2,4,6,8,10,,,,,,
I,Thief (I),,Gladiator,ATK +3,DEF +3,HP +200,ATK +4,ATK +5,Warrior,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
I,Thief (I),,Ninja,Thief dam. +3%,RES +3,HP +160,ATK +6,Thief dam. +6%,"Warrior, Thief",Dexterity (4★),2,4,6,8,10,Vitality (4★),2,4,6,8,10,Wisdom (4★),1,2,3,4,5,,,,,,
I,Thief (I),,Viking,Dagger dam. +3%,DEF +3,DEF +4,HP +230,DEF +6,"Thief, Ranger",Vitality (4★),3,7,10,13,16,Bravery (4★),2,3,5,7,9,,,,,,,,,,,,
I,Thief (I),,Mug Bloodlust,Thief 5★ -> 6★,Mug Bloodlust x1,Thief dam. +3%,-,-,Thief (5★) x1,Thief (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
II,Firion,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
II,Firion,,Red Mage,ATK +1,DEF +1,RES +1,HP +60,ATK +2,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
II,Firion,,Monk,DEF +1,RES +1,ATK +1,ATK +2,HP +80,-,Dexterity (3★),1,2,3,4,5,Vitality (3★),2,4,6,8,10,Bravery (3★),2,4,6,8,10,,,,,,
II,Firion,,Gladiator,ATK +3,DEF +3,HP +200,ATK +5,Support 3★ -> 4★,Warrior,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
II,Firion,,Spellblade,ATK +3,DEF +3,HP +170,ATK +6,Enable Spellblade 3★,"Warrior, Red Mage",Dexterity (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
II,Firion,,Master,RES +3,HP +60,DEF +4,ATK +5,HP +180,Monk,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
II,Firion,,Aegis Strike,Knight 5★ -> 6★,Aegis Strike x1,Knight dam. +3%,-,-,Knight (5★) x1,Knight (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
II,Firion,,Demonsblood,Samurai 5★ -> 6★,Demonsblood x1,Samurai dam. +3%,-,-,Samurai (5★) x1,Samurai (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
II,Maria,,White Mage,MND +1,HP +40,RES +1,MND +1,RES +2,-,Spirit (3★),4,7,10,13,16,Wisdom (3★),1,3,5,7,9,,,,,,,,,,,,
II,Maria,,Black Mage,MAG +1,HP +40,MAG +1,MAG +2,BLK dam. +3%,-,Spirit (3★),1,3,5,7,9,Wisdom (3★),4,7,10,13,16,,,,,,,,,,,,
