"Realm","Character","Img","Name","Tier","SB Ver","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","Points","Mastery Bonus","Honing Effects","Relic","Name (JP)","ID","Anima","GL","✓"
"Core","Tyro","","Divine Veil Grimoire","USB","USB3","NAT","All allies","","","","2.50","Grants [Protect], [Shell], [Haste] and [DEF and RES +200% (25s)] to all allies","N","All allies","500","ATK +10","","Divine Veil Grimoire (Core)","神壁のグリモア","20140011","2","✓","✓"
"Core","Tyro","","Arbiter's Tome","USB","USB4","NAT","All allies","","","","0.01","Grants [Haste] and [50% Critical] to all allies, Grants [High Quick Cast] and [Judge's Apocrypha] to the user","N","All allies","500","ATK +10","","Arbiter's Tome (Core)","禁書「裁定者」","20140014","3","✓","✓"
"Core","Tyro","","Purifying Grimoire","Glint","Glint1","NAT","All allies","","","","0.01","Restores 2000 HP and removes negative effects to all allies","N","All allies","250","ATK +10","","Purifying Grimoire (Core)","浄化のグリモア","20140015","3","✓","✓"
"Core","Tyro","","Link of Light","AOSB","AOSB1","PHY","Single enemy","Physical","15.60","Holy, NE","2.50","Three single ranged attacks (5.20 each) capped at 99999","N","Lowest HP% enemy","750","ATK +10","Damage Up, SB Gauge Down","Lustrous Shield (Core)","リンク・オブ・ライト","20140016","","✓","✓"
"Core","Tyro","","Gigaslash","AOSB","AOSB2","PHY","All enemies","Physical","20.16","Lightning","2.50","Three group ranged attacks (6.72 each) capped at 99999","N","All enemies","750","ATK +10","Damage Up, SB Gauge Down","Erdrick's Sword (Core)","ギガスラッシュ","20140017","","","✓"
"Core","Tyro","","Fantasy Grimoire Vol. I","AASB","AASB1","NAT","All allies","","","","0.01","Grants [50% Critical], [Haste] and [ATK and DEF +30% (25s)] to all allies, Grants [Awoken Keeper Mode] and [Unraveled History Follow-Up] to the user","N","All allies","500","ATK +10","Stat Boon, Damage Reduction Barrier, Extra Usage","Fantasy Grimoire Vol. I (Core)","幻想のグリモア 巻ノ壱","20140018","5","✓","✓"
"Core","Tyro","","Triple Phase","AOSB","AOSB3","PHY","Single enemy","Physical","15.60","Holy, Dark","2.50","Three single attacks (5.20 each) capped at 99999","N","Lowest HP% enemy","750","ATK +10","Damage Up, SB Gauge Down","Mythgraven Blade (Core)","トリプルフェイズ","20140020","","✓","✓"
"Core","Tyro","","Fantasy Grimoire Vol. II","SASB","SASB1","NAT","Self","","","","0.01","Grants [ATK, DEF, MAG, RES and MND +10% (25s)]/[ATK, DEF, MAG, RES and MND +20% (25s)]/[ATK, DEF, MAG, RES and MND +30% (25s)]/[ATK, DEF, MAG, RES and MND +40% (25s)]/[ATK, DEF, MAG, RES and MND +50% (25s)] if 1/2/3/4/5+ allies are alive, [Conditional Attach Element From Party], [Prismatic +50% Boost], [Synchro Mode] and [Damage Cap +10000] to the user","N","Self","500","","Stat Boon, Dual Blink 1","Fantasy Grimoire Vol. II (Core)","幻想のグリモア 巻ノ弐","20140021","10","✓","✓"
"Core","Tyro","","True Sentinel's Grimoire","Glint+","Glint+1","NAT","All allies","","","","0.01","Grants [DEF and RES +200% (25s)] to all allies","N","All allies","0","ATK +5, MAG +5","","True Sentinel's Grimoire (Core)","真・鉄壁のグリモア","20140022","5","✓","✓"
"Core","Tyro","","Our Fantasy Unbound (Engaged)","ADSB","ADSB1","NAT","Self","","","","0.01","Grants [ATK, DEF, MAG, RES and MND +10% (25s)]/[ATK, DEF, MAG, RES and MND +20% (25s)]/[ATK, DEF, MAG, RES and MND +30% (25s)]/[ATK, DEF, MAG, RES and MND +40% (25s)]/[ATK, DEF, MAG, RES and MND +50% (25s)] if 1/2/3/4/5+ allies are alive, [Conditional Attach Element From Party], [Prismatic +50% Boost], [Damage Cap +10000], [Striking Reminiscence Follow-Up], [Our Fantasy Unbound Ability Tracker], [Our Fantasy Unbound Level] and [Arcane Dyad Empowered: Tyro] to the user","N","Self","0","","Stat Boon","Fantastic Compendium (Core)","ボクたちの最終幻想","20140024","10","✓","✓"
"Core","Tyro","","Our Fantasy Unbound","ADSB","ADSB1","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","2.50","Twenty single hybrid ranged attacks (1.00/1.10/1.20 or 3.15/3.50/3.85 each) capped at 9999/19999/29999, followed by one single attack (10.00/11.00/12.00 or 34.60/38.06/41.52) capped at 99999 at Our Fantasy Unbound level 0/1/2, removes Arcane Dyad Empowered: Tyro from the user","N","Lowest HP% enemy","750","","Cast Time Down, SB Gauge Down","Fantastic Compendium (Core)","ボクたちの最終幻想","20140024","10","✓","✓"
"Core","Tyro","","Awoken Arbiter's Apocrypha","DASB","DASB1","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","2.50","Seven single hybrid attacks (0.90 or 3.05 each) capped at 19999, Grants [ATK, DEF, MAG, RES and MND +50% (25s)], [Conditional Attach Element From Party], [Damage Cap +10000], [Dual Awoken Record Keeper Mode I: Tyro] and [Ability Resonance +3% Boost] to the user, Grants [Ability Resonance +2% Boost] to all Core or Beyond allies","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Arbiter's Apocrypha+ (Core)","覚醒禁書「調停者」","20140029","","✓","✓"
"Core","Tyro","","Awoken Arbiter's Apocrypha (Dual Shift)","DASB","DASB1","NAT","Self","","","","0.01","Grants [Instant ATB 1] and [Dual Awoken Record Keeper Mode II: Tyro] to the user, Grants [Weakness +15% Boost 1]/[ATK, DEF, MAG and RES +15% (25s)], [Weakness +50% Boost 1] and [Instant Cast 1] to all allies if there are 0-3/4+ Core or Beyond allies, removes [Dual Awoken Record Keeper Mode I: Tyro]","N","Self","0","","","Arbiter's Apocrypha+ (Core)","覚醒禁書「調停者」","20140029","","✓","✓"
"Core","Tyro","","Bond (Tyro)","CSB+","CSB+1","NAT","All allies","","","","0.01","Activates Core or Beyond Chain (max 150, field +50%), Grants [ATK and MAG +30% (25s)] and [Quick Cast 1] to all allies, Grants [Linked Burst Mode: Core, Beyond] and [Instant Cast 1] to the user","N","All allies","0","","Damage Reduction Barrier, ATB Reduction","Reminiscence Grimoire (Core)","絆【デシ】","20140031","","✓","✓"
"Core","Tyro","","Fantasy Grimoire Vol. III","AASB","AASB2","NAT","All allies","","","","0.01","Grants [ATK, DEF, MAG and RES +30% (25s)] and [High Quick Cast 1] to all allies, Grants [Buff Prismatic 30% (15s)] to all allies if there are 4+ allies with realm synergy, Grants [Awoken Scholar's Calling] to the user, Grants [Apprentice Historian Mode] to the user if there are 4+ allies with realm synergy","N","All allies","500","ATK +10","Stat Boon, Damage Reduction Barrier, Extra Usage","Fantasy Grimoire Vol. III (Core)","幻想のグリモア 巻ノ参","20140032","","✓","✓"
"Core","Tyro","","Swift Flash (Tyro)","LBG","LBG1","NAT","All allies","","","","0.01","Grants [Quick Cast 1], grants [Soul Break Gauge +250] and [Limit Break Gauge +250] to the user","N","All allies","0","ATK +5, MAG +5","Dual Blink 1","Crystal Shield (Core)","迅閃【デシ】","20140033","","✓","✓"
"Core","Tyro","","Awoken Keeper's Tome","DASB","DASB2","NAT","All allies","","","","0.01","Grants [Quick Cast 3], [Critical Damage +50%] and [Haste] to all allies, Grants [ATK, DEF, MAG, RES and MND +10%/20%/30%/40%/50% (25s)] to the user if 1/2/3/4/5+ party members are alive, [Conditional Attach Element From Party], [Damage Cap +10000], [Dual Awoken Record Seeker Mode I (Tyro)] and [Ability Resonance +5% Boost] to the user","N","All allies","500","","Stat Boon, Damage Reduction Barrier","Keeper's Tome+ (Core)","覚醒伝記・天衣無縫","20140034","","","✓"
"Core","Tyro","","Awoken Keeper's Tome (Dual Shift)","DASB","DASB2","NAT","Self","","","","0.01","Grants [Instant ATB 1] and [Dual Awoken Record Seeker Mode II (Tyro)] to the user","N","Self","0","","","Keeper's Tome+ (Core)","覚醒伝記・天衣無縫","20140034","","","✓"
"Core","Tyro","","Zenith Transcendental Conversance","ZSB","ZSB1","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","2.50","Seven single ranged hybrid attacks (0.90 or 3.05 each) capped at 19999, Grants [Conditional Attach Element] based on entry element damage, [Damage Cap +10000], [Wisdom of Creation Mode], [Zenith Mode] and [Zenith Mode: Tyro] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Seeker's Testament (Core)","究極神伝「探究者」","20140036","","","✓"
"Core","Tyro","","Continuous Flash: Tyro","Glint++","Glint++1","NAT","All allies","","","","0.01","Grants [Weakness +30% Boost 2] to all allies, Grants [200% ATB 1] to the user","N","All allies","0","","Prismatic Damage Up, Damage Reduction Barrier","Light Robe (Core)","連閃・デシ","20140037","","","✓"
"Core","Tyro","","Radiant Myth","CASB","CASB1","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","2.50","Seven single ranged hybrid attacks (0.90 or 3.05 each) capped at 19999, Grants [Attach Fire]/[Attach Ice]/[Attach Lightning]/[Attach Earth]/[Attach Wind]/[Attach Water]/[Attach Holy]/[Attach Dark]/[Attach Poison] based on entry element damage, [Damage Cap +10000], [Crystal Force Mode] and [Crystal Force Mode: Tyro] to the user","N","Lowest HP% enemy","500","","Cast Time Down, Damage Up","Legend of Radiance (Core)","耀光神話「光彩陸離」","20140038","","","✓"
"Core","Tyro","","Divine Might: Tyro","OZSB","OZSB1","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","2.50","Seven single hybrid attacks (2.60/2.80/2.90/3.00 or 8.60/9.30/9.65/10.00 each) capped at 19999/29999/49999/59999, followed by three single piercing attacks (11.00 or 31.00 each) capped at 99999.  Multiplier/cap requirements: 0-1/2/3/4+ allies with Attach Element","N","Lowest HP% enemy","250","","Cast Time Down, Damage Up","Robe of Lords (Core)","神威・デシ","20140039","","","✓"
"Core","Tyro","","Starry Inheritor's Testament","MASB","MASB1","NAT","Self","","","","0.01","Deadly Strikes +5% & 150 SB Points to party, Master Mode & Instant ATB 1 to user
Master Mode: Cap Break Level 2, Zero SB Cost 1 & Instant SB/LB Cast
Interval Chase: 10 single-target Prismatic/NE ranged hybrid attacks, Deadly Strikes +10/15/20/25/30% to party after 1/2/3/4/5 chases (max 5 chases)
Master Chase: Single-target Prismatic/NE piercing ranged hybrid attack at True Cap Break Level 1, Deadly Strikes +30% for 1 turn to party, removes Master Mode","N","Self","750","","","Inheritor's Testament (Core)","極星神伝「継承者」","20140040","","",""
"Core","Tyro","","Zenith Divine Sentinel's Grimoire","ZSB","ZSB2","NAT","All allies","","","","0.01","40% Damage Reduction Barrier 3, 30% Stoneskin, Astra 1, Critical Chance +100% & Quick Cast to party, Ultimate Mode to user
Ultimate Spirit Mode: Support Casting Speed x1.1 & chases 2 Support abilities with Prismatic Damage +10% to party (max 2 chases)
Ultimate Dexterity Mode: Higher Multiplier & Zero Hone Cost to Hero Ability; Acicular Grimoire+: Higher multiplier & Cap Break Level 1 after 3 uses; Judgment Grimoire+: 1.2s CT
Ultimate Vitality Mode: +1500 max HP & Astra to user","N","All allies","500","","","Divine Sentinel's Grimoire (Core)","究極天壁のグリモア","20140041","","",""
"Core","Tyro","","Roaring Memory Strike","ASB","ASB1","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","Five single ranged attacks (? or ? each), grants [Damage Cap +10000], [Accel Mode: Tyro], and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","","Lufenian Robes (Core)","轟・追想の断撃","20140042","","",""
"Core","Tyro","","Woven Bond: Tyro","LBC","LBC1","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","10 single-target Prismatic/NE ranged hybrid attacks at Cap Break Level 1, activates Core/Beyond Chain (150 or +25), Chain Force Mode & Instant ATB 1 to user
Chain Force Mode: After using Support abilities, chases with 4 single-target Prismatic/NE ranged hybrid attacks (max 3 chases)","N","Lowest HP% enemy","250","","","Collector Bracer (Core)","紡絆・デシ","20140043","","",""
"Core","Warrior","","Double Attack I","Default","Default","PHY","Single enemy","Physical","1.40","-","2.75","Two random attacks (0.70 each)","Y","Random enemies","250","","","-","ダブルアタックⅠ","20000001","","✓","✓"
"Core","Warrior","","Double Attack II","SB","SB1","PHY","Single enemy","Physical","1.80","-","2.75","Two random attacks (0.90 each)","Y","Random enemies","250","","","Dual Tomahawk (III)","ダブルアタックⅡ","20000002","","","✓"
"Core","Knight","","Knight's Shield I","Default","Default","NAT","Self","","","","2.50","[DEF +50%] for 25 seconds","N","Self","250","","","-","ナイトの盾Ⅰ","20160001","","✓","✓"
"Core","Knight","","Knight's Shield II","SB","SB1","NAT","Self","","","","2.50","[DEF +100%] for 25 seconds","N","Self","250","","","Diamond Helm (III)","ナイトの盾Ⅱ","20160002","","✓","✓"
"Core","Monk","","Roundhouse","Default","Default","PHY","All enemies","Physical","1.05","-","1.65","One group attack (1.05)","Y","All enemies","250","","","-","裏回し拳","20010003","","✓","✓"
"Core","Red Mage","","Doublecast Fire","Default","Default","BLK","Single enemy","Magical","2.00","Fire","2.50","Two random attacks (1.00 each)","Y","Random enemies","250","","","-","連続魔・ファイア","20170001","","✓","✓"
"Core","Red Mage","","Doublecast Thunder","SB","SB1","BLK","Single enemy","Magical","2.00","Lightning","2.50","Two random attacks (1.00 each)","Y","Random enemies","250","","","Feathered Hat (III)","連続魔・サンダー","20170002","","✓","✓"
"Core","Black Mage","","Darkbolt","Default","Default","BLK","Single enemy","Magical","1.60","Dark","2.50","One single attack (1.60)","Y","Lowest HP% enemy","250","","","-","まどう","20020001","","✓","✓"
"Core","Black Mage","","Magic Signet","SB","SB1","NAT","Self","","","","2.50","[MAG +50%] for 30 seconds","N","Self","250","","","Light Rod (III)","精霊の印","20020002","","✓","✓"
"Core","Black Mage","","Mass Firaga","SB","SB2","BLK","All enemies","Magical","7.25","Fire","2.75","One group attack (7.25)","N","All enemies","250","","","Fire Rod (Core)","全体ファイガ","20020003","1","","✓"
"Core","Magus","","Black Magic Chant","Default","Default","NAT","Self","","","","2.75","Grants [Black Magic Quick Cast 3]","Y","Self","250","","","-","黒魔法詠唱圧縮","22020001","","✓","✓"
"Core","White Mage","","Prayer","Default","Default","WHT","All allies","","","","2.50","Restores HP (27)","N","All allies","250","","","-","いのり","20030001","","✓","✓"
"Core","White Mage","","Divine Signet","SB","SB1","NAT","Self","","","","2.50","[MND +50%] for 30 seconds","N","Self","250","","","Light Staff (III)","女神の印","20030002","","✓","✓"
"Core","White Mage","","Light Divine","SB","SB2","WHT","All allies","","","","3.00","Restores HP (50)","N","All allies","250","","","Rune Staff (Core)","祈りの光","20910001","1","✓","✓"
"Core","Devout","","Panacea","Default","Default","WHT","Single ally","","","","2.75","Removes negative effects","N","Random ally with status","250","","","-","ちりょう","20790001","","✓","✓"
"Core","Summoner","","Call I","Default","Default","NAT","-","","","","2.50","Randomly casts Goblin (25%), Bomb (50%) or Chocobo (25%)","Y","-","250","","","-","よびだすⅠ","20180001","","✓","✓"
"Core","Summoner","","Call II","SB","SB1","NAT","-","","","","2.50","Randomly casts Goblin, Chocobo, Ifrit, Shiva or Ramuh","Y","-","250","","","Gaia Vest (III)","よびだすⅡ","20180002","","✓","✓"
"Core","Samurai","","Inner Focus I","Default","Default","NAT","Self","Magical","1.50","-","2.75","Restores HP (45), damages undeads, [ATK +15%] for 25 seconds","N","Self","250","","","-","黙想Ⅰ","20740001","","✓","✓"
"Core","Dragoon","","High Jump","Default","Default","PHY","Single enemy","Physical","2.10","-","3.00","One single ranged jump attack (2.10)","Y","Lowest HP% enemy","250","","","-","ハイジャンプ","20590001","","✓","✓"
"Core","Dark Knight","","Dark Blade I","Default","Default","PHY","Single enemy","Physical","1.70","Dark","2.50","One single ranged attack (1.70), damages the user for 10% max HP","Y","Lowest HP% enemy","250","","","-","暗黒剣Ⅰ","20340001","","✓","✓"
"Core","Spellblade","","Magic Shell","Default","Default","NAT","All allies","","","","2.50","[RES +30%] for 25 seconds","N","All allies","250","","","-","まほうバリア","20680001","","✓","✓"
"Core","Viking","","Crushing Strike I","Default","Default","PHY","Single enemy","Physical","1.70","-","3.20","One single attack (1.70)","Y","Lowest HP% enemy","250","","","-","重撃Ⅰ","20750001","","✓","✓"
"Core","Berserker","","Berserker's Rage","Default","Default","NAT","Single enemy","Physical","1.50","-","2.75","One single attack (1.50), grants [Rage] to the user for 2 turns","N","Lowest HP% enemy","250","","","-","狂戦士","22010001","","✓","✓"
"Core","Ranger","","Steady Shot I","Default","Default","PHY","Single enemy","Physical","1.40","-","2.75","One single ranged attack (1.40), 100% hit rate","Y","Lowest HP% enemy","250","","","-","狙い撃ちⅠ","20040001","","✓","✓"
"Core","Ranger","","Steady Shot II","SB","SB1","PHY","Single enemy","Physical","2.00","-","2.75","One single ranged attack (2.00), 100% hit rate","Y","Lowest HP% enemy","250","","","Killer Bow (V)","狙い撃ちⅡ","20040002","","✓","✓"
"Core","Ranger","","Sidewinder","SB","SB2","PHY","Single enemy","Physical","3.60","-","3.00","One single ranged attack (3.60), [ATK and MAG -40%] for 25 seconds","N","Lowest HP% enemy","250","","","Great Bow (Core)","サイドワインダー","20040003","1","","✓"
"Core","Thief (Core)","","Nekodamashi","Default","Default","PHY","Single enemy","Physical","1.30","-","2.75","One single attack (1.30), causes [Stun] (20%)","N","Lowest HP% enemy","250","","","-","ねこだまし","20260003","","✓","✓"
"Core","Bard","","Valor Minuet I","Default","Default","NAT","All allies","","","","2.50","[ATK +20%] for 20 seconds","N","All allies","250","","","-","猛者のメヌエットⅠ","20050001","","✓","✓"
"Core","Bard","","Valor Minuet II","SB","SB1","NAT","All allies","","","","2.50","[ATK +40%] for 20 seconds","N","All allies","250","","","Madhura Harp (III)","猛者のメヌエットⅡ","20050002","","✓","✓"
"Core","Bard","","Advancing March","SB","SB2","NAT","All allies","","","","3.00","Grants [Haste]","N","All allies","250","","","Dream Harp (Core)","進撃マーチ","20050003","1","","✓"
"Core","Ninja","","Copy Image I","Default","Default","NAT","Self","","","","3.00","Grants [Physical Blink 1] for 30 seconds","N","Self","250","","","-","分身Ⅰ","20480001","","✓","✓"
"Core","Gladiator","","Critical I","Default","Default","PHY","Single","Physical","2.50","-","2.50","One single attack (2.50), always deals a critical hit, 50% hit rate","Y","Highest HP% enemy","250","","","-","クリティカルⅠ","20450001","","✓","✓"
"Core","Elarra","","Fabula Heal","Default","Default","WHT","All allies","","","","2.50","Restores HP (37)","N","All allies","250","","","-","ファブラ・ヒール","22860003","","✓","✓"
"Core","Elarra","","Magika Album","USB","USB1","WHT","All allies","","","","0.01","Restores HP (85), grants [Regenga] and [High Quick Cast 2]","N","All allies","500","MND +10","","Magika Album (Core)","マギカ・アルブム","23210001","2","✓","✓"
"Core","Elarra","","Magika Coat","BSB","BSB1","WHT","All allies","Magical","2.00","Holy","2.50","Restores HP (85), damages undeads, grants [Last Stand], grants [Haste] and [Burst Mode] to the user","N","All allies","500","MND +10","","Elarra's Guise (Core)","マギカ・フロース","23210002","2","✓","✓"
"Core","Elarra","","Magika Orare","USB","USB2","WHT","All allies","","","","0.01","Restores HP (85), grants [Critical Damage +50%], grants [Quick Cast] to the user","N","All allies","500","MND +10","","Magika Orare (Core)","マギカ・オーラーレ","23210003","3","✓","✓"
"Core","Elarra","","Magika Pius","Glint","Glint1","WHT","All allies","","","","0.01","Restores HP (55)","N","All allies","250","MND +10","","Magika Pius (Core)","マギカ・ピウス","23210004","3","✓","✓"
"Core","Elarra","","Fluffy Dance","USB","USB3","NAT","All allies","","","","0.01","Restores HP (85), causes [ATK, DEF, MAG and RES -40%] for 25 seconds to all enemies, grants [High Quick Cast 2] and [Fluffy Dance Follow-Up] to the user","N","All allies","500","MND +10","","Lunar Fan (Core)","ハッスルダンス","23210005","","","✓"
"Core","Elarra","","Magika Phoenix","AASB","AASB1","WHT","All allies","","","","0.01","Restores HP (105), removes KO [Raise: 100%], grants [Last Stand] and [Haste], grants [Awoken Magika] to the user","N","All allies","500","MND +10","Heal Boost, Stat Boon, Extra Usage","Magika Phoenix (Core)","マギカ・ポエニクス","23210006","5","✓","✓"
"Core","Elarra","","Magika Amuletum","Glint+","Glint+1","NAT","All allies","","","","0.01","Grants [Protect], [Shell] and [Haste]","N","All allies","0","MND +10","","Plumed Hat (Core)","マギカ・アムレートゥム","23210007","4","✓","✓"
"Core","Elarra","","Magika Animus","SASB","SASB1","WHT","All allies","","","","0.01","Restores HP (105), grants [Regenga] and [High Quick Cast 2] to all allies, grants [Synchro Mode] and [Damage Cap +10000] to the user","N","All allies","500","","Heal Boost, Stat Boon","Magika Animus (Core)","マギカ・アニムス","23210016","10","✓","✓"
"Core","Elarra","","Magika Stella","SASB","SASB2","WHT","All allies","","","","0.01","Restores HP (55), grants [Critical Damage +50%], grants [Synchro Mode] and [Instant Cast 1] to the user","N","All allies","500","","Heal Boost, Stat Boon","Magika Stella (Core)","マギカ・ステラ","23210021","","✓","✓"
"Core","Elarra","","Awoken Magika Album","DASB","DASB1","WHT","All allies","","","","0.01","Restores HP (105) capped at 19999, removes KO [Raise: 100%] capped at 19999, grants [Haste], [Regenga] and [High Quick Cast 2], grants [Damage Cap +10000], [Dual Awoken Magika Mode I: Elarra] and [White Magic Healing Resonance Boost +5%] to the user","N","All allies","500","","Heal Boost, Damage Reduction Barrier","Magika Album+ (Core)","覚醒マギカ・アルブム","23210024","","✓","✓"
"Core","Elarra","","Awoken Magika Album (Dual Shift)","DASB","DASB1","NAT","Self","","","","0.01","Grants [Instant ATB 1] and [Dual Awoken Magika Mode II: Elarra]","N","Self","0","","","Magika Album+ (Core)","覚醒マギカ・アルブム","23210024","","✓","✓"
"Core","Elarra","","Zenith Magika Orare","ZSB","ZSB1","WHT","All allies","","","","0.01","Restores HP (105) capped at 19999, removes KO [Raise: 100%] capped at 19999, grants [Haste], [Last Stand], [Regenga], [High Quick Cast 2] and [Natural Cure: Elarra] to all allies, grants [Damage Cap +10000], [Zenith Mode] and [Zenith Mode: Elarra] to the user","N","All allies","500","","Heal Boost, Damage Reduction Barrier","Prism Rod (Core)","究極マギカ・オーラーレ","23210026","","","✓"
"Core","Elarra","","Continuous Flash: Elarra","Glint++","Glint++1","NAT","All allies","","","","0.01","Grants [HP Stock (3000)], [Quick Cast 2] to all allies, grants [200% ATB 1] to the user","N","All allies","0","","Stat Boost, Damage Reduction Barrier","Lilith Rod (Core)","連閃・ウララ","23210027","","","✓"
"Core","Elarra","","Radiant Magika Phoenix","CASB","CASB1","NAT","All enemies","","","","0.01","Causes [ATK, DEF, MAG, RES and MND -50% (?s)], restores HP (55), and grants [ATK, MAG and MND +30% (25s) and [Empower Healing 30%] to all allies, grants [Crystal Force Mode] and [Crystal Force Mode: Elarra] to the user","N","All enemies","500","","","Hair Clip (Core)","耀光マギカ・ポエニクス","23210028","","",""
"Core","Elarra","","Woven Bond: Elarra","LBC","LBC1","WHT","Single enemy","Magical","","Holy, NE","0.01","10 single-target Holy/NE white magic attacks at Cap Break Level 1, activates Core/Beyond Chain (150 or +25) & +10 Chain Count to all targets, Chain Force Mode & Instant ATB 1 to user
Chain Force Mode: After using White Magic/Bard/Dancer abilities, grants Quick Cast 1 to party (max 2 chases)","N","Lowest HP% enemy","250","","","Astrakhan Hat (Core)","紡絆・ウララ","23210029","","",""
"Core","Biggs","","Dispel Slash","Default","Default","PHY","Single enemy","Physical","2.00","-","2.50","One single attack (2.00), removes positive effects","N","Lowest HP% enemy","250","","","-","オレ様流・デスペル斬","23310001","","✓","✓"
"Core","Biggs","","Boulder Blow","USB","USB1","PHY","Single enemy","Physical","7.00","Earth, Holy, NE","2.50","Ten single attacks (0.70 each), grants [Elbow Follow-Up] and [PHY +30%/50%/70% Boost] to the user scaling with [Boulder Blow Uses]","N","Lowest HP% enemy","500","ATK +10","","Ancient Sword (Core)","オレ様流・聖岩裂斬","23310002","3","✓","✓"
"Core","Biggs","","Flashy Blow","Glint","Glint1","PHY","Single enemy","Physical","3.12","Earth, NE","0.01","Six single attacks (0.52 each), grants [Attach Earth Stacking] and [Attach Earth] to the user","N","Lowest HP% enemy","250","ATK +10","","Coral Sword (Core)","オレ様流・気合一閃","23310003","3","✓","✓"
"Core","Biggs","","Multifists","Glint","Glint2","PHY","Random enemies","Physical","4.16","Earth, NE","0.01","Eight random attacks (0.52 each), grants [PHY +30% Boost (15s)] to the user","N","Random enemies","250","ATK +10","","Warlord Fang (Core)","ばくれつけん","23310004","","","✓"
"Core","Biggs","","Prime Explosion","SASB","SASB1","PHY","Single enemy","Physical","9.00","Earth, Holy, NE","2.50","Fifteen single attacks (0.60 each), grants [Attach Earth 3 with Stacking], [Synchro Mode], [Damage Cap +10000] and [Hurtling Charge Mode] to the user","N","Lowest HP% enemy","500","","Damage Up, Cast Time Down","Claymore (Core)","オレ様流・ばくれつ上等","23310005","","✓","✓"
